 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2007
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";4;-;-;4;1;2;3;8;11;5;38
"110037 Alto Alegre dos Parecis";2;-;1;4;-;1;2;1;3;2;16
"110040 Alto Paraíso";1;-;1;1;2;4;3;7;4;4;27
"110034 Alvorada D'Oeste";1;1;-;2;1;4;3;5;5;7;29
"110002 Ariquemes";32;5;8;32;36;31;42;28;39;23;276
"110045 Buritis";9;1;2;6;10;7;3;11;6;6;61
"110003 Cabixi";-;-;1;1;2;3;-;2;-;5;14
"110060 Cacaulândia";-;-;-;1;-;-;1;2;1;2;7
"110004 Cacoal";11;-;5;12;15;28;32;33;54;51;241
"110070 Campo Novo de Rondônia";-;-;2;3;1;2;2;1;-;-;11
"110080 Candeias do Jamari";-;-;2;2;2;3;3;6;-;3;21
"110090 Castanheiras";-;-;-;-;-;1;-;-;1;-;2
"110005 Cerejeiras";-;1;-;3;4;5;2;7;10;5;37
"110092 Chupinguaia";1;-;-;1;1;2;-;-;-;-;5
"110006 Colorado do Oeste";2;-;-;-;3;3;4;6;10;8;36
"110007 Corumbiara";-;-;-;-;-;-;2;1;-;2;5
"110008 Costa Marques";6;-;-;2;6;-;1;7;11;4;37
"110094 Cujubim";-;-;1;1;2;2;2;2;1;-;11
"110009 Espigão D'Oeste";2;-;1;6;4;5;8;8;21;13;68
"110100 Governador Jorge Teixeira";-;-;-;2;2;1;-;2;1;3;11
"110010 Guajará-Mirim";8;3;2;7;9;11;26;16;41;27;150
"110110 Itapuã do Oeste";-;1;1;-;-;1;1;2;1;2;9
"110011 Jaru";3;2;-;3;4;9;3;6;10;10;50
"110012 Ji-Paraná";34;4;11;40;42;48;85;132;141;131;668
"110013 Machadinho D'Oeste";-;-;-;6;2;5;3;7;4;2;29
"110120 Ministro Andreazza";-;-;-;-;1;-;2;2;5;3;13
"110130 Mirante da Serra";-;-;-;1;1;2;-;5;9;7;25
"110140 Monte Negro";-;-;1;1;3;3;2;5;5;4;24
"110014 Nova Brasilândia D'Oeste";3;1;1;2;-;4;8;5;11;9;44
"110033 Nova Mamoré";6;1;1;7;5;12;15;7;7;9;70
"110143 Nova União";-;-;-;-;-;1;2;3;2;-;8
"110050 Novo Horizonte do Oeste";1;-;-;-;1;1;-;1;4;2;10
"110015 Ouro Preto do Oeste";14;1;3;10;7;18;12;22;39;26;152
"110145 Parecis";-;-;-;1;-;-;-;1;2;-;4
"110018 Pimenta Bueno";8;1;3;9;12;8;18;21;21;18;119
"110146 Pimenteiras do Oeste";1;-;-;-;-;1;-;-;-;-;2
"110020 Porto Velho";268;28;95;196;201;306;345;369;434;307;2549
"110025 Presidente Médici";1;-;1;1;3;4;8;4;12;20;54
"110147 Primavera de Rondônia";-;-;-;-;-;1;-;1;1;1;4
"110026 Rio Crespo";-;-;-;-;-;1;-;2;1;1;5
"110028 Rolim de Moura";5;-;2;7;2;4;7;10;16;14;67
"110029 Santa Luzia D'Oeste";-;-;-;-;-;-;-;1;3;2;6
"110148 São Felipe D'Oeste";-;-;-;-;-;-;1;1;-;1;3
"110149 São Francisco do Guaporé";2;-;2;2;2;3;1;5;3;5;25
"110032 São Miguel do Guaporé";2;2;-;5;2;6;6;8;7;5;43
"110150 Seringueiras";-;-;-;1;2;-;2;3;3;2;13
"110155 Teixeirópolis";-;-;-;1;1;-;-;-;-;2;4
"110160 Theobroma";-;-;1;-;1;-;1;-;1;-;4
"110170 Urupá";-;-;-;2;1;-;-;1;5;3;12
"110175 Vale do Anari";-;1;-;2;2;-;1;1;2;3;12
"110180 Vale do Paraíso";-;-;-;1;1;-;1;2;3;2;10
