 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2002
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"130070 Boca do Acre";4;2;-;6;5;4;2;6;9;9;47
"130080 Borba";14;5;-;2;2;6;7;5;14;22;77
"130083 Caapiranga";4;1;-;1;1;-;1;1;2;-;11
"130090 Canutama";3;1;-;1;-;1;1;2;4;5;18
"130100 Carauari";21;5;3;5;6;6;4;5;12;14;81
"130110 Careiro";2;2;2;7;6;4;5;6;6;8;48
"130115 Careiro da Várzea";1;1;-;1;1;2;3;2;3;4;18
"130120 Coari";34;10;4;5;7;7;12;18;20;20;137
"130130 Codajás";14;2;-;3;3;3;2;1;3;8;39
"130140 Eirunepé";23;13;3;15;5;4;2;5;9;8;87
"130150 Envira";15;6;-;4;3;1;1;5;3;3;41
"130160 Fonte Boa";16;2;2;9;5;3;7;8;6;12;70
"130165 Guajará";-;1;-;2;1;-;2;2;5;2;15
"130170 Humaitá";12;2;3;3;3;6;4;15;17;26;91
"130180 Ipixuna";13;3;3;3;1;2;1;5;3;7;41
"130185 Iranduba";4;3;3;8;5;-;2;11;6;3;45
"130190 Itacoatiara";24;7;12;11;13;12;23;34;48;41;225
"130195 Itamarati";9;1;-;-;2;-;1;1;1;2;17
"130200 Itapiranga";2;-;1;-;-;2;1;7;5;10;28
"130210 Japurá";-;1;-;1;-;1;-;1;-;-;4
"130220 Juruá";4;-;-;-;-;1;1;1;3;2;12
"130230 Jutaí";6;2;-;3;5;4;2;2;4;6;34
"130240 Lábrea";3;2;1;3;4;2;-;6;4;6;31
"130250 Manacapuru";57;11;5;16;8;17;10;35;34;40;233
"130255 Manaquiri";-;2;2;3;4;-;2;4;1;5;23
"130260 Manaus";916;157;210;504;536;669;788;952;1050;1034;6816
"130270 Manicoré";4;3;-;4;-;6;5;11;13;26;72
"130280 Maraã";9;-;-;2;4;1;2;-;1;2;21
"130290 Maués";13;14;4;7;3;8;9;21;25;44;148
"130300 Nhamundá";4;1;1;3;2;5;4;2;10;14;46
"130310 Nova Olinda do Norte";15;5;1;4;3;3;4;5;9;24;73
"130320 Novo Airão";8;2;1;-;3;-;1;3;3;7;28
"130330 Novo Aripuanã";6;1;2;1;1;2;-;2;2;2;19
"130340 Parintins";59;15;10;18;19;18;26;45;49;70;329
"130350 Pauini";6;1;1;2;-;1;-;5;2;3;21
"130353 Presidente Figueiredo";3;3;2;2;3;5;4;5;1;4;32
"130356 Rio Preto da Eva";1;1;2;2;2;-;4;3;-;-;15
"130360 Santa Isabel do Rio Negro";6;5;2;-;2;1;2;5;2;5;30
"130370 Santo Antônio do Içá";7;2;-;-;-;1;1;1;2;2;16
"130380 São Gabriel da Cachoeira";35;25;6;11;13;11;14;11;12;23;161
"130390 São Paulo de Olivença";7;-;2;-;6;-;2;4;9;8;38
"130395 São Sebastião do Uatumã";2;-;-;2;1;1;2;2;3;4;17
"130400 Silves";2;-;-;-;-;-;-;-;8;3;13
"130406 Tabatinga";51;18;12;22;12;12;13;18;12;20;190
"130410 Tapauá";11;7;3;1;3;1;7;1;4;7;45
"130420 Tefé";20;6;6;13;14;8;13;8;8;14;110
"130423 Tonantins";9;4;1;-;1;2;-;1;1;5;24
"130426 Uarini";4;2;1;1;-;-;1;-;5;4;18
"130430 Urucará";3;4;-;1;2;1;1;-;1;3;16
"130440 Urucurituba";4;1;1;1;3;2;3;2;4;13;34
"140005 Alto Alegre";1;-;-;4;2;2;3;2;1;3;18
"140002 Amajari";-;-;-;2;1;2;3;2;-;3;13
"140010 Boa Vista";98;23;38;104;89;88;131;118;140;110;939
"140015 Bonfim";-;1;-;7;2;1;1;3;2;2;19
"140017 Cantá";1;-;-;3;3;5;1;2;1;-;16
"140020 Caracaraí";1;-;2;3;5;6;3;5;3;1;29
"140023 Caroebe";-;1;-;1;-;1;-;2;1;-;6
"140028 Iracema";-;-;1;2;-;1;3;3;2;5;17
"140030 Mucajaí";2;1;-;7;8;3;7;3;2;4;37
"140040 Normandia";1;1;-;1;-;-;1;-;1;1;6
"140045 Pacaraima";-;-;3;-;1;6;-;1;1;-;12
"140047 Rorainópolis";2;-;-;5;4;2;2;5;3;2;25
"140050 São João da Baliza";1;-;-;-;1;-;1;1;-;3;7
"140060 São Luiz";1;-;-;1;-;-;-;2;2;1;7
"140070 Uiramutã";3;-;1;-;1;2;-;1;1;1;10
"150010 Abaetetuba";37;8;2;8;7;17;23;32;42;68;244
"150013 Abel Figueiredo";-;-;1;1;1;-;2;2;4;5;16
"150020 Acará";4;3;1;2;2;1;6;12;12;17;60
"150030 Afuá";8;-;-;1;1;-;-;4;3;5;22
"150034 Água Azul do Norte";4;2;1;1;1;4;3;-;3;1;20
"150040 Alenquer";9;1;2;7;3;7;23;15;45;31;143
"150050 Almeirim";25;3;1;9;8;7;7;8;9;13;90
"150060 Altamira";99;13;15;33;35;41;51;57;45;41;430
"150070 Anajás";5;2;1;2;2;1;-;5;1;2;21
"150080 Ananindeua";73;14;16;49;38;40;64;91;88;101;574
"150085 Anapu";-;-;3;3;6;2;3;3;-;2;22
"150090 Augusto Corrêa";7;3;-;5;2;4;16;9;12;13;71
"150095 Aurora do Pará";2;1;1;3;4;4;2;4;2;6;29
"150100 Aveiro";2;1;-;2;2;-;3;3;4;6;23
"150110 Bagre";10;2;-;2;3;1;-;2;2;8;30
"150120 Baião";5;2;1;4;6;1;6;3;7;8;43
"150125 Bannach";-;-;-;1;1;2;-;2;2;2;10
"150130 Barcarena";9;9;6;11;22;20;10;14;29;18;148
"150140 Belém";1085;203;239;650;665;858;1021;1295;1524;1448;8988
"150145 Belterra";2;-;-;1;1;1;3;3;2;5;18
"150150 Benevides";1;1;4;4;3;8;6;9;11;10;57
"150157 Bom Jesus do Tocantins";2;-;-;3;8;2;3;5;4;4;31
"150160 Bonito";-;-;-;-;-;-;1;-;1;-;2
"150170 Bragança";68;18;5;22;24;20;28;65;70;114;434
"150172 Brasil Novo";2;-;1;1;1;4;2;3;3;4;21
"150175 Brejo Grande do Araguaia";-;2;-;1;3;2;-;5;5;3;21
"150178 Breu Branco";1;-;2;14;7;8;5;2;5;4;48
"150180 Breves";62;10;10;11;13;9;15;19;23;61;233
"150190 Bujaru";4;2;-;3;1;3;8;7;11;5;44
"150200 Cachoeira do Arari";-;1;1;2;1;2;3;1;7;4;22
"150195 Cachoeira do Piriá";-;-;1;-;1;-;3;3;2;-;10
