 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2001
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";6;-;3;6;6;11;10;23;12;10;87
"110037 Alto Alegre dos Parecis";2;-;-;3;1;2;4;4;1;-;17
"110040 Alto Paraíso";1;-;-;4;4;2;7;3;5;3;29
"110034 Alvorada D'Oeste";11;1;1;10;6;4;9;6;6;8;62
"110002 Ariquemes";40;6;15;47;33;32;49;54;51;31;358
"110045 Buritis";9;1;3;16;8;11;13;3;2;3;69
"110003 Cabixi";-;-;-;1;-;4;2;3;4;2;16
"110060 Cacaulândia";1;-;-;1;1;1;4;-;2;-;10
"110004 Cacoal";44;5;11;22;28;35;34;53;76;41;349
"110070 Campo Novo de Rondônia";3;1;-;1;7;6;3;4;3;1;29
"110080 Candeias do Jamari";8;-;-;-;1;3;1;3;2;3;21
"110090 Castanheiras";-;-;-;-;-;-;1;1;-;-;2
"110005 Cerejeiras";1;-;-;4;10;8;7;12;13;11;66
"110092 Chupinguaia";2;-;-;2;3;3;1;1;1;-;13
"110006 Colorado do Oeste";1;1;-;5;5;4;4;14;9;9;52
"110007 Corumbiara";-;-;-;1;-;1;-;-;-;-;2
"110008 Costa Marques";6;-;-;2;4;2;7;3;6;4;34
"110094 Cujubim";-;-;-;8;2;3;2;-;-;-;15
"110009 Espigão D'Oeste";9;2;3;9;9;8;9;17;22;13;101
"110100 Governador Jorge Teixeira";2;-;-;-;2;-;4;3;4;4;19
"110010 Guajará-Mirim";13;3;3;13;7;11;7;15;24;29;125
"110110 Itapuã do Oeste";1;-;-;-;1;1;4;3;3;5;18
"110011 Jaru";27;6;3;18;10;16;19;39;36;25;199
"110012 Ji-Paraná";68;9;9;31;40;48;54;78;81;61;479
"110013 Machadinho D'Oeste";7;2;1;10;7;12;8;15;7;7;76
"110120 Ministro Andreazza";-;1;1;4;1;5;3;7;7;8;37
"110130 Mirante da Serra";8;3;1;2;2;5;3;8;5;5;42
"110140 Monte Negro";1;-;3;2;5;6;3;6;6;4;36
"110014 Nova Brasilândia D'Oeste";5;1;1;6;4;5;8;15;10;13;68
"110033 Nova Mamoré";1;-;6;2;3;4;5;6;6;2;35
"110143 Nova União";-;-;-;1;-;1;1;-;4;-;7
"110050 Novo Horizonte do Oeste";-;-;-;1;3;1;-;2;-;3;10
