 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:1994
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";15;4;2;10;9;13;13;15;12;12;105
"110040 Alto Paraíso";1;1;-;3;4;4;3;2;3;2;23
"110034 Alvorada D'Oeste";11;2;2;1;5;9;11;12;3;2;58
"110002 Ariquemes";97;12;16;55;45;50;57;33;39;24;428
"110003 Cabixi";6;-;1;1;2;1;2;2;3;1;19
"110060 Cacaulândia";-;-;1;-;-;-;-;-;-;-;1
"110004 Cacoal";51;8;7;23;32;21;30;52;42;35;301
"110070 Campo Novo de Rondônia";2;-;-;3;4;-;-;-;-;1;10
"110090 Castanheiras";1;-;-;2;-;1;1;1;-;-;6
"110005 Cerejeiras";11;3;3;7;6;3;3;7;12;3;58
"110006 Colorado do Oeste";8;2;4;6;6;6;11;17;14;14;88
"110007 Corumbiara";-;-;-;-;1;1;-;1;-;1;4
"110008 Costa Marques";17;1;2;6;4;3;4;4;2;1;44
"110009 Espigão D'Oeste";5;1;-;3;6;3;5;6;10;-;39
"110100 Governador Jorge Teixeira";1;-;-;4;1;1;-;1;1;-;9
"110010 Guajará-Mirim";22;4;4;11;7;9;10;20;24;19;130
"110110 Itapuã do Oeste";-;-;1;-;-;1;-;1;-;-;3
"110011 Jaru";49;3;11;22;20;30;23;25;26;21;230
"110012 Ji-Paraná";136;22;13;45;46;44;60;81;82;48;577
"110013 Machadinho D'Oeste";14;5;-;6;5;6;7;10;5;4;62
"110120 Ministro Andreazza";1;-;2;-;-;-;1;-;-;-;4
"110130 Mirante da Serra";1;-;-;-;1;-;-;-;-;-;2
"110140 Monte Negro";2;1;-;-;2;2;-;1;2;-;10
"110014 Nova Brasilândia D'Oeste";1;-;-;-;-;-;-;-;-;1;2
"110033 Nova Mamoré";2;3;-;3;1;5;3;2;3;2;24
"110050 Novo Horizonte do Oeste";-;-;-;-;-;-;4;1;3;3;11
"110015 Ouro Preto do Oeste";46;6;8;14;20;10;19;34;38;20;215
"110018 Pimenta Bueno";23;6;4;6;19;16;20;24;26;11;155
"110020 Porto Velho";106;40;49;146;160;153;157;185;147;113;1256
"110025 Presidente Médici";15;3;2;6;7;13;9;4;10;12;81
"110026 Rio Crespo";-;-;-;-;-;-;1;-;-;1;2
"110028 Rolim de Moura";45;7;1;15;11;20;19;32;28;22;200
"110029 Santa Luzia D'Oeste";3;3;1;4;1;3;2;5;7;4;33
"110032 São Miguel do Guaporé";3;-;-;-;-;-;-;2;1;1;7
"110150 Seringueiras";2;-;-;-;-;2;1;-;-;1;6
"110160 Theobroma";2;1;-;2;2;-;-;-;-;-;7
"110170 Urupá";-;1;-;1;-;-;1;1;-;-;4
"110180 Vale do Paraíso";2;-;-;1;1;1;-;2;1;1;9
"110030 Vilhena";39;8;6;30;19;18;31;17;18;15;201
"110000 Município ignorado - RO";1;-;-;-;-;-;-;-;-;-;1
"120001 Acrelândia";-;-;-;-;2;-;-;2;-;-;4
"120005 Assis Brasil";-;-;-;-;1;-;-;-;-;1;2
"120010 Brasiléia";11;3;2;7;4;10;5;14;11;11;78
"120013 Bujari";-;-;1;-;-;-;1;-;-;-;2
"120017 Capixaba";-;-;-;-;1;-;-;-;-;-;1
"120020 Cruzeiro do Sul";75;22;11;27;14;25;29;44;48;54;349
"120025 Epitaciolândia";6;1;2;2;-;1;4;1;3;3;23
"120030 Feijó";23;2;2;2;5;5;6;9;11;13;78
"120033 Mâncio Lima";-;-;-;-;-;1;-;1;-;-;2
"120034 Manoel Urbano";2;-;-;-;-;-;-;-;1;-;3
"120038 Plácido de Castro";2;1;2;6;2;1;-;4;4;2;24
"120080 Porto Acre";-;-;-;-;2;1;-;-;1;-;4
"120040 Rio Branco";325;45;54;108;97;127;131;173;164;174;1398
"120050 Sena Madureira";9;3;-;11;4;8;11;16;11;19;92
"120045 Senador Guiomard";-;-;1;1;1;-;-;-;-;-;3
"120060 Tarauacá";3;1;4;7;3;2;7;4;14;12;57
"120070 Xapuri";2;-;-;3;6;3;5;7;8;7;41
"130002 Alvarães";-;-;-;1;-;-;-;-;-;1;2
"130010 Anori";1;-;-;-;-;1;-;-;-;-;2
"130014 Apuí";5;1;1;1;1;1;2;1;1;-;14
"130020 Atalaia do Norte";3;2;1;2;1;-;2;-;2;-;13
"130050 Barreirinha";-;-;-;1;-;-;-;-;-;-;1
"130060 Benjamin Constant";3;1;-;1;-;1;1;5;2;4;18
"130063 Beruri";3;4;-;-;-;1;1;2;4;1;16
"130068 Boa Vista do Ramos";-;-;-;-;-;1;1;1;2;3;8
"130070 Boca do Acre";1;-;1;4;6;4;4;2;7;9;38
"130090 Canutama";3;3;-;-;-;1;1;-;1;1;10
"130100 Carauari";25;10;1;11;6;3;1;3;7;6;73
"130110 Careiro";-;2;-;-;1;1;-;1;2;1;8
"130115 Careiro da Várzea";1;1;-;-;1;-;1;-;1;-;5
"130120 Coari";11;-;7;4;6;2;3;1;8;2;44
"130130 Codajás";7;1;-;3;2;3;2;2;3;12;35
"130150 Envira";9;1;-;3;2;3;2;2;3;3;28
"130165 Guajará";5;-;1;1;1;-;-;1;1;-;10
"130170 Humaitá";13;4;4;1;4;4;6;13;18;8;75
"130180 Ipixuna";1;-;-;-;2;-;2;1;2;1;9
"130185 Iranduba";-;-;-;2;2;1;2;-;-;-;7
"130190 Itacoatiara";74;18;3;8;19;19;25;40;41;54;301
"130195 Itamarati";1;2;1;-;-;-;2;-;-;1;7
"130200 Itapiranga";2;-;1;1;-;-;4;2;3;2;15
"130220 Juruá";-;-;-;-;-;-;-;3;1;2;6
"130240 Lábrea";54;7;8;4;3;10;6;13;17;12;134
"130250 Manacapuru";6;1;2;5;6;11;12;16;28;19;106
"130255 Manaquiri";1;-;-;1;2;-;2;1;-;-;7
"130260 Manaus";1561;251;218;481;445;478;565;745;740;695;6179
"130270 Manicoré";-;1;-;4;1;2;1;4;7;2;22
"130280 Maraã";-;-;-;1;1;2;-;1;-;1;6
"130290 Maués";16;6;2;3;6;8;7;23;26;29;126
"130300 Nhamundá";13;7;1;1;3;7;3;5;10;11;61
"130310 Nova Olinda do Norte";-;-;-;-;-;2;-;-;-;-;2
"130330 Novo Aripuanã";7;2;-;-;2;3;1;5;5;12;37
