 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2011
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";3;-;1;3;4;4;9;13;13;12;62
"110037 Alto Alegre dos Parecis";1;-;-;2;4;2;3;2;4;7;25
"110040 Alto Paraíso";-;1;1;9;7;6;2;5;4;4;39
"110034 Alvorada D'Oeste";1;-;-;3;1;2;5;2;7;11;32
"110002 Ariquemes";15;4;10;38;40;47;53;76;83;79;445
"110045 Buritis";3;-;2;15;10;6;12;10;12;8;78
"110003 Cabixi";-;-;-;1;-;-;3;2;5;2;13
"110060 Cacaulândia";-;-;-;-;2;-;1;2;2;-;7
"110004 Cacoal";14;3;9;12;20;30;45;62;110;109;414
"110070 Campo Novo de Rondônia";-;-;-;3;2;4;1;4;2;1;17
"110080 Candeias do Jamari";2;1;2;4;4;2;4;3;5;8;35
"110090 Castanheiras";-;-;-;-;-;-;-;-;1;-;1
"110005 Cerejeiras";2;1;1;4;4;4;5;10;11;10;52
"110092 Chupinguaia";-;-;-;-;-;-;-;2;-;-;2
"110006 Colorado do Oeste";-;-;2;1;1;2;7;10;11;13;47
"110007 Corumbiara";1;-;-;1;-;1;1;2;2;1;9
"110008 Costa Marques";1;-;-;3;4;1;4;6;5;4;28
"110094 Cujubim";1;-;-;6;-;4;2;3;3;2;21
"110009 Espigão D'Oeste";6;2;2;4;3;8;9;14;28;29;105
"110100 Governador Jorge Teixeira";-;-;-;-;2;2;3;2;3;6;18
"110010 Guajará-Mirim";5;2;2;8;4;14;9;13;19;36;112
"110110 Itapuã do Oeste";-;1;1;4;4;2;-;3;2;1;18
"110011 Jaru";2;3;4;12;10;16;20;11;28;34;140
"110012 Ji-Paraná";10;6;14;38;41;51;84;115;137;133;629
"110013 Machadinho D'Oeste";1;1;1;11;11;10;16;2;15;11;79
"110120 Ministro Andreazza";-;-;-;1;-;1;4;4;6;10;26
"110130 Mirante da Serra";-;-;-;2;3;7;-;4;11;10;37
"110140 Monte Negro";-;-;1;3;6;6;2;3;4;5;30
"110014 Nova Brasilândia D'Oeste";1;-;-;-;1;3;5;9;12;15;46
"110033 Nova Mamoré";-;-;1;8;6;11;9;6;14;4;59
"110143 Nova União";-;-;-;-;1;-;1;1;1;2;6
"110050 Novo Horizonte do Oeste";-;1;-;-;1;2;1;2;4;5;16
"110015 Ouro Preto do Oeste";6;2;-;7;8;19;20;26;41;47;176
"110145 Parecis";-;-;-;1;-;2;1;1;1;3;9
"110018 Pimenta Bueno";6;1;4;7;6;10;10;22;28;17;111
"110146 Pimenteiras do Oeste";-;-;-;-;-;1;-;-;-;1;2
"110020 Porto Velho";254;41;77;237;259;340;420;431;423;394;2876
"110025 Presidente Médici";1;-;1;2;6;5;8;8;11;18;60
"110147 Primavera de Rondônia";-;-;-;-;-;1;2;1;2;1;7
"110026 Rio Crespo";-;-;-;-;1;4;1;2;1;1;10
"110028 Rolim de Moura";4;-;2;7;12;15;20;42;53;46;201
"110029 Santa Luzia D'Oeste";1;-;-;-;1;4;2;6;5;6;25
"110148 São Felipe D'Oeste";-;-;1;-;2;1;-;-;-;-;4
"110149 São Francisco do Guaporé";-;1;3;2;2;6;4;4;5;6;33
"110032 São Miguel do Guaporé";1;1;1;1;9;8;4;9;8;2;44
"110150 Seringueiras";2;-;2;2;2;1;3;5;8;4;29
"110155 Teixeirópolis";-;-;1;-;-;-;1;2;1;2;7
"110160 Theobroma";-;-;-;2;2;1;1;3;3;1;13
"110170 Urupá";-;-;-;1;2;1;1;7;4;2;18
"110175 Vale do Anari";-;-;1;2;3;1;5;4;1;1;18
"110180 Vale do Paraíso";-;-;1;-;1;2;1;2;2;4;13
"110030 Vilhena";21;4;5;24;19;34;34;56;93;66;356
"110000 Município ignorado - RO";-;-;-;1;1;-;-;-;-;-;2
"120001 Acrelândia";1;-;-;1;2;1;2;3;4;4;18
"120005 Assis Brasil";1;1;1;1;-;-;1;-;4;4;13
"120010 Brasiléia";7;-;4;2;2;6;7;11;29;26;94
"120013 Bujari";-;-;1;1;-;-;1;2;1;1;7
"120017 Capixaba";-;-;1;1;-;2;2;2;1;1;10
"120020 Cruzeiro do Sul";39;9;20;23;25;30;29;47;71;95;388
"120025 Epitaciolândia";-;-;-;1;1;3;2;-;5;5;17
"120030 Feijó";12;4;8;4;7;9;7;7;7;25;90
"120032 Jordão";16;3;-;1;-;-;1;-;1;1;23
"120033 Mâncio Lima";1;-;2;2;4;4;4;2;4;6;29
"120034 Manoel Urbano";1;-;2;2;2;-;-;2;1;3;13
"120035 Marechal Thaumaturgo";-;-;-;2;3;-;2;3;1;3;14
"120038 Plácido de Castro";2;-;1;2;3;6;4;3;8;5;34
"120080 Porto Acre";-;-;1;2;4;4;3;4;3;1;22
"120039 Porto Walter";-;-;-;-;1;2;1;1;1;1;7
"120040 Rio Branco";155;34;41;116;171;189;273;297;369;411;2056
"120042 Rodrigues Alves";-;-;-;-;2;2;1;1;1;1;8
"120043 Santa Rosa do Purus";4;-;-;1;-;-;2;-;1;1;9
"120050 Sena Madureira";12;4;5;13;6;8;5;12;21;34;120
"120045 Senador Guiomard";-;1;1;2;1;1;3;4;4;14;31
"120060 Tarauacá";21;2;5;8;6;12;3;9;12;24;102
"120070 Xapuri";2;-;4;2;3;3;5;10;9;20;58
"130002 Alvarães";3;1;1;1;1;-;1;1;2;10;21
"130006 Amaturá";10;2;2;3;2;-;1;3;3;9;35
"130008 Anamã";1;-;-;-;1;-;2;1;4;3;12
"130010 Anori";3;-;-;1;2;4;3;4;8;5;30
"130014 Apuí";2;-;-;1;4;3;13;10;5;4;42
"130020 Atalaia do Norte";3;-;2;5;2;1;2;4;4;3;26
"130030 Autazes";3;5;1;7;7;8;6;14;19;23;93
"130040 Barcelos";2;-;1;3;5;2;4;8;9;9;43
"130050 Barreirinha";5;4;2;4;4;2;6;5;10;19;61
"130060 Benjamin Constant";7;11;4;14;-;9;2;7;14;21;89
"130063 Beruri";4;1;3;-;-;-;3;2;4;9;26
"130068 Boa Vista do Ramos";2;-;1;1;-;2;1;1;4;6;18
"130070 Boca do Acre";1;1;4;8;5;6;6;4;8;10;53
"130080 Borba";5;4;-;8;6;6;6;3;18;35;91
"130083 Caapiranga";-;2;-;2;-;-;-;-;2;1;7
"130090 Canutama";3;-;3;1;1;1;1;4;11;5;30
"130100 Carauari";12;1;4;7;6;4;5;9;17;23;88
"130110 Careiro";1;2;4;4;5;3;12;2;9;13;55
"130115 Careiro da Várzea";2;-;1;1;3;1;-;5;3;8;24
"130120 Coari";29;1;5;20;13;11;15;23;38;43;198
"130130 Codajás";6;-;1;-;3;4;4;8;7;10;43
"130140 Eirunepé";28;6;5;15;13;6;10;11;20;25;139
"130150 Envira";13;2;-;1;1;2;6;2;6;4;37
"130160 Fonte Boa";11;2;2;2;2;2;2;5;4;8;40
"130165 Guajará";2;1;2;5;4;2;2;1;6;4;29
"130170 Humaitá";6;2;2;6;7;6;11;18;27;28;113
"130180 Ipixuna";5;-;-;4;5;2;4;2;2;4;28
"130185 Iranduba";4;3;8;7;10;10;15;20;17;16;110
"130190 Itacoatiara";27;4;9;18;18;16;27;31;64;87;301
"130195 Itamarati";3;1;1;2;2;1;1;1;3;2;17
"130200 Itapiranga";2;1;1;-;2;1;1;5;5;5;23
"130210 Japurá";-;2;1;2;1;2;1;-;1;2;12
"130220 Juruá";2;1;-;2;3;2;-;-;3;4;17
"130230 Jutaí";1;-;-;1;-;1;1;-;-;1;5
"130240 Lábrea";16;1;9;4;6;4;9;18;18;24;109
"130250 Manacapuru";19;2;9;21;18;15;29;29;45;54;241
"130255 Manaquiri";-;2;-;2;1;3;1;5;2;10;26
"130260 Manaus";667;133;352;855;751;908;1193;1395;1614;1762;9630
"130270 Manicoré";8;1;4;7;8;7;7;11;13;26;92
