 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:1993
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";18;5;1;10;11;7;8;14;15;9;98
"110034 Alvorada D'Oeste";13;2;3;3;4;4;4;1;10;3;47
"110002 Ariquemes";81;18;16;96;87;47;35;55;20;20;475
"110003 Cabixi";-;-;-;1;3;2;1;1;1;1;10
"110004 Cacoal";79;10;11;18;25;35;28;66;47;32;351
"110005 Cerejeiras";10;-;-;5;5;4;11;12;9;9;65
"110006 Colorado do Oeste";8;-;6;5;11;10;9;12;13;6;80
"110008 Costa Marques";10;3;2;3;7;4;7;7;4;2;49
"110009 Espigão D'Oeste";7;3;3;3;6;2;10;6;5;5;50
"110010 Guajará-Mirim";16;5;6;9;7;8;10;20;30;17;128
"110011 Jaru";59;12;4;32;25;31;20;28;23;21;255
"110012 Ji-Paraná";136;24;14;50;39;44;49;86;59;36;537
"110013 Machadinho D'Oeste";13;3;1;6;4;3;11;8;7;4;60
"110014 Nova Brasilândia D'Oeste";2;-;-;2;-;1;4;2;6;1;18
"110033 Nova Mamoré";1;-;1;1;1;1;1;3;3;1;13
"110015 Ouro Preto do Oeste";47;4;7;27;16;24;26;29;27;17;224
"110018 Pimenta Bueno";32;8;3;13;11;13;15;20;20;16;151
"110020 Porto Velho";139;45;66;155;144;126;157;171;133;89;1225
"110025 Presidente Médici";16;2;4;8;7;6;9;10;15;8;85
"110028 Rolim de Moura";54;8;3;11;10;8;21;25;27;18;185
"110029 Santa Luzia D'Oeste";7;-;1;1;-;3;5;1;10;2;30
"110032 São Miguel do Guaporé";15;4;1;-;3;2;6;9;3;4;47
"110030 Vilhena";55;6;9;26;13;26;30;30;28;13;236
"110000 Município ignorado - RO";3;-;-;3;2;2;2;-;2;-;14
"120001 Acrelândia";-;-;-;-;-;-;-;1;-;-;1
"120005 Assis Brasil";-;-;-;1;2;1;-;3;-;-;7
"120010 Brasiléia";11;5;1;4;5;4;7;8;11;15;71
"120013 Bujari";-;-;-;-;-;-;-;1;1;-;2
"120017 Capixaba";-;-;-;-;-;-;-;1;-;-;1
"120020 Cruzeiro do Sul";52;13;16;20;21;22;18;31;47;60;300
"120025 Epitaciolândia";3;1;-;1;1;3;2;1;3;3;18
"120030 Feijó";9;4;2;1;1;6;5;5;10;12;55
"120033 Mâncio Lima";-;-;-;-;1;-;-;-;-;2;3
"120034 Manoel Urbano";-;-;-;-;1;-;-;-;-;-;1
"120038 Plácido de Castro";5;1;1;8;3;1;1;3;2;-;25
"120080 Porto Acre";-;-;-;1;-;-;-;2;-;-;3
"120039 Porto Walter";-;-;-;-;-;-;-;-;-;1;1
"120040 Rio Branco";317;58;46;122;104;131;112;137;170;169;1366
