 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:1999
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";15;3;2;1;1;10;8;16;14;8;78
"110037 Alto Alegre dos Parecis";1;2;1;-;1;-;5;6;4;-;20
"110040 Alto Paraíso";-;-;-;1;2;1;-;3;1;-;8
"110034 Alvorada D'Oeste";5;-;2;1;7;3;8;4;10;6;46
"110002 Ariquemes";46;15;12;26;32;41;35;48;32;40;327
"110045 Buritis";6;3;2;9;4;1;5;7;2;2;41
"110003 Cabixi";4;-;-;1;2;-;4;4;3;1;19
"110060 Cacaulândia";-;1;-;1;2;1;1;3;2;1;12
"110004 Cacoal";48;14;6;29;24;28;26;55;64;62;356
"110070 Campo Novo de Rondônia";2;-;1;-;3;2;2;1;-;1;12
"110080 Candeias do Jamari";-;2;3;1;4;4;1;1;-;1;17
"110090 Castanheiras";-;-;-;-;-;-;-;1;-;-;1
"110005 Cerejeiras";-;-;-;1;-;1;1;2;5;-;10
"110092 Chupinguaia";-;-;-;4;1;2;-;3;2;-;12
"110006 Colorado do Oeste";3;3;2;3;6;5;5;10;13;10;60
"110007 Corumbiara";-;-;-;-;-;1;-;-;1;1;3
"110008 Costa Marques";7;1;-;1;1;3;1;1;3;-;18
"110094 Cujubim";1;-;-;2;2;1;-;-;-;1;7
"110009 Espigão D'Oeste";12;2;3;8;9;6;11;11;16;15;93
"110100 Governador Jorge Teixeira";2;6;1;1;2;2;-;3;1;1;19
"110010 Guajará-Mirim";12;-;3;11;13;5;17;13;29;38;141
"110110 Itapuã do Oeste";1;-;1;3;3;3;1;1;-;1;14
"110011 Jaru";35;4;13;19;9;10;20;31;28;30;199
"110012 Ji-Paraná";70;11;8;30;29;36;49;76;75;56;440
"110013 Machadinho D'Oeste";3;2;1;1;1;6;1;9;2;1;27
"110120 Ministro Andreazza";-;1;1;1;3;-;5;1;4;6;22
"110130 Mirante da Serra";3;1;-;2;3;9;6;6;1;10;41
"110140 Monte Negro";9;1;3;3;6;3;6;7;5;3;46
"110014 Nova Brasilândia D'Oeste";3;2;1;2;-;4;10;9;9;4;44
"110033 Nova Mamoré";3;1;4;3;2;5;4;5;3;1;31
"110143 Nova União";-;-;1;-;-;-;1;1;1;2;6
"110050 Novo Horizonte do Oeste";1;-;1;-;1;-;-;1;-;-;4
"110015 Ouro Preto do Oeste";21;4;3;10;7;14;16;30;29;25;159
"110018 Pimenta Bueno";13;2;3;13;17;13;13;24;27;9;134
"110146 Pimenteiras do Oeste";-;-;-;-;1;-;1;-;-;1;3
"110020 Porto Velho";322;50;52;183;203;225;220;250;250;145;1900
"110025 Presidente Médici";4;-;2;8;4;14;10;19;19;17;97
"110147 Primavera de Rondônia";-;-;-;-;-;1;1;1;-;-;3
"110026 Rio Crespo";-;-;-;1;1;1;-;-;-;-;3
"110028 Rolim de Moura";24;3;6;15;12;12;16;34;33;25;180
"110029 Santa Luzia D'Oeste";2;-;-;2;3;1;-;5;6;2;21
"110148 São Felipe D'Oeste";-;-;-;1;1;1;2;-;-;1;6
"110149 São Francisco do Guaporé";4;-;1;1;3;-;4;2;1;-;16
"110032 São Miguel do Guaporé";5;-;1;1;3;5;5;5;4;3;32
"110150 Seringueiras";3;1;1;1;5;2;3;6;4;2;28
"110155 Teixeirópolis";1;2;-;1;1;1;2;1;1;3;13
"110160 Theobroma";2;1;1;2;1;4;2;2;1;2;18
"110170 Urupá";-;-;-;-;3;4;1;1;4;2;15
"110175 Vale do Anari";1;1;1;-;-;3;1;4;2;-;13
"110180 Vale do Paraíso";-;-;-;-;-;-;-;-;-;1;1
"110030 Vilhena";26;2;7;18;13;23;26;45;37;19;216
"120001 Acrelândia";-;-;1;1;2;-;-;-;-;-;4
"120010 Brasiléia";-;-;-;2;2;3;4;3;6;8;28
"120013 Bujari";-;-;-;1;-;-;-;-;-;-;1
"120017 Capixaba";-;-;-;-;-;-;1;-;-;-;1
"120020 Cruzeiro do Sul";47;13;6;14;15;20;18;31;38;55;257
"120025 Epitaciolândia";2;-;-;3;2;2;1;1;6;-;17
"120030 Feijó";13;2;2;6;4;4;3;5;7;14;60
"120033 Mâncio Lima";-;-;-;-;-;1;-;2;-;1;4
"120034 Manoel Urbano";3;-;1;1;2;-;-;2;1;3;13
"120035 Marechal Thaumaturgo";-;-;1;2;1;1;2;2;1;2;12
"120038 Plácido de Castro";3;-;1;1;1;1;1;-;-;-;8
"120080 Porto Acre";2;1;2;1;-;-;1;1;3;1;12
"120039 Porto Walter";-;1;-;-;-;-;-;-;-;1;2
"120040 Rio Branco";259;33;42;105;117;140;134;185;222;207;1444
"120042 Rodrigues Alves";-;-;-;-;1;2;1;-;2;1;7
"120050 Sena Madureira";5;2;2;4;1;6;5;4;10;13;52
"120045 Senador Guiomard";4;-;2;-;3;3;1;2;11;7;33
"120060 Tarauacá";16;3;1;4;6;1;2;7;5;11;56
"120070 Xapuri";1;-;1;4;-;2;2;1;1;3;15
"130002 Alvarães";-;-;2;1;1;1;1;4;2;2;14
"130006 Amaturá";1;-;-;-;1;-;-;-;1;-;3
"130008 Anamã";1;-;-;-;-;1;1;2;1;2;8
"130010 Anori";6;1;1;1;5;3;3;1;4;3;28
"130014 Apuí";2;1;1;5;6;3;5;1;3;3;30
"130020 Atalaia do Norte";6;1;-;2;-;-;3;-;4;4;20
"130030 Autazes";9;1;2;1;2;-;4;9;10;22;60
"130040 Barcelos";3;-;-;2;-;1;1;4;2;3;16
"130050 Barreirinha";2;1;2;-;1;-;-;-;-;-;6
"130060 Benjamin Constant";5;2;1;4;3;2;3;6;7;4;37
"130063 Beruri";7;2;-;-;1;1;-;1;-;6;18
"130068 Boa Vista do Ramos";11;2;1;2;2;2;2;4;6;3;35
"130070 Boca do Acre";1;-;-;4;3;8;4;4;15;9;48
"130080 Borba";7;-;-;1;4;-;4;3;1;2;22
"130083 Caapiranga";-;-;-;-;-;1;1;-;1;-;3
"130090 Canutama";2;2;-;1;1;-;3;3;3;4;19
"130100 Carauari";31;4;4;7;5;6;4;9;11;13;94
"130110 Careiro";6;1;-;-;1;-;6;1;2;-;17
"130115 Careiro da Várzea";-;-;-;1;-;-;-;-;1;1;3
"130120 Coari";23;4;4;3;12;4;4;7;4;7;72
"130130 Codajás";2;-;-;2;-;1;3;5;2;3;18
"130140 Eirunepé";6;2;-;1;3;-;-;4;2;3;21
"130150 Envira";7;1;-;1;1;1;5;1;3;1;21
"130160 Fonte Boa";3;2;-;3;-;2;3;3;2;3;21
"130165 Guajará";1;-;1;1;5;1;2;-;1;4;16
"130170 Humaitá";18;2;6;7;5;7;8;18;17;14;102
"130180 Ipixuna";3;-;-;2;2;2;3;2;6;5;25
"130185 Iranduba";7;2;-;4;5;7;6;11;7;5;54
"130190 Itacoatiara";43;6;9;19;7;11;28;35;38;63;259
"130195 Itamarati";2;1;-;-;-;-;-;1;1;3;8
"130200 Itapiranga";1;-;-;1;2;2;-;3;4;4;17
"130220 Juruá";4;3;1;-;4;-;-;-;3;1;16
"130230 Jutaí";1;-;-;1;-;2;2;2;1;2;11
"130240 Lábrea";4;3;1;4;2;5;3;3;6;2;33
"130250 Manacapuru";31;7;6;8;10;11;16;21;38;39;187
"130255 Manaquiri";1;-;-;1;1;-;1;2;2;2;10
"130260 Manaus";1452;287;254;490;444;617;685;829;958;914;6930
"130270 Manicoré";4;4;4;3;3;5;10;5;6;19;63
"130280 Maraã";-;-;-;-;-;-;-;-;1;-;1
"130290 Maués";6;5;3;8;6;9;10;18;23;23;111
"130300 Nhamundá";4;1;-;3;-;1;1;2;3;7;22
"130310 Nova Olinda do Norte";2;-;1;5;1;-;4;4;15;15;47
"130320 Novo Airão";2;2;-;-;-;1;2;2;3;3;15
"130330 Novo Aripuanã";2;1;-;1;1;-;1;-;1;1;8
"130340 Parintins";19;8;3;7;16;17;16;39;50;39;214
"130350 Pauini";2;2;2;2;-;2;-;3;2;2;17
"130353 Presidente Figueiredo";5;1;1;1;5;5;2;4;1;2;27
"130356 Rio Preto da Eva";4;2;3;2;3;7;1;2;1;1;26
"130360 Santa Isabel do Rio Negro";1;1;-;2;1;-;1;1;1;-;8
"130370 Santo Antônio do Içá";4;2;-;1;1;1;-;-;1;2;12
"130380 São Gabriel da Cachoeira";11;2;2;2;1;4;4;8;5;8;47
"130390 São Paulo de Olivença";3;3;3;3;5;4;4;6;6;9;46
"130395 São Sebastião do Uatumã";1;1;-;-;-;-;-;-;-;-;2
"130400 Silves";3;-;-;1;-;1;1;1;1;4;12
"130406 Tabatinga";30;6;1;7;3;7;7;5;7;8;81
"130410 Tapauá";5;1;1;3;-;2;1;1;9;8;31
"130420 Tefé";24;3;11;9;8;6;13;6;16;5;101
"130430 Urucará";3;1;1;1;2;-;2;1;-;1;12
"130440 Urucurituba";2;1;1;4;3;1;3;3;4;17;39
"140005 Alto Alegre";22;11;10;18;7;10;6;4;3;4;95
"140002 Amajari";12;5;4;-;3;1;-;1;1;2;29
"140010 Boa Vista";136;24;45;106;98;80;76;78;109;88;840
"140015 Bonfim";1;-;-;2;-;-;2;3;1;1;10
"140017 Cantá";-;-;1;4;7;5;1;1;1;2;22
"140020 Caracaraí";23;12;6;3;5;6;6;1;8;2;72
"140023 Caroebe";-;-;-;2;1;-;1;4;2;-;10
"140028 Iracema";2;1;1;2;1;1;4;1;1;-;14
"140030 Mucajaí";1;2;-;5;7;2;3;3;2;3;28
"140040 Normandia";2;3;4;3;2;1;2;1;-;-;18
"140045 Pacaraima";3;-;1;2;-;3;1;1;-;-;11
"140047 Rorainópolis";5;1;2;3;3;4;-;2;1;2;23
"140050 São João da Baliza";-;-;1;-;3;-;-;1;-;-;5
"140060 São Luiz";-;-;-;1;2;1;1;1;-;-;6
"140070 Uiramutã";2;1;4;2;-;1;-;-;-;1;11
"150010 Abaetetuba";47;17;5;14;8;23;35;34;51;107;341
"150013 Abel Figueiredo";-;-;-;4;2;-;1;2;2;1;12
"150020 Acará";22;5;3;5;3;3;4;9;10;8;72
"150030 Afuá";3;-;2;-;1;-;1;1;4;2;14
"150034 Água Azul do Norte";-;-;-;-;1;2;1;1;1;2;8
"150040 Alenquer";9;7;2;9;5;11;6;31;45;33;158
"150050 Almeirim";6;1;1;2;-;2;2;3;3;8;28
"150060 Altamira";68;15;8;19;36;38;37;53;56;32;362
"150070 Anajás";1;3;1;2;-;2;1;-;1;2;13
"150080 Ananindeua";68;8;10;28;34;35;60;59;91;100;493
"150085 Anapu";1;-;1;2;2;2;1;1;-;1;11
"150090 Augusto Corrêa";5;6;1;2;3;5;6;10;9;9;56
"150095 Aurora do Pará";1;1;-;-;2;-;1;4;4;8;21
"150100 Aveiro";1;-;-;-;-;1;-;4;2;5;13
"150110 Bagre";2;2;-;-;1;1;-;-;1;-;7
"150120 Baião";4;1;2;-;7;3;-;3;6;17;43
"150125 Bannach";-;-;-;1;2;-;-;1;-;-;4
"150130 Barcarena";1;3;4;6;6;9;11;11;4;19;74
"150140 Belém";1129;193;225;547;556;709;918;1252;1470;1454;8453
"150145 Belterra";1;-;-;-;-;1;-;-;2;-;4
"150150 Benevides";6;4;2;3;2;4;5;13;15;15;69
"150157 Bom Jesus do Tocantins";-;-;-;4;5;4;4;2;6;6;31
"150160 Bonito";1;-;1;-;-;2;3;1;4;3;15
"150170 Bragança";58;15;9;17;18;22;29;46;52;67;333
"150172 Brasil Novo";2;-;3;2;1;-;7;2;4;2;23
"150175 Brejo Grande do Araguaia";2;-;-;1;-;1;1;7;5;4;21
"150178 Breu Branco";1;-;2;3;2;4;5;5;2;5;29
"150180 Breves";47;14;5;16;8;15;13;21;31;70;240
"150190 Bujaru";5;2;1;2;3;3;7;11;10;16;60
"150200 Cachoeira do Arari";4;2;-;1;3;2;4;4;8;8;36
"150195 Cachoeira do Piriá";-;-;3;5;3;4;3;1;1;1;21
"150210 Cametá";37;18;3;14;8;8;16;21;32;50;207
"150215 Canaã dos Carajás";-;-;-;-;1;2;3;3;4;5;18
"150220 Capanema";70;11;8;12;20;14;21;42;49;55;302
"150230 Capitão Poço";6;3;-;2;4;6;6;5;7;5;44
"150240 Castanhal";35;12;15;57;46;54;65;75;108;142;609
"150250 Chaves";-;-;-;1;-;-;-;1;1;1;4
"150260 Colares";1;2;-;-;-;-;6;4;7;9;29
"150270 Conceição do Araguaia";19;2;2;7;5;9;8;10;13;9;84
"150275 Concórdia do Pará";2;-;1;4;3;3;6;4;4;9;36
"150276 Cumaru do Norte";-;-;-;2;4;3;3;-;1;-;13
"150277 Curionópolis";-;-;1;2;3;4;1;5;6;8;30
"150280 Curralinho";1;2;-;3;1;1;-;2;2;4;16
"150285 Curuá";8;1;-;-;1;-;-;1;-;6;17
"150290 Curuçá";-;-;-;2;1;2;-;6;12;9;32
"150293 Dom Eliseu";6;1;3;7;10;4;-;3;7;3;44
"150295 Eldorado do Carajás";8;5;-;5;5;7;5;5;3;6;49
"150300 Faro";2;-;-;-;1;1;2;4;2;3;15
"150304 Floresta do Araguaia";3;-;2;6;1;2;2;5;3;3;27
"150307 Garrafão do Norte";12;2;1;3;4;2;3;6;7;8;48
"150309 Goianésia do Pará";16;2;2;12;6;6;6;6;4;4;64
"150310 Gurupá";11;5;3;3;1;6;2;6;10;20;67
"150320 Igarapé-Açu";6;5;4;8;4;7;4;15;14;17;84
"150330 Igarapé-Miri";3;5;3;1;3;4;9;11;11;26;76
"150340 Inhangapi";2;-;-;1;4;5;1;2;6;6;27
"150345 Ipixuna do Pará";1;-;3;1;-;-;2;-;1;3;11
"150350 Irituia";7;2;4;5;5;5;3;6;10;22;69
