 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2012
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";1;-;4;5;6;6;16;16;21;16;91
"110037 Alto Alegre dos Parecis";-;1;1;4;4;1;6;4;6;1;28
"110040 Alto Paraíso";-;-;1;3;2;6;3;8;9;-;32
"110034 Alvorada D'Oeste";-;-;1;3;1;3;6;7;10;10;41
"110002 Ariquemes";14;-;20;49;35;55;49;66;91;87;466
"110045 Buritis";2;1;8;18;9;15;11;13;8;14;99
"110003 Cabixi";-;-;-;-;2;1;1;-;1;4;9
"110060 Cacaulândia";-;1;2;2;1;1;3;2;-;1;13
"110004 Cacoal";12;2;9;31;24;35;60;78;105;114;470
"110070 Campo Novo de Rondônia";1;1;-;-;3;2;4;4;2;2;19
"110080 Candeias do Jamari";1;-;3;10;10;4;7;7;6;10;58
"110090 Castanheiras";-;-;-;-;1;2;1;1;-;1;6
"110005 Cerejeiras";3;-;-;1;6;3;8;11;8;7;47
"110092 Chupinguaia";-;-;-;1;-;-;-;2;-;1;4
"110006 Colorado do Oeste";2;1;-;4;2;4;6;6;6;16;47
"110007 Corumbiara";-;-;-;2;2;3;2;1;2;-;12
"110008 Costa Marques";2;-;2;3;5;2;6;2;16;12;50
"110094 Cujubim";1;-;-;5;7;2;5;4;3;2;29
"110009 Espigão D'Oeste";1;1;3;3;3;10;9;13;22;23;88
"110100 Governador Jorge Teixeira";1;-;1;-;2;2;4;1;4;2;17
"110010 Guajará-Mirim";3;1;3;9;14;12;11;16;33;30;132
"110110 Itapuã do Oeste";2;-;-;2;1;4;7;2;4;3;25
"110011 Jaru";6;2;3;6;15;12;18;21;23;38;144
"110012 Ji-Paraná";10;-;9;45;36;56;85;117;145;157;660
"110013 Machadinho D'Oeste";-;2;5;14;9;14;13;15;15;9;96
"110120 Ministro Andreazza";1;1;-;-;-;3;1;3;2;10;21
"110130 Mirante da Serra";1;-;1;-;-;2;4;4;11;9;32
"110140 Monte Negro";-;-;2;2;4;4;7;2;5;7;33
"110014 Nova Brasilândia D'Oeste";-;-;-;4;3;5;10;8;10;14;54
"110033 Nova Mamoré";-;1;2;7;8;4;13;10;12;8;65
"110143 Nova União";-;-;-;1;1;-;1;-;3;4;10
"110050 Novo Horizonte do Oeste";-;-;-;-;-;1;3;5;9;2;20
"110015 Ouro Preto do Oeste";3;1;6;7;16;16;20;13;43;39;164
"110145 Parecis";-;-;-;2;1;1;1;2;-;1;8
"110018 Pimenta Bueno";3;1;3;4;6;19;19;21;24;25;125
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-;-;-;3;3
"110020 Porto Velho";270;36;73;231;285;345;453;520;501;413;3127
"110025 Presidente Médici";1;-;2;5;1;3;5;4;16;28;65
"110147 Primavera de Rondônia";-;-;-;-;-;-;-;1;1;1;3
