 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2009
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";1;-;1;5;6;9;13;17;17;14;83
"110037 Alto Alegre dos Parecis";2;-;1;1;1;3;5;2;4;4;23
"110040 Alto Paraíso";-;-;1;4;7;4;9;7;5;7;44
"110034 Alvorada D'Oeste";3;-;1;4;3;4;3;4;11;10;43
"110002 Ariquemes";27;1;19;45;47;52;62;60;109;68;490
"110045 Buritis";1;1;3;10;14;3;10;11;11;4;68
"110003 Cabixi";-;-;-;1;1;1;4;2;3;6;18
"110060 Cacaulândia";-;-;1;2;2;1;-;1;2;1;10
"110004 Cacoal";12;4;8;24;17;25;33;48;69;92;332
"110070 Campo Novo de Rondônia";-;-;3;-;2;5;2;2;5;-;19
"110080 Candeias do Jamari";-;-;-;1;2;2;-;1;2;3;11
"110090 Castanheiras";-;-;-;-;-;1;1;-;-;-;2
"110005 Cerejeiras";2;-;1;1;1;1;4;7;15;16;48
"110092 Chupinguaia";-;-;-;3;2;2;1;2;-;1;11
"110006 Colorado do Oeste";-;-;2;3;2;3;7;10;18;10;55
"110007 Corumbiara";-;-;-;-;2;3;1;1;1;2;10
"110008 Costa Marques";5;1;2;3;3;1;5;4;7;3;34
"110094 Cujubim";1;1;2;8;3;10;7;1;4;-;37
"110009 Espigão D'Oeste";1;1;-;5;4;9;12;17;24;19;92
"110100 Governador Jorge Teixeira";-;-;-;1;-;-;-;-;2;1;4
"110010 Guajará-Mirim";10;2;3;2;8;8;15;20;17;34;119
"110110 Itapuã do Oeste";-;-;-;-;2;2;2;5;2;2;15
"110011 Jaru";10;1;2;12;11;14;17;25;27;26;145
"110012 Ji-Paraná";23;2;19;50;62;60;72;111;162;130;691
"110013 Machadinho D'Oeste";3;1;8;11;12;7;14;14;4;13;87
"110120 Ministro Andreazza";-;-;-;1;1;1;-;1;1;1;6
"110130 Mirante da Serra";-;1;1;1;2;2;3;11;11;12;44
"110140 Monte Negro";2;-;2;3;3;7;4;5;9;-;35
"110014 Nova Brasilândia D'Oeste";2;1;1;8;-;4;5;8;12;12;53
"110033 Nova Mamoré";3;1;2;3;10;13;8;3;12;5;60
"110143 Nova União";-;-;-;1;1;3;-;2;2;2;11
"110050 Novo Horizonte do Oeste";-;1;1;-;-;1;-;1;1;3;8
"110015 Ouro Preto do Oeste";7;-;1;12;8;12;16;14;30;34;134
"110145 Parecis";-;-;-;1;-;-;-;-;2;3;6
"110018 Pimenta Bueno";3;1;4;12;9;7;19;17;22;20;114
"110146 Pimenteiras do Oeste";-;-;1;-;1;-;-;-;-;-;2
"110020 Porto Velho";298;38;74;221;242;320;422;420;411;337;2783
"110025 Presidente Médici";3;-;3;3;3;5;7;11;21;19;75
"110147 Primavera de Rondônia";-;-;-;-;-;-;-;-;2;1;3
"110026 Rio Crespo";-;-;-;1;-;-;3;1;1;1;7
"110028 Rolim de Moura";8;2;3;15;15;20;18;31;52;43;207
"110029 Santa Luzia D'Oeste";1;1;-;1;1;-;1;1;4;5;15
"110148 São Felipe D'Oeste";-;-;-;-;3;1;1;2;2;2;11
"110149 São Francisco do Guaporé";2;2;2;3;2;4;1;-;3;1;20
"110032 São Miguel do Guaporé";-;-;2;4;5;3;7;15;9;5;50
"110150 Seringueiras";2;-;1;1;2;6;4;3;4;3;26
"110155 Teixeirópolis";-;-;-;-;1;-;2;1;6;-;10
"110160 Theobroma";1;-;-;1;1;1;2;1;1;-;8
"110170 Urupá";-;-;-;1;2;5;1;6;4;8;27
"110175 Vale do Anari";1;-;1;1;1;3;2;2;4;-;15
"110180 Vale do Paraíso";-;-;-;1;-;3;-;2;4;7;17
"110030 Vilhena";20;5;8;26;21;36;35;56;63;52;322
"120001 Acrelândia";-;-;-;3;-;5;1;1;-;-;10
"120005 Assis Brasil";2;-;-;2;1;-;1;-;2;2;10
"120010 Brasiléia";5;3;1;4;4;4;5;8;16;23;73
"120013 Bujari";-;-;-;-;-;-;-;-;-;1;1
"120017 Capixaba";1;1;-;-;3;-;2;3;2;-;12
"120020 Cruzeiro do Sul";54;10;14;42;30;18;30;36;59;75;368
"120025 Epitaciolândia";2;-;1;-;1;1;-;1;1;5;12
"120030 Feijó";15;1;2;8;6;4;5;7;12;16;76
"120032 Jordão";17;1;1;-;1;-;1;-;2;-;23
"120033 Mâncio Lima";1;1;1;2;1;-;2;1;3;4;16
"120034 Manoel Urbano";2;1;1;2;1;1;1;3;2;6;20
"120035 Marechal Thaumaturgo";-;-;-;2;3;1;-;3;-;1;10
"120038 Plácido de Castro";2;2;-;1;1;2;4;4;8;4;28
"120080 Porto Acre";1;-;-;-;-;2;-;2;1;2;8
"120039 Porto Walter";-;1;1;1;1;2;2;2;1;1;12
"120040 Rio Branco";183;31;52;139;143;173;250;275;312;340;1898
"120042 Rodrigues Alves";-;1;1;1;1;1;-;-;1;-;6
"120043 Santa Rosa do Purus";8;1;2;1;-;-;-;1;1;1;15
"120050 Sena Madureira";9;4;2;3;3;7;12;11;21;25;97
"120045 Senador Guiomard";1;-;2;-;6;2;5;8;11;10;45
"120060 Tarauacá";30;7;5;2;4;6;6;12;15;14;101
"120070 Xapuri";1;-;-;-;1;1;2;2;3;5;15
"130002 Alvarães";6;1;-;-;1;1;1;1;6;6;23
"130006 Amaturá";4;3;1;1;5;-;-;2;3;10;29
"130008 Anamã";1;1;-;1;-;1;1;2;1;3;11
"130010 Anori";7;-;2;5;3;2;-;3;2;10;34
"130014 Apuí";6;-;2;4;7;4;10;5;4;2;44
"130020 Atalaia do Norte";1;2;-;4;2;1;-;1;2;4;17
"130030 Autazes";10;7;1;4;5;6;6;10;10;19;78
"130040 Barcelos";3;-;1;2;2;5;4;1;15;4;37
"130050 Barreirinha";7;3;2;3;1;1;1;3;14;20;55
"130060 Benjamin Constant";11;5;2;5;8;5;9;9;20;10;84
"130063 Beruri";3;2;-;2;-;2;1;3;6;6;25
"130068 Boa Vista do Ramos";3;5;-;4;4;-;3;1;11;12;43
"130070 Boca do Acre";-;1;-;2;7;3;3;5;5;10;36
"130080 Borba";7;2;-;5;2;2;6;8;13;22;67
"130083 Caapiranga";-;-;-;1;1;1;2;2;2;3;12
"130090 Canutama";5;-;-;2;2;1;3;-;6;7;26
"130100 Carauari";8;3;3;4;12;2;9;6;17;16;80
"130110 Careiro";-;1;-;4;-;10;7;8;11;10;51
"130115 Careiro da Várzea";2;3;2;1;4;3;1;3;9;13;41
"130120 Coari";25;9;6;15;20;14;8;22;27;43;189
