 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2006
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";3;1;-;3;6;5;10;22;25;16;91
"110037 Alto Alegre dos Parecis";-;-;-;3;1;-;2;3;1;1;11
"110040 Alto Paraíso";-;-;-;5;4;4;2;7;3;3;28
"110034 Alvorada D'Oeste";2;-;2;3;1;2;6;2;12;8;38
"110002 Ariquemes";28;3;11;42;37;38;48;59;64;46;376
"110045 Buritis";2;3;-;14;5;15;3;2;3;4;51
"110003 Cabixi";1;-;-;-;-;1;2;4;1;4;13
"110060 Cacaulândia";-;1;-;-;1;1;-;2;-;1;6
"110004 Cacoal";34;5;7;22;24;27;33;47;82;74;355
"110070 Campo Novo de Rondônia";-;-;1;3;1;1;-;2;2;2;12
"110080 Candeias do Jamari";1;-;-;-;2;4;3;3;-;3;16
"110090 Castanheiras";-;-;-;-;-;-;-;3;1;-;4
"110005 Cerejeiras";-;-;-;1;5;9;8;6;16;11;56
"110092 Chupinguaia";-;-;-;1;3;2;2;1;-;1;10
"110006 Colorado do Oeste";2;-;1;3;6;9;4;11;18;12;66
"110007 Corumbiara";-;-;-;-;-;1;4;-;1;-;6
"110008 Costa Marques";5;-;1;3;2;1;6;8;5;8;39
"110094 Cujubim";-;1;2;-;-;4;-;1;-;-;8
"110009 Espigão D'Oeste";-;-;-;3;3;5;3;1;3;1;19
"110100 Governador Jorge Teixeira";1;-;-;1;1;-;2;2;-;-;7
"110010 Guajará-Mirim";8;6;2;8;1;9;25;21;27;31;138
"110110 Itapuã do Oeste";1;-;-;1;1;1;1;1;2;1;9
"110011 Jaru";13;1;2;15;6;14;14;23;35;26;149
"110012 Ji-Paraná";29;5;16;42;27;50;56;91;117;111;544
"110013 Machadinho D'Oeste";3;1;1;21;13;14;7;12;9;14;95
"110120 Ministro Andreazza";-;-;-;-;2;1;-;-;-;2;5
"110130 Mirante da Serra";5;1;1;4;4;3;2;6;5;5;36
"110140 Monte Negro";1;-;1;5;3;4;5;5;7;-;31
"110014 Nova Brasilândia D'Oeste";3;-;1;4;1;3;6;13;15;7;53
"110033 Nova Mamoré";1;2;-;3;5;7;4;8;4;3;37
"110143 Nova União";-;-;-;2;2;-;2;1;1;-;8
"110050 Novo Horizonte do Oeste";-;-;-;1;-;3;2;2;3;4;15
"110015 Ouro Preto do Oeste";4;1;-;6;4;2;8;13;12;17;67
