 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2000
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";8;2;1;6;6;8;9;11;28;13;92
"110037 Alto Alegre dos Parecis";1;-;-;1;1;3;4;1;2;4;17
"110040 Alto Paraíso";-;-;1;3;5;5;3;5;-;1;23
"110034 Alvorada D'Oeste";4;-;3;4;7;5;7;6;11;10;57
"110002 Ariquemes";36;9;13;32;39;32;32;53;46;28;320
"110045 Buritis";7;1;4;6;8;8;4;3;4;-;45
"110003 Cabixi";2;-;1;-;-;3;1;3;5;2;17
"110060 Cacaulândia";-;-;-;5;2;5;1;-;1;1;15
"110004 Cacoal";49;3;3;20;24;32;37;53;64;37;322
"110070 Campo Novo de Rondônia";4;-;2;4;5;6;3;5;-;2;31
"110080 Candeias do Jamari";1;-;-;-;1;-;1;-;-;-;3
"110090 Castanheiras";-;-;-;1;-;-;-;3;-;-;4
"110005 Cerejeiras";2;-;-;4;2;5;4;8;6;4;35
"110092 Chupinguaia";2;-;1;2;2;3;5;2;-;2;19
"110006 Colorado do Oeste";5;3;2;4;2;6;10;14;10;17;73
"110007 Corumbiara";1;-;-;-;1;-;-;-;-;-;2
"110008 Costa Marques";6;3;2;5;4;4;3;5;4;3;39
"110094 Cujubim";-;1;-;4;4;-;2;1;-;-;12
"110009 Espigão D'Oeste";6;3;6;8;4;11;8;16;15;15;92
"110100 Governador Jorge Teixeira";3;-;2;-;2;4;4;3;3;2;23
"110010 Guajará-Mirim";8;2;5;7;13;15;14;20;37;22;143
"110110 Itapuã do Oeste";-;-;-;1;-;-;-;-;-;1;2
"110011 Jaru";28;6;5;14;16;16;20;25;22;23;175
"110012 Ji-Paraná";87;6;9;29;31;37;43;64;88;63;457
"110013 Machadinho D'Oeste";10;3;1;8;9;6;7;9;8;2;63
"110120 Ministro Andreazza";1;2;2;-;3;2;4;2;5;2;23
"110130 Mirante da Serra";1;-;-;2;1;4;3;-;1;1;13
"110140 Monte Negro";5;-;3;2;6;6;5;9;5;3;44
"110014 Nova Brasilândia D'Oeste";6;-;-;2;6;6;9;7;9;9;54
"110033 Nova Mamoré";4;1;1;-;5;3;2;7;1;4;28
"110143 Nova União";-;-;-;1;1;1;2;-;-;-;5
"110050 Novo Horizonte do Oeste";3;1;-;1;-;-;-;2;-;1;8
"110015 Ouro Preto do Oeste";23;2;4;15;14;13;18;20;42;25;176
"110145 Parecis";-;-;-;-;-;-;-;1;-;-;1
"110018 Pimenta Bueno";12;3;2;12;5;9;17;22;23;17;122
"110020 Porto Velho";299;44;73;217;232;215;261;253;232;204;2030
"110025 Presidente Médici";5;-;1;3;5;5;5;8;7;10;49
"110147 Primavera de Rondônia";-;-;-;-;-;-;1;2;1;-;4
"110026 Rio Crespo";-;-;-;1;-;-;-;1;-;-;2
"110028 Rolim de Moura";30;4;1;14;8;18;25;38;39;22;199
"110029 Santa Luzia D'Oeste";4;-;1;1;4;3;2;2;6;3;26
"110148 São Felipe D'Oeste";1;-;-;-;1;-;1;-;1;1;5
"110149 São Francisco do Guaporé";1;1;3;7;7;3;7;4;-;2;35
"110032 São Miguel do Guaporé";8;1;3;10;5;5;3;8;4;4;51
"110150 Seringueiras";2;1;2;1;6;-;4;3;5;1;25
"110155 Teixeirópolis";-;-;-;-;-;-;-;1;1;-;2
"110160 Theobroma";1;-;-;4;4;4;4;1;2;4;24
"110170 Urupá";1;2;-;2;3;1;2;3;2;5;21
"110175 Vale do Anari";-;-;1;1;2;2;-;-;-;1;7
"110030 Vilhena";22;3;6;14;15;22;29;49;24;20;204
"120001 Acrelândia";4;1;1;1;3;5;1;5;4;2;27
"120005 Assis Brasil";-;-;-;-;-;2;1;-;3;-;6
"120010 Brasiléia";6;3;1;4;3;4;12;4;8;8;53
"120013 Bujari";-;-;-;-;-;-;-;-;1;-;1
"120017 Capixaba";-;-;-;-;1;2;1;-;-;-;4
"120020 Cruzeiro do Sul";60;17;15;27;26;19;24;26;42;71;327
"120025 Epitaciolândia";3;-;-;3;2;2;2;6;5;10;33
"120030 Feijó";48;4;2;8;5;3;4;4;9;14;101
"120033 Mâncio Lima";2;-;-;1;1;1;1;-;2;3;11
"120034 Manoel Urbano";2;1;-;-;-;3;-;-;2;1;9
"120035 Marechal Thaumaturgo";-;-;-;-;-;1;-;-;3;2;6
"120038 Plácido de Castro";2;1;-;3;1;2;1;1;5;4;20
"120080 Porto Acre";3;-;-;1;2;-;-;3;3;3;15
"120039 Porto Walter";-;-;-;1;1;-;-;1;-;-;3
"120040 Rio Branco";264;45;52;124;128;134;160;194;224;242;1567
"120042 Rodrigues Alves";-;1;-;-;1;-;-;2;-;-;4
"120050 Sena Madureira";9;3;3;11;5;2;4;6;6;13;62
"120045 Senador Guiomard";5;1;2;4;7;6;5;2;6;6;44
"120060 Tarauacá";65;7;1;9;8;7;8;9;24;19;157
"120070 Xapuri";2;2;1;2;2;4;1;4;7;3;28
"130002 Alvarães";1;-;-;-;1;-;1;1;1;4;9
"130006 Amaturá";1;-;-;-;-;-;-;-;-;1;2
"130008 Anamã";6;2;1;-;1;1;1;4;4;4;24
"130010 Anori";4;3;-;2;3;4;4;6;5;4;35
"130014 Apuí";1;1;-;2;4;5;3;3;3;1;23
"130020 Atalaia do Norte";6;5;1;1;1;1;4;2;5;2;28
"130030 Autazes";14;4;1;5;2;3;3;4;12;12;60
"130040 Barcelos";4;1;-;4;-;1;2;2;4;2;20
"130050 Barreirinha";8;3;3;6;2;5;2;6;14;10;59
"130060 Benjamin Constant";8;1;1;4;6;4;2;9;12;6;53
"130063 Beruri";9;3;-;2;2;3;2;2;3;2;28
"130068 Boa Vista do Ramos";10;5;1;-;3;-;3;2;10;11;45
"130070 Boca do Acre";-;3;1;3;6;4;7;6;11;6;47
"130080 Borba";6;2;1;2;1;2;3;10;6;13;46
"130083 Caapiranga";2;1;-;-;-;-;-;3;-;4;10
"130090 Canutama";1;2;2;2;1;2;-;4;2;4;20
"130100 Carauari";23;6;5;9;5;3;7;15;5;23;101
"130110 Careiro";4;3;-;4;1;2;1;4;5;1;25
"130115 Careiro da Várzea";2;2;2;-;2;-;1;2;1;2;14
"130120 Coari";27;7;6;10;9;2;9;5;8;16;99
"130130 Codajás";2;1;-;-;1;2;-;1;1;2;10
"130140 Eirunepé";4;-;2;3;5;3;2;1;1;4;25
"130150 Envira";8;5;1;2;5;-;1;4;2;4;32
"130160 Fonte Boa";27;14;7;6;7;3;8;7;11;9;99
"130165 Guajará";2;-;-;1;1;2;1;-;6;2;15
"130170 Humaitá";14;2;1;5;5;5;9;11;15;10;77
"130180 Ipixuna";3;2;1;1;5;-;4;2;8;4;30
"130185 Iranduba";20;12;8;5;7;6;7;8;6;11;90
"130190 Itacoatiara";32;7;8;10;16;23;13;40;36;57;242
"130195 Itamarati";1;2;1;-;1;1;-;-;-;2;8
"130200 Itapiranga";-;1;-;1;3;2;-;2;4;5;18
"130210 Japurá";-;-;-;1;-;-;-;-;-;-;1
"130220 Juruá";7;6;1;2;-;-;-;2;3;1;22
"130230 Jutaí";-;-;-;1;-;1;1;2;2;3;10
"130240 Lábrea";8;3;2;1;-;3;4;8;4;6;39
"130250 Manacapuru";30;7;7;8;14;14;11;26;32;48;197
"130255 Manaquiri";7;4;-;-;1;2;2;7;6;4;33
"130260 Manaus";1303;203;205;572;530;627;749;931;1055;1000;7175
"130270 Manicoré";1;-;3;1;3;6;6;9;15;8;52
"130280 Maraã";4;2;-;-;-;-;1;1;-;-;8
"130290 Maués";9;3;1;8;6;11;4;17;29;19;107
"130300 Nhamundá";5;1;-;3;1;-;3;8;8;16;45
"130310 Nova Olinda do Norte";18;2;-;5;3;2;4;6;9;14;63
"130320 Novo Airão";12;2;1;1;4;2;-;2;5;9;38
"130330 Novo Aripuanã";3;1;-;2;3;3;1;-;3;2;18
"130340 Parintins";42;7;7;11;16;20;26;34;55;67;285
"130350 Pauini";3;4;3;3;2;2;1;-;3;-;21
"130353 Presidente Figueiredo";4;4;2;14;3;6;4;5;-;1;43
"130356 Rio Preto da Eva";4;1;2;1;4;4;3;2;3;2;26
"130360 Santa Isabel do Rio Negro";7;-;-;2;-;1;-;-;5;2;17
"130370 Santo Antônio do Içá";2;1;1;1;-;1;3;-;5;-;14
"130380 São Gabriel da Cachoeira";36;22;2;8;8;6;3;12;5;13;115
"130390 São Paulo de Olivença";7;1;1;6;3;5;2;7;6;9;47
"130395 São Sebastião do Uatumã";1;-;-;-;-;1;-;1;4;1;8
"130400 Silves";3;-;-;-;-;1;2;5;-;4;15
"130406 Tabatinga";48;8;3;10;7;9;8;14;21;15;143
"130410 Tapauá";6;2;1;2;1;-;7;4;3;8;34
"130420 Tefé";32;7;6;10;10;9;14;13;15;12;128
"130423 Tonantins";11;3;-;2;-;4;1;5;7;-;33
"130426 Uarini";1;1;-;1;-;1;-;1;-;1;6
"130430 Urucará";3;1;2;1;4;2;1;6;4;4;28
"130440 Urucurituba";4;1;-;2;5;-;3;-;5;7;27
"140005 Alto Alegre";7;7;2;9;6;7;2;4;5;4;53
"140002 Amajari";7;1;3;3;5;3;6;-;2;2;32
"140010 Boa Vista";125;34;41;100;101;89;97;109;112;86;894
"140015 Bonfim";5;3;-;4;4;1;-;3;1;-;21
"140017 Cantá";1;1;1;4;7;3;2;1;1;-;21
"140020 Caracaraí";6;3;4;3;6;5;6;7;4;7;51
"140023 Caroebe";-;-;-;1;-;-;-;-;-;1;2
"140028 Iracema";-;-;1;2;1;1;1;2;-;-;8
"140030 Mucajaí";1;1;5;4;3;9;3;5;4;3;38
"140040 Normandia";3;1;1;1;1;1;1;2;2;7;20
"140045 Pacaraima";-;3;2;4;4;2;1;-;-;1;17
"140047 Rorainópolis";4;1;2;4;3;8;5;3;3;1;34
"140050 São João da Baliza";-;-;1;-;2;-;1;-;1;-;5
"140060 São Luiz";2;-;-;2;-;2;2;2;1;2;13
"140070 Uiramutã";5;4;1;1;3;-;-;1;2;2;19
"150010 Abaetetuba";50;12;6;6;8;16;26;43;46;87;300
"150013 Abel Figueiredo";1;-;-;1;1;1;1;3;4;2;14
"150020 Acará";6;3;1;1;4;5;3;3;10;9;45
"150030 Afuá";3;1;-;1;3;3;3;2;3;7;26
"150034 Água Azul do Norte";-;1;-;3;3;1;-;3;-;1;12
"150040 Alenquer";4;1;1;3;6;6;7;19;20;36;103
"150050 Almeirim";9;1;2;2;1;2;3;6;3;3;32
"150060 Altamira";89;22;7;33;29;25;41;37;48;28;359
"150070 Anajás";9;5;-;1;1;-;5;2;4;2;29
"150080 Ananindeua";65;13;8;13;25;37;60;59;76;121;477
"150085 Anapu";3;2;1;-;1;1;1;1;4;2;16
"150090 Augusto Corrêa";8;-;-;1;4;3;9;10;8;16;59
"150095 Aurora do Pará";1;1;-;-;1;1;3;3;5;3;18
"150100 Aveiro";5;2;-;-;1;1;-;1;1;3;14
"150110 Bagre";2;-;-;1;-;-;-;-;-;1;4
"150120 Baião";-;2;-;1;3;2;1;5;9;7;30
"150130 Barcarena";25;2;1;6;10;3;15;11;13;21;107
"150140 Belém";1090;169;246;570;561;798;964;1228;1435;1417;8478
"150145 Belterra";2;2;-;3;-;2;1;3;4;6;23
"150150 Benevides";1;-;-;6;1;5;8;7;9;9;46
"150157 Bom Jesus do Tocantins";-;1;-;2;2;5;5;5;6;9;35
"150160 Bonito";1;-;-;-;1;4;6;6;5;5;28
"150170 Bragança";67;12;5;9;16;27;30;30;60;51;307
"150172 Brasil Novo";4;-;2;4;1;3;2;5;4;4;29
"150175 Brejo Grande do Araguaia";-;-;-;-;1;1;1;3;1;2;9
"150178 Breu Branco";4;1;1;3;3;1;2;6;3;7;31
"150180 Breves";45;13;10;19;18;11;11;20;29;47;223
"150190 Bujaru";7;-;2;4;-;1;4;8;6;8;40
"150200 Cachoeira do Arari";3;2;-;2;3;3;5;3;2;4;27
"150195 Cachoeira do Piriá";1;-;-;1;-;-;1;3;1;-;7
"150210 Cametá";60;18;5;7;9;10;10;21;36;43;219
"150215 Canaã dos Carajás";2;1;-;1;-;-;2;3;3;2;14
"150220 Capanema";65;10;8;15;11;28;27;42;37;68;311
"150230 Capitão Poço";6;2;-;5;3;4;5;13;2;8;48
"150240 Castanhal";37;6;17;38;45;52;68;111;120;116;610
"150250 Chaves";1;1;-;-;-;1;-;-;-;2;5
"150260 Colares";-;1;-;-;1;1;-;4;2;9;18
"150270 Conceição do Araguaia";21;3;4;3;5;11;10;14;13;13;97
"150275 Concórdia do Pará";3;-;-;2;-;4;1;3;5;7;25
"150276 Cumaru do Norte";1;1;-;-;-;2;1;-;-;-;5
"150277 Curionópolis";-;1;1;5;5;8;5;11;8;-;44
"150280 Curralinho";1;3;1;-;1;1;-;-;1;2;10
"150285 Curuá";-;-;-;-;-;-;1;-;3;-;4
"150290 Curuçá";-;-;1;1;2;5;4;8;7;11;39
"150293 Dom Eliseu";20;4;4;9;7;7;3;4;2;1;61
"150295 Eldorado do Carajás";6;4;1;14;12;7;7;5;6;2;64
"150300 Faro";6;2;-;-;-;-;-;3;4;12;27
"150304 Floresta do Araguaia";2;2;-;1;1;4;2;8;3;7;30
"150307 Garrafão do Norte";10;3;1;3;3;4;7;4;7;3;45
"150309 Goianésia do Pará";7;3;6;8;8;9;9;5;8;3;66
"150310 Gurupá";7;3;2;-;5;5;4;7;13;9;55
"150320 Igarapé-Açu";6;5;-;1;6;4;10;15;20;27;94
"150330 Igarapé-Miri";1;-;-;3;3;5;2;6;7;24;51
"150340 Inhangapi";-;-;-;-;-;1;2;4;5;4;16
"150345 Ipixuna do Pará";6;-;3;3;2;-;2;2;4;3;25
"150350 Irituia";12;-;2;4;2;4;5;9;16;17;71
