 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2003
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";6;3;1;5;5;10;11;21;16;18;96
"110037 Alto Alegre dos Parecis";1;-;-;3;4;5;3;3;6;1;26
"110040 Alto Paraíso";-;-;1;3;6;5;4;5;6;2;32
"110034 Alvorada D'Oeste";1;-;1;3;2;3;7;5;7;8;37
"110002 Ariquemes";40;8;11;47;47;35;37;58;57;36;376
"110045 Buritis";10;2;2;11;14;23;12;16;3;3;96
"110003 Cabixi";-;1;-;1;1;2;4;4;4;3;20
"110060 Cacaulândia";-;1;-;-;3;-;2;1;3;-;10
"110004 Cacoal";28;13;6;17;22;38;34;49;71;45;323
"110070 Campo Novo de Rondônia";1;-;1;3;2;2;2;4;1;2;18
"110080 Candeias do Jamari";3;-;1;2;1;2;3;3;1;1;17
"110090 Castanheiras";-;-;-;-;1;2;1;2;1;-;7
"110005 Cerejeiras";2;3;2;1;4;3;4;7;11;5;42
"110092 Chupinguaia";-;-;-;2;3;1;3;1;-;-;10
"110006 Colorado do Oeste";4;-;2;1;2;3;8;7;9;7;43
"110007 Corumbiara";-;-;-;-;3;-;-;1;-;-;4
"110008 Costa Marques";4;2;3;6;3;9;7;5;8;6;53
"110094 Cujubim";-;3;2;2;3;1;1;1;1;2;16
"110009 Espigão D'Oeste";9;2;3;8;12;8;12;15;13;20;102
"110100 Governador Jorge Teixeira";-;-;-;3;-;5;3;1;3;3;18
"110010 Guajará-Mirim";13;2;1;7;6;12;9;14;23;19;106
"110110 Itapuã do Oeste";1;-;1;2;2;1;3;1;4;-;15
"110011 Jaru";16;3;8;13;18;23;15;29;24;19;168
"110012 Ji-Paraná";55;10;6;31;31;53;54;70;95;87;492
"110013 Machadinho D'Oeste";10;1;4;12;10;8;13;11;6;5;80
"110120 Ministro Andreazza";-;-;-;4;4;2;1;3;4;5;23
"110130 Mirante da Serra";3;1;1;2;1;2;9;4;8;5;36
"110140 Monte Negro";1;1;1;5;6;1;1;7;3;4;30
"110014 Nova Brasilândia D'Oeste";6;-;1;8;6;5;10;9;17;11;73
"110033 Nova Mamoré";1;-;4;5;6;4;3;5;6;8;42
"110143 Nova União";-;-;-;4;3;1;1;-;4;1;14
"110050 Novo Horizonte do Oeste";-;1;1;2;2;1;4;3;4;6;24
"110015 Ouro Preto do Oeste";18;3;2;9;15;15;27;29;37;25;180
"110145 Parecis";-;-;-;-;2;-;-;2;2;2;8
"110018 Pimenta Bueno";9;2;3;6;11;15;12;24;20;24;126
"110146 Pimenteiras do Oeste";-;-;-;-;2;-;-;-;-;1;3
"110020 Porto Velho";294;39;68;218;236;283;298;320;328;242;2326
"110025 Presidente Médici";4;-;3;4;9;5;13;14;22;19;93
"110147 Primavera de Rondônia";-;-;1;1;-;1;1;1;2;1;8
"110026 Rio Crespo";-;-;-;1;1;-;1;-;2;1;6
"110028 Rolim de Moura";17;4;5;12;15;12;18;38;48;31;200
"110029 Santa Luzia D'Oeste";2;1;1;-;1;1;1;4;5;6;22
"110148 São Felipe D'Oeste";-;-;-;1;2;-;2;2;-;2;9
"110149 São Francisco do Guaporé";6;1;1;8;3;8;3;7;4;2;43
"110032 São Miguel do Guaporé";7;1;-;7;4;4;5;11;9;2;50
"110150 Seringueiras";3;-;-;1;4;2;4;5;5;3;27
"110155 Teixeirópolis";-;-;1;1;3;-;1;3;1;3;13
