 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2010
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";5;1;2;8;4;6;11;12;11;8;68
"110037 Alto Alegre dos Parecis";-;-;1;1;2;3;3;1;7;3;21
"110040 Alto Paraíso";2;-;4;7;5;4;6;6;11;5;50
"110034 Alvorada D'Oeste";1;-;-;5;-;4;5;2;11;12;40
"110002 Ariquemes";29;3;17;31;39;51;57;51;90;67;435
"110045 Buritis";2;-;4;10;15;15;12;10;12;16;96
"110003 Cabixi";-;1;-;-;-;1;2;1;1;4;10
"110060 Cacaulândia";-;-;1;-;1;1;1;1;2;3;10
"110004 Cacoal";14;2;8;22;20;34;32;59;91;81;363
"110070 Campo Novo de Rondônia";-;-;-;3;6;5;4;2;1;2;23
"110080 Candeias do Jamari";-;-;1;4;3;3;3;4;-;3;21
"110090 Castanheiras";-;-;-;-;-;-;1;1;-;-;2
"110005 Cerejeiras";-;1;1;8;4;5;3;11;13;10;56
"110092 Chupinguaia";-;-;-;1;3;-;2;1;-;1;8
"110006 Colorado do Oeste";2;-;1;3;3;2;3;8;14;21;57
"110007 Corumbiara";1;-;-;-;-;2;2;1;-;7;13
"110008 Costa Marques";1;-;1;5;4;4;5;1;4;4;29
"110094 Cujubim";-;1;-;8;8;7;2;3;5;5;39
"110009 Espigão D'Oeste";3;1;-;4;9;5;14;9;26;21;92
"110100 Governador Jorge Teixeira";-;1;-;-;-;2;3;-;3;4;13
"110010 Guajará-Mirim";13;2;3;7;12;15;15;17;32;39;155
"110110 Itapuã do Oeste";-;1;-;1;3;3;2;3;3;1;17
"110011 Jaru";8;1;2;7;13;11;22;25;36;38;163
"110012 Ji-Paraná";31;5;10;63;39;64;71;103;160;141;687
"110013 Machadinho D'Oeste";2;1;5;6;7;10;10;13;4;13;71
"110120 Ministro Andreazza";-;-;-;3;-;-;2;5;2;3;15
"110130 Mirante da Serra";-;-;-;3;1;1;3;4;4;6;22
"110140 Monte Negro";-;-;-;4;3;2;5;6;10;6;36
"110014 Nova Brasilândia D'Oeste";3;-;-;3;4;4;5;10;10;15;54
"110033 Nova Mamoré";2;2;2;1;9;14;9;9;9;11;68
"110143 Nova União";-;-;-;2;3;-;1;3;-;1;10
"110050 Novo Horizonte do Oeste";-;-;1;2;2;3;2;6;8;7;31
"110015 Ouro Preto do Oeste";3;2;5;5;8;14;22;21;33;37;150
"110145 Parecis";1;-;1;-;-;1;1;3;1;1;9
"110018 Pimenta Bueno";7;1;-;8;11;12;12;16;26;27;120
"110020 Porto Velho";307;42;91;250;241;326;429;455;469;356;2966
"110025 Presidente Médici";2;-;-;7;2;1;7;13;19;21;72
"110147 Primavera de Rondônia";-;-;1;3;-;-;-;6;2;3;15
"110026 Rio Crespo";-;-;-;-;1;-;2;-;4;1;8
"110028 Rolim de Moura";2;-;5;12;11;19;19;36;62;56;222
"110029 Santa Luzia D'Oeste";-;-;-;-;1;1;2;2;4;2;12
"110148 São Felipe D'Oeste";-;-;1;-;-;1;1;2;1;-;6
"110149 São Francisco do Guaporé";-;-;1;2;5;3;5;3;5;5;29
"110032 São Miguel do Guaporé";-;-;1;4;5;5;3;9;6;4;37
"110150 Seringueiras";1;-;-;3;1;1;6;3;4;5;24
"110155 Teixeirópolis";-;-;-;-;-;-;-;-;1;1;2
"110160 Theobroma";-;-;-;3;2;3;1;3;-;3;15
"110170 Urupá";-;-;1;4;-;1;1;6;8;4;25
"110175 Vale do Anari";-;-;1;5;1;2;3;4;2;3;21
"110180 Vale do Paraíso";-;-;-;-;1;1;2;1;1;3;9
"110030 Vilhena";25;5;6;30;37;38;42;75;76;62;396
"110000 Município ignorado - RO";-;-;1;-;-;-;-;-;-;-;1
"120001 Acrelândia";1;-;-;3;-;1;1;-;-;-;6
"120005 Assis Brasil";-;-;-;1;-;1;2;3;1;1;9
"120010 Brasiléia";5;2;2;7;4;8;4;7;27;21;87
"120013 Bujari";-;-;1;-;-;-;1;1;-;6;9
"120017 Capixaba";-;-;1;3;2;1;-;5;2;3;17
"120020 Cruzeiro do Sul";41;5;18;32;35;30;34;58;58;74;385
"120025 Epitaciolândia";3;-;1;1;2;2;4;2;6;4;25
"120030 Feijó";10;3;4;5;12;4;4;13;11;15;81
