 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:1995
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";14;2;4;14;9;1;12;13;12;8;89
"110040 Alto Paraíso";8;-;-;2;4;-;-;6;2;-;22
"110034 Alvorada D'Oeste";27;2;-;2;4;4;14;6;6;8;73
"110002 Ariquemes";72;15;17;54;39;49;47;61;41;26;421
"110003 Cabixi";2;-;-;4;-;2;2;2;6;-;18
"110060 Cacaulândia";-;-;2;-;2;2;-;-;-;-;6
"110004 Cacoal";56;8;16;25;19;25;23;58;44;44;318
"110070 Campo Novo de Rondônia";-;-;6;8;2;6;2;-;2;4;30
"110080 Candeias do Jamari";-;-;-;-;2;-;-;-;-;-;2
"110090 Castanheiras";-;-;-;-;-;-;1;-;2;-;3
"110005 Cerejeiras";8;-;-;-;8;1;10;17;14;3;61
"110006 Colorado do Oeste";14;2;4;6;4;3;12;28;9;12;94
"110007 Corumbiara";2;-;-;6;2;-;2;-;-;2;14
"110008 Costa Marques";10;2;-;6;2;10;8;2;2;2;44
"110009 Espigão D'Oeste";6;2;4;4;2;9;2;11;10;6;56
"110100 Governador Jorge Teixeira";-;2;-;5;3;2;2;2;4;-;20
"110010 Guajará-Mirim";31;3;2;12;12;17;28;22;39;35;201
"110110 Itapuã do Oeste";-;-;-;2;-;-;-;-;-;-;2
"110011 Jaru";49;6;11;34;33;28;38;42;54;41;336
"110012 Ji-Paraná";151;27;28;54;78;102;114;115;126;86;881
"110013 Machadinho D'Oeste";18;4;4;12;16;12;10;6;2;9;93
"110120 Ministro Andreazza";-;-;-;-;-;-;-;2;-;-;2
"110140 Monte Negro";14;2;2;2;6;4;6;-;4;2;42
"110014 Nova Brasilândia D'Oeste";2;-;-;-;-;4;4;-;1;-;11
"110033 Nova Mamoré";4;2;-;4;4;4;4;9;-;4;35
"110050 Novo Horizonte do Oeste";2;-;2;-;2;2;2;-;-;-;10
"110015 Ouro Preto do Oeste";33;4;2;18;26;13;18;30;45;24;213
"110018 Pimenta Bueno";32;2;4;8;18;20;12;18;42;13;169
"110020 Porto Velho";79;38;56;98;133;94;106;129;125;88;946
"110025 Presidente Médici";14;4;10;10;17;12;26;21;17;27;158
