 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2005
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";10;1;2;4;5;9;8;18;18;13;88
"110037 Alto Alegre dos Parecis";-;-;-;3;10;4;1;4;4;1;27
"110040 Alto Paraíso";-;1;-;6;3;5;3;2;5;3;28
"110034 Alvorada D'Oeste";2;1;1;1;-;4;3;4;11;7;34
"110002 Ariquemes";16;7;12;32;44;37;31;54;61;40;334
"110045 Buritis";12;3;2;15;13;20;8;13;16;10;112
"110003 Cabixi";-;-;-;1;1;-;3;4;8;5;22
"110060 Cacaulândia";-;-;-;2;3;1;2;2;1;-;11
"110004 Cacoal";26;4;3;17;20;28;32;41;84;64;319
"110070 Campo Novo de Rondônia";2;-;1;6;2;3;3;4;5;-;26
"110080 Candeias do Jamari";2;-;-;3;1;3;5;3;2;3;22
"110090 Castanheiras";-;-;2;-;-;1;-;1;-;-;4
"110005 Cerejeiras";3;-;1;5;3;7;6;8;7;9;49
"110092 Chupinguaia";-;-;-;2;6;2;2;4;2;-;18
"110006 Colorado do Oeste";1;1;3;3;4;5;5;8;17;11;58
"110007 Corumbiara";-;-;1;1;1;1;-;3;2;1;10
"110008 Costa Marques";8;2;2;7;6;4;3;8;7;5;52
"110094 Cujubim";1;-;1;3;1;2;2;1;-;-;11
"110009 Espigão D'Oeste";12;-;2;7;7;9;14;21;29;13;114
"110100 Governador Jorge Teixeira";1;-;2;1;3;-;5;4;2;1;19
"110010 Guajará-Mirim";13;2;-;12;6;5;13;19;27;39;136
"110110 Itapuã do Oeste";-;-;1;3;2;2;3;4;4;1;20
"110011 Jaru";9;2;2;13;11;12;20;12;23;21;125
"110012 Ji-Paraná";47;4;10;35;40;44;55;85;97;110;527
"110013 Machadinho D'Oeste";4;1;6;14;11;6;11;11;7;7;78
"110120 Ministro Andreazza";-;-;-;-;3;-;3;3;4;6;19
"110130 Mirante da Serra";2;1;2;3;6;3;2;10;5;5;39
"110140 Monte Negro";3;1;2;4;4;1;5;7;5;3;35
"110014 Nova Brasilândia D'Oeste";3;-;2;2;3;6;6;13;14;10;59
"110033 Nova Mamoré";1;1;2;7;7;6;4;7;8;8;51
"110143 Nova União";1;-;-;-;1;2;2;3;3;1;13
"110050 Novo Horizonte do Oeste";-;-;-;1;-;-;6;4;2;2;15
"110015 Ouro Preto do Oeste";9;2;1;13;13;17;24;35;40;31;185
"110145 Parecis";1;-;-;1;1;2;2;-;1;1;9
"110018 Pimenta Bueno";10;1;1;8;14;8;5;17;21;19;104
"110146 Pimenteiras do Oeste";-;-;-;1;-;-;1;-;-;1;3
"110020 Porto Velho";275;47;86;202;199;288;285;365;345;265;2357
"110025 Presidente Médici";2;1;-;6;2;6;6;10;21;16;70
"110147 Primavera de Rondônia";-;-;-;1;-;-;-;-;1;-;2
"110026 Rio Crespo";-;-;-;1;1;1;2;1;4;-;10
"110028 Rolim de Moura";5;2;2;11;8;13;8;19;33;33;134
"110029 Santa Luzia D'Oeste";-;1;-;1;1;3;2;4;6;10;28
"110148 São Felipe D'Oeste";-;-;-;-;-;-;1;3;-;-;4
"110149 São Francisco do Guaporé";8;-;-;5;3;3;8;6;5;2;40
"110032 São Miguel do Guaporé";3;1;-;1;8;8;5;12;7;3;48
"110150 Seringueiras";5;-;2;2;3;7;1;2;7;1;30
"110155 Teixeirópolis";-;-;-;1;1;-;-;-;-;2;4
"110160 Theobroma";1;-;-;3;-;2;2;-;1;-;9
"110170 Urupá";-;-;1;3;-;-;4;3;2;2;15
