 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:1996
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";8;2;3;6;9;4;6;12;15;9;74
"110040 Alto Paraíso";2;3;-;1;4;1;2;1;-;-;14
"110034 Alvorada D'Oeste";6;1;-;4;4;3;9;10;9;4;50
"110002 Ariquemes";74;13;10;33;52;32;36;54;37;25;366
"110003 Cabixi";2;-;-;2;1;4;-;3;5;3;20
"110060 Cacaulândia";-;-;-;1;-;1;-;1;-;-;3
"110004 Cacoal";47;15;15;27;35;37;41;52;63;33;365
"110070 Campo Novo de Rondônia";3;1;2;4;5;2;2;2;2;-;23
"110080 Candeias do Jamari";-;-;2;5;3;3;2;-;-;-;15
"110090 Castanheiras";1;-;-;-;1;1;-;1;3;1;8
"110005 Cerejeiras";8;3;4;3;3;11;9;9;11;4;65
"110006 Colorado do Oeste";4;1;4;4;2;4;6;7;9;10;51
"110007 Corumbiara";-;-;-;1;-;1;1;-;-;-;3
"110008 Costa Marques";10;-;3;6;5;9;2;6;3;4;48
"110009 Espigão D'Oeste";12;2;1;5;9;2;5;15;12;9;72
"110100 Governador Jorge Teixeira";5;2;1;1;-;3;4;3;1;-;20
"110010 Guajará-Mirim";11;5;4;11;12;10;10;19;30;17;129
"110110 Itapuã do Oeste";-;-;1;2;2;1;1;1;1;-;9
"110011 Jaru";46;1;4;18;17;18;15;28;22;18;187
"110012 Ji-Paraná";92;15;25;32;38;43;65;82;75;58;525
"110013 Machadinho D'Oeste";5;4;3;10;8;5;8;8;4;-;55
"110120 Ministro Andreazza";-;-;-;-;-;3;1;1;-;-;5
"110140 Monte Negro";12;3;3;6;6;5;1;4;3;2;45
"110014 Nova Brasilândia D'Oeste";6;-;1;1;4;4;6;8;3;2;35
"110033 Nova Mamoré";2;1;2;5;5;1;4;2;-;4;26
"110050 Novo Horizonte do Oeste";-;1;-;-;2;1;2;3;1;4;14
"110015 Ouro Preto do Oeste";34;5;2;16;13;16;16;32;32;23;189
"110018 Pimenta Bueno";12;1;4;13;20;20;16;27;17;10;140
"110020 Porto Velho";106;46;51;147;173;143;128;174;144;91;1203
"110025 Presidente Médici";9;3;3;5;5;5;10;11;12;12;75
"110026 Rio Crespo";1;-;-;1;3;2;2;-;-;-;9
