 População Residente - Brasil
População residente por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2011
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";375;1520;2571;4263;3637;3259;2052;1219;684;170;19750
"110037 Alto Alegre dos Parecis";199;906;1401;2120;2019;1557;1000;621;266;76;10165
"110040 Alto Paraíso";281;1179;1714;2838;2778;2161;1423;844;384;105;13707
"110034 Alvorada D'Oeste";252;1034;1755;2771;2475;2145;1554;852;474;164;13476
"110002 Ariquemes";1428;5941;9163;17674;14809;11612;6990;3723;1819;634;73793
"110045 Buritis";563;2440;3342;6131;5314;3731;2447;1313;534;152;25967
"110003 Cabixi";111;389;585;956;905;869;675;371;211;55;5127
"110060 Cacaulândia";92;395;549;949;893;692;504;301;162;38;4575
"110004 Cacoal";1218;4620;7898;14848;12746;10531;6776;3647;2045;815;65144
"110070 Campo Novo de Rondônia";214;971;1278;2182;1942;1548;1074;496;211;55;9971
"110080 Candeias do Jamari";396;1586;2010;3663;3007;2283;1610;873;342;142;15912
"110090 Castanheiras";46;188;351;539;544;470;317;258;113;34;2860
"110005 Cerejeiras";254;975;1709;2955;2556;2384;1458;981;516;175;13963
"110092 Chupinguaia";164;635;868;1563;1395;1028;602;325;129;31;6740
"110006 Colorado do Oeste";281;1056;1764;3222;2809;2394;1753;1133;642;236;15290
"110007 Corumbiara";117;494;935;1450;1385;1152;767;422;223;74;7019
"110008 Costa Marques";295;1146;1438;2471;2098;1450;979;542;238;84;10741
"110094 Cujubim";300;1338;1713;2984;2633;1878;1188;570;209;41;12854
"110009 Espigão D'Oeste";509;1884;2774;5338;4716;3614;2445;1390;683;241;23594
"110100 Governador Jorge Teixeira";141;649;1057;1728;1502;1300;880;546;262;95;8160
"110010 Guajará-Mirim";801;3348;4309;7392;6289;4735;2831;1744;912;447;32808
"110110 Itapuã do Oeste";191;663;905;1368;1291;1000;749;430;175;55;6827
"110011 Jaru";775;3275;5097;10077;8361;6238;4077;2356;1373;512;42141
"110012 Ji-Paraná";1848;7429;11535;22793;18903;15350;9937;5147;2708;1068;96718
"110013 Machadinho D'Oeste";583;2356;3212;5573;4858;3736;2657;1380;608;157;25120
"110120 Ministro Andreazza";174;676;1121;1691;1604;1261;808;506;284;88;8213
"110130 Mirante da Serra";145;745;1213;2003;1797;1342;1006;588;386;136;9361
"110140 Monte Negro";225;979;1401;2360;2164;1649;1169;709;366;94;11116
"110014 Nova Brasilândia D'Oeste";283;1166;2174;3426;3220;2414;1699;1045;512;149;16088
"110033 Nova Mamoré";418;1836;2248;4058;3636;2645;1672;862;395;147;17917
"110143 Nova União";120;466;876;1206;1152;895;618;363;173;63;5932
"110050 Novo Horizonte do Oeste";157;595;1072;1562;1592;1344;933;588;307;90;8240
"110015 Ouro Preto do Oeste";569;2272;3705;7140;5773;5001;3117;1900;1049;397;30923
"110145 Parecis";92;358;519;885;704;626;392;227;99;26;3928
"110018 Pimenta Bueno";526;2121;3389;6575;5296;4447;2839;1556;732;302;27783
"110146 Pimenteiras do Oeste";49;179;213;349;371;282;181;125;41;21;1811
"110020 Porto Velho";7496;28458;42695;92374;72283;54704;33518;15144;6673;2742;356087
"110025 Presidente Médici";284;1264;2217;3700;3201;2940;2196;1281;728;305;18116
"110147 Primavera de Rondônia";48;183;312;544;520;467;328;197;104;48;2751
"110026 Rio Crespo";53;223;289;557;497;459;281;178;105;31;2673
"110028 Rolim de Moura";729;3094;5091;9854;8269;6516;4148;2386;1306;485;41878
"110029 Santa Luzia D'Oeste";138;495;883;1459;1336;1238;798;468;266;106;7187
"110148 São Felipe D'Oeste";79;330;557;941;941;796;597;377;191;60;4869
"110149 São Francisco do Guaporé";311;1203;1697;2902;2607;1869;1223;684;289;84;12869
"110032 São Miguel do Guaporé";360;1475;2334;3928;3425;2627;1699;978;475;104;17405
