 População Residente - Brasil
População residente por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2002
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";529;2415;3073;4897;4116;2641;1513;1042;385;99;20710
"110037 Alto Alegre dos Parecis";331;1383;1451;2563;1912;1156;808;423;150;33;10210
"110040 Alto Paraíso";326;1342;1588;2590;1999;1320;925;500;188;42;10820
"110034 Alvorada D'Oeste";389;1830;2302;3633;2741;1929;1131;775;327;78;15135
"110002 Ariquemes";1869;7218;8578;14739;12135;7750;4229;2406;988;270;60182
"110045 Buritis";778;3018;3722;5817;4379;2896;1639;673;193;43;23158
"110003 Cabixi";152;597;863;1237;1040;790;515;368;135;50;5747
"110060 Cacaulândia";122;508;603;990;745;564;350;182;73;17;4154
"110004 Cacoal";1447;6214;8236;13866;11676;7761;4241;2645;1322;392;57800
"110070 Campo Novo de Rondônia";351;1403;1567;2456;1778;1291;745;377;87;37;10092
"110080 Candeias do Jamari";383;1572;1619;2472;1804;1366;832;466;185;48;10747
"110090 Castanheiras";78;379;433;736;591;374;303;199;71;22;3186
"110005 Cerejeiras";327;1412;1939;3069;2775;1844;1130;791;371;112;13770
"110092 Chupinguaia";113;597;631;1092;842;543;365;186;48;20;4437
"110006 Colorado do Oeste";333;1646;2461;3623;2977;2172;1380;995;423;135;16145
"110007 Corumbiara";195;897;1131;1755;1452;942;666;406;108;36;7588
"110008 Costa Marques";302;1303;1230;1874;1380;934;616;367;170;42;8218
"110094 Cujubim";206;767;821;1394;998;704;399;204;45;20;5558
"110009 Espigão D'Oeste";553;2307;2972;4968;3859;2641;1583;922;443;110;20358
"110100 Governador Jorge Teixeira";358;1476;1762;2688;1983;1340;919;507;194;54;11281
"110010 Guajará-Mirim";961;3835;4461;7128;5444;3342;2054;1314;784;293;29616
"110110 Itapuã do Oeste";189;759;758;1183;984;744;479;267;81;29;5473
"110011 Jaru";1147;4722;6592;10323;7766;5234;2992;1946;864;284;41870
"110012 Ji-Paraná";2122;8945;12369;20449;17360;11192;6019;3637;1794;561;84448
"110013 Machadinho D'Oeste";601;2319;2930;4421;3357;2508;1499;780;275;65;18755
"110120 Ministro Andreazza";281;999;1256;2068;1585;1041;672;401;214;42;8559
"110130 Mirante da Serra";297;1279;1509;2463;1776;1298;763;540;224;63;10212
"110140 Monte Negro";377;1321;1546;2569;1847;1308;843;504;179;38;10532
"110014 Nova Brasilândia D'Oeste";379;1596;1938;3377;2349;1614;1031;665;304;68;13321
"110033 Nova Mamoré";417;1587;2026;3074;2219;1479;840;476;197;52;12367
"110143 Nova União";208;850;1005;1652;1151;746;471;308;114;39;6544
"110050 Novo Horizonte do Oeste";272;1081;1443;2313;1731;1183;765;512;173;40;9513
