 População Residente - Brasil
População residente por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:1994
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";1148;4304;4686;7149;4720;3022;1986;908;267;70;28260
"110040 Alto Paraíso";274;1061;1100;1884;1317;798;481;242;71;16;7244
"110034 Alvorada D'Oeste";705;2654;2750;4261;2865;1808;1215;663;212;30;17163
"110002 Ariquemes";1910;7380;7653;13094;9161;5545;3345;1679;496;114;50377
"110003 Cabixi";244;1020;1063;1600;1185;777;514;277;96;27;6803
"110060 Cacaulândia";170;658;682;1167;816;494;297;150;44;10;4488
"110004 Cacoal";2100;8225;8770;15021;10474;6042;3738;2176;834;213;57593
"110070 Campo Novo de Rondônia";138;557;535;997;717;364;192;112;44;11;3667
"110080 Candeias do Jamari";232;939;900;1679;1208;613;326;189;74;20;6180
"110090 Castanheiras";140;548;599;924;647;406;267;148;51;13;3743
"110005 Cerejeiras";685;2722;2931;4708;3367;2032;1332;797;252;71;18897
"110006 Colorado do Oeste";776;3278;3542;5093;3673;2402;1672;825;305;82;21648
"110007 Corumbiara";372;1569;1694;2436;1757;1148;799;394;146;39;10354
"110008 Costa Marques";387;1396;1376;1995;1453;1002;596;352;101;25;8683
"110009 Espigão D'Oeste";725;2876;2909;4968;3676;2075;1320;755;234;64;19602
"110100 Governador Jorge Teixeira";203;820;883;1320;931;592;371;203;69;18;5410
"110010 Guajará-Mirim";1060;4026;4138;6582;4209;2743;1642;1241;566;172;26379
"110110 Itapuã do Oeste";144;580;556;1037;747;379;201;116;46;12;3818
"110011 Jaru";1521;6157;6615;9886;6973;4434;2775;1525;519;132;40537
"110012 Ji-Paraná";2802;11486;12419;21361;15180;8778;5120;3103;1184;279;81712
"110013 Machadinho D'Oeste";440;1918;2091;3043;2418;1666;951;412;104;19;13062
"110120 Ministro Andreazza";278;1088;1161;1988;1386;800;495;288;110;28;7622
"110130 Mirante da Serra";362;1457;1548;2324;1632;1024;665;378;126;32;9548
"110140 Monte Negro";185;715;741;1269;888;537;324;163;48;11;4881
