 População Residente - Brasil
População residente por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:1998
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"420130 Araquari";477;1972;1830;3500;2853;1671;974;701;298;88;14364
"420140 Araranguá";1015;4200;5453;9350;8821;6150;3659;2386;1203;354;42591
"420150 Armazém";119;518;618;986;1036;712;567;367;237;86;5246
"420160 Arroio Trinta";70;262;329;597;607;454;286;148;88;24;2865
"420165 Arvoredo";34;175;268;362;362;267;181;101;53;10;1813
"420170 Ascurra";108;570;657;1330;1137;869;509;369;247;59;5855
"420180 Atalanta";79;310;305;570;572;427;263;180;74;32;2812
"420190 Aurora";103;478;595;956;932;631;438;276;151;34;4594
"420195 Balneário Arroio do Silva";104;410;469;733;867;570;431;296;117;33;4030
"420205 Balneário Barra do Sul";71;342;394;534;566;503;399;276;117;51;3253
"420200 Balneário Camboriú";1135;4361;6457;12316;10375;7389;4368;2831;1332;424;50988
"420207 Balneário Gaivota";101;391;438;730;718;495;316;265;125;29;3608
"421280 Balneário Piçarras";213;837;1067;1635;1586;1086;741;491;251;81;7988
"420208 Bandeirante";66;300;318;512;560;418;279;222;89;25;2789
"420209 Barra Bonita";30;188;202;339;321;237;240;116;61;20;1754
"420210 Barra Velha";290;1206;1327;2209;2170;1493;1102;789;414;119;11119
"420213 Bela Vista do Toldo";115;509;638;946;781;530;333;241;123;26;4242
"420215 Belmonte";48;233;267;406;394;287;229;129;62;12;2067
"420220 Benedito Novo";151;573;868;1497;1358;1060;725;531;309;105;7177
"420230 Biguaçu";884;3673;4247;8012;7170;4435;2438;1570;771;306;33506
"420240 Blumenau";4092;16770;23043;45127;43699;29614;15814;9597;4920;1710;194386
"420243 Bocaina do Sul";57;205;307;461;419;317;225;180;111;29;2311
"420250 Bom Jardim da Serra";95;381;399;720;627;427;357;212;98;44;3360
"420253 Bom Jesus";40;181;235;366;339;237;142;97;70;28;1735
"420257 Bom Jesus do Oeste";41;151;177;339;299;297;201;136;48;23;1712
"420260 Bom Retiro";199;734;812;1412;1126;848;594;407;213;89;6434
"420245 Bombinhas";115;505;594;1162;1047;715;393;248;124;28;4931
"420270 Botuverá";44;257;315;638;657;399;303;184;110;37;2944
"420280 Braço do Norte";442;1982;2034;4006;3524;2239;1369;808;417;146;16967
"420285 Braço do Trombudo";54;232;320;540;458;404;248;190;98;24;2568
"420287 Brunópolis";42;327;352;583;475;372;242;165;99;36;2693
"420290 Brusque";1143;4893;6541;13031;13098;8794;4688;3178;1838;737;57941
"420300 Caçador";1515;5402;6461;11854;9837;6452;4125;2567;1121;408;49742
"420310 Caibi";132;570;637;1077;1091;793;447;344;167;41;5299
"420315 Calmon";65;222;216;336;312;192;131;77;32;8;1591
"420320 Camboriú";926;3527;3627;6658;5747;3631;1969;1267;634;215;28201
"420330 Campo Alegre";210;873;1111;1898;1582;1171;764;522;268;86;8485
"420340 Campo Belo do Sul";140;625;954;1433;1226;815;589;461;224;75;6542
"420350 Campo Erê";237;1009;1113;1508;1411;1082;721;440;197;62;7780
"420360 Campos Novos";590;2351;2797;4666;4462;3094;1966;1363;619;267;22175
"420370 Canelinha";170;684;846;1453;1231;897;577;387;232;70;6547
"420380 Canoinhas";1016;4110;5216;8496;7343;5042;3336;2234;1003;311;38107
"420325 Capão Alto";37;188;244;429;438;293;269;197;86;32;2213
"420390 Capinzal";336;1339;1716;3432;2780;1669;1051;610;282;100;13315
"420395 Capivari de Baixo";311;1394;1885;2947;3285;2216;1198;757;373;119;14485
"420400 Catanduvas";161;589;703;1275;1148;705;484;281;122;27;5495
"420410 Caxambu do Sul";98;441;573;866;830;687;465;268;170;53;4451
