 População Residente - Brasil
População residente por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2007
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";555;2281;3052;5535;4412;3635;2016;1239;651;168;23544
"110037 Alto Alegre dos Parecis";353;1435;1601;2879;2523;1682;980;604;241;60;12358
"110040 Alto Paraíso";348;1478;1691;3146;2606;1944;1129;657;282;72;13353
"110034 Alvorada D'Oeste";393;1602;1920;3732;2872;2245;1451;812;455;129;15611
"110002 Ariquemes";1800;7411;9068;17057;13942;10295;5923;3115;1496;443;70550
"110045 Buritis";1112;4347;4707;9356;7712;5331;2261;648;199;42;35715
"110003 Cabixi";134;558;740;1333;1032;902;655;416;224;66;6060
"110060 Cacaulândia";114;457;540;1050;832;641;426;236;93;28;4417
"110004 Cacoal";1352;5637;7673;14812;12032;9661;5795;3198;1725;616;62501
"110070 Campo Novo de Rondônia";482;1997;2112;3716;2906;2028;1159;490;198;37;15125
"110080 Candeias do Jamari";453;1822;1869;3370;2480;1791;1201;561;264;79;13890
"110090 Castanheiras";78;322;400;679;630;476;334;221;109;31;3280
"110005 Cerejeiras";284;1198;1740;3097;2520;2172;1360;895;505;172;13943
"110092 Chupinguaia";149;611;737;1279;994;706;436;276;104;23;5315
"110006 Colorado do Oeste";298;1260;1754;3347;2586;2209;1492;963;538;180;14627
"110007 Corumbiara";178;740;991;1692;1385;1124;685;429;176;39;7439
"110008 Costa Marques";308;1257;1248;2164;1563;1189;735;445;230;68;9207
"110094 Cujubim";230;957;968;1901;1418;1020;551;222;87;18;7372
"110009 Espigão D'Oeste";536;2231;2765;5423;4257;3321;2038;1122;577;194;22464
"110100 Governador Jorge Teixeira";439;1873;2119;3677;2729;1961;1174;700;312;89;15073
"110010 Guajará-Mirim";935;3866;4516;8057;6106;4403;2617;1548;883;415;33346
"110110 Itapuã do Oeste";213;866;948;1542;1194;967;684;384;158;40;6996
"110011 Jaru";1078;4506;5688;11428;8542;6416;3935;2344;1244;431;45612
"110012 Ji-Paraná";2019;8462;11543;22672;18163;14392;8169;4304;2297;843;92864
"110013 Machadinho D'Oeste";658;2779;3195;5950;4279;3249;2194;1174;469;123;24070
"110120 Ministro Andreazza";230;966;1201;2081;1594;1193;746;471;234;87;8803
"110130 Mirante da Serra";297;1261;1418;2603;2110;1543;1007;588;340;102;11269
"110140 Monte Negro";390;1634;1760;3264;2571;1827;1174;665;305;72;13662
"110014 Nova Brasilândia D'Oeste";356;1487;1778;3393;2867;1930;1254;763;432;122;14382
"110033 Nova Mamoré";478;1955;2258;4398;3073;2200;1317;612;270;87;16648
"110143 Nova União";214;879;968;1841;1497;1023;621;360;170;57;7630
"110050 Novo Horizonte do Oeste";251;1050;1338;2509;1980;1560;895;527;257;63;10430
"110015 Ouro Preto do Oeste";741;3086;4093;8047;6156;4977;2927;1777;915;344;33063
"110145 Parecis";71;289;346;568;420;366;202;132;54;14;2462
"110018 Pimenta Bueno";555;2296;3119;6106;4775;3981;2429;1360;702;252;25575
"110146 Pimenteiras do Oeste";59;236;283;480;381;306;168;95;42;18;2068
"110020 Porto Velho";7698;31819;40709;77721;58899;45736;25723;12351;5903;2326;308885
"110025 Presidente Médici";434;1811;2475;4853;3563;3095;2091;1332;739;246;20639
"110147 Primavera de Rondônia";82;346;423;804;658;536;337;218;105;40;3549
"110026 Rio Crespo";66;274;369;697;589;433;274;187;106;23;3018
"110028 Rolim de Moura";892;3705;5139;9527;7924;6003;3696;2221;1314;439;40860
"110029 Santa Luzia D'Oeste";194;792;1133;2111;1634;1381;790;545;283;103;8966
"110148 São Felipe D'Oeste";132;547;694;1367;1045;939;650;373;168;49;5964
"110149 São Francisco do Guaporé";451;1875;1922;3522;2915;1853;932;382;126;26;14004
"110032 São Miguel do Guaporé";735;2956;3430;6139;4689;3598;2038;1103;467;103;25258
"110150 Seringueiras";404;1615;1784;3186;2535;1801;1000;518;216;38;13097
"110155 Teixeirópolis";105;440;601;1152;905;687;394;309;173;58;4824
"110160 Theobroma";312;1309;1518;2952;2142;1630;1062;515;198;50;11688
"110170 Urupá";383;1596;1825;3539;2451;2035;1444;767;350;104;14494
"110175 Vale do Anari";267;1127;1196;2111;1510;1184;724;428;171;36;8754
"110180 Vale do Paraíso";207;857;1065;2075;1630;1207;716;407;206;52;8422
"110030 Vilhena";1248;5128;7061;13268;10569;8258;4900;2564;1270;372;54638
"120001 Acrelândia";325;1287;1318;2117;1527;1169;792;383;190;48;9156
"120005 Assis Brasil";127;484;595;1044;706;451;275;209;118;68;4077
"120010 Brasiléia";439;1806;2023;3368;2318;1668;1157;753;407;155;14094
"120013 Bujari";236;996;971;1598;1114;774;551;289;155;51;6735
"120017 Capixaba";208;813;787;1246;1111;843;456;228;103;40;5835
"120020 Cruzeiro do Sul";2420;9874;9448;17856;10798;6791;4444;2865;1514;690;66700
"120025 Epitaciolândia";336;1368;1550;2681;2089;1409;824;534;318;137;11246
"120030 Feijó";1130;4462;4795;7650;5016;3121;1873;1251;713;299;30310
"120032 Jordão";189;721;537;764;411;244;166;98;57;34;3221
"120033 Mâncio Lima";385;1544;1537;2655;1499;1044;670;423;181;93;10031
"120034 Manoel Urbano";258;1032;900;1443;804;538;376;238;152;52;5793
"120035 Marechal Thaumaturgo";311;1165;1070;1534;899;501;299;173;84;34;6070
"120038 Plácido de Castro";433;1712;1835;3256;2253;1737;1077;617;355;133;13408
"120080 Porto Acre";332;1319;1299;2138;1719;1279;829;434;208;74;9631
"120039 Porto Walter";171;655;576;861;459;267;186;120;63;21;3379
"120040 Rio Branco";6885;28019;32578;65557;48418;32919;20235;10520;5569;2667;253367
"120042 Rodrigues Alves";342;1303;1111;1905;1116;706;491;320;131;53;7478
"120043 Santa Rosa do Purus";129;548;484;504;297;205;100;72;49;19;2407
"120050 Sena Madureira";944;3866;3544;6279;3767;2588;1947;1412;766;359;25472
"120045 Senador Guiomard";524;2096;2259;4014;2901;2081;1364;790;439;187;16655
"120060 Tarauacá";955;3720;3394;5673;3269;2342;1537;1101;619;286;22896
"120070 Xapuri";339;1360;1480;2489;1703;1299;960;618;390;181;10819
"130002 Alvarães";463;1895;1781;2586;1504;1007;657;477;247;74;10691
"130006 Amaturá";259;1025;1111;1753;1173;726;422;317;156;68;7010
"130008 Anamã";191;781;802;1299;797;530;346;272;140;54;5212
"130010 Anori";335;1378;1506;2550;1525;1041;707;500;287;129;9958
"130014 Apuí";460;1886;2288;3823;3006;2454;1331;437;166;39;15890
