 População Residente - Brasil
População residente por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2008
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";452;1848;2543;4645;3707;3089;1776;1039;573;153;19825
"110037 Alto Alegre dos Parecis";259;1045;1241;2147;1902;1317;755;462;190;49;9367
"110040 Alto Paraíso";341;1439;1705;3156;2646;2007;1168;666;288;77;13493
"110034 Alvorada D'Oeste";331;1351;1673;3224;2550;1993;1319;714;411;122;13688
"110002 Ariquemes";1665;6833;8520;16281;13273;10001;5843;3044;1470;446;67376
"110045 Buritis";810;3175;3476;6956;5908;4106;1726;457;143;30;26787
"110003 Cabixi";118;496;642;1241;935;838;628;385;217;64;5564
"110060 Cacaulândia";115;459;555;1088;884;676;472;244;101;31;4625
"110004 Cacoal";1333;5541;7651;15072;12291;10023;6168;3351;1806;672;63908
"110070 Campo Novo de Rondônia";306;1263;1348;2427;1908;1330;770;315;130;24;9821
"110080 Candeias do Jamari";421;1689;1761;3228;2402;1719;1161;548;256;77;13262
"110090 Castanheiras";68;283;364;635;574;454;303;207;105;31;3024
"110005 Cerejeiras";271;1141;1671;3068;2462;2181;1397;899;518;183;13791
"110092 Chupinguaia";163;664;830;1440;1112;797;504;314;124;28;5976
"110006 Colorado do Oeste";295;1246;1735;3443;2661;2287;1587;1000;583;192;15029
"110007 Corumbiara";182;755;1011;1806;1468;1230;746;447;204;42;7891
"110008 Costa Marques";346;1400;1429;2496;1839;1381;872;516;262;87;10628
"110094 Cujubim";328;1357;1457;2710;2148;1514;824;316;127;26;10807
"110009 Espigão D'Oeste";532;2215;2761;5563;4437;3450;2173;1196;604;210;23141
"110100 Governador Jorge Teixeira";258;1095;1257;2223;1666;1212;710;424;192;55;9092
"110010 Guajará-Mirim";863;3557;4232;7673;5827;4290;2531;1513;853;408;31747
"110110 Itapuã do Oeste";190;764;843;1411;1080;876;635;352;155;38;6344
"110011 Jaru";989;4140;5284;10818;8269;6216;3903;2279;1238;430;43566
"110012 Ji-Paraná";1892;7912;10949;21932;17666;14187;8193;4299;2274;852;90156
"110013 Machadinho D'Oeste";669;2823;3277;6220;4548;3422;2356;1250;521;137;25223
"110120 Ministro Andreazza";213;889;1134;1980;1522;1165;727;457;227;87;8401
"110130 Mirante da Serra";251;1059;1223;2245;1870;1361;906;519;307;94;9835
"110140 Monte Negro";276;1150;1275;2342;1901;1343;870;484;230;57;9928
"110014 Nova Brasilândia D'Oeste";335;1394;1762;3240;2834;1918;1251;762;426;132;14054
"110033 Nova Mamoré";473;1938;2257;4483;3211;2308;1374;623;285;90;17042
"110143 Nova União";170;698;802;1493;1249;864;519;296;150;46;6287
"110050 Novo Horizonte do Oeste";186;775;1002;1918;1543;1222;718;399;206;50;8019
"110015 Ouro Preto do Oeste";653;2724;3615;7342;5647;4655;2771;1662;864;333;30266
"110145 Parecis";105;425;497;866;638;549;312;200;83;23;3698
"110018 Pimenta Bueno";579;2388;3263;6588;5173;4368;2720;1527;778;287;27671
"110146 Pimenteiras do Oeste";53;212;268;429;358;285;158;90;41;16;1910
"110020 Porto Velho";7298;30091;38923;76136;57945;45208;26211;12551;5955;2356;302674
"110025 Presidente Médici";383;1596;2184;4429;3260;2862;1976;1239;704;242;18875
"110147 Primavera de Rondônia";68;285;363;693;576;475;300;193;98;36;3087
"110026 Rio Crespo";56;233;320;614;521;390;248;170;99;21;2672
"110028 Rolim de Moura";864;3581;5039;9554;7952;6106;3840;2271;1349;474;41030
"110029 Santa Luzia D'Oeste";164;667;962;1848;1429;1225;731;474;261;94;7855
"110148 São Felipe D'Oeste";112;471;603;1200;936;852;599;339;157;47;5316
"110149 São Francisco do Guaporé";384;1587;1693;3059;2561;1660;816;326;109;24;12219
"110032 São Miguel do Guaporé";518;2078;2474;4418;3410;2634;1529;794;356;79;18290
"110150 Seringueiras";282;1124;1286;2266;1836;1322;735;365;163;29;9408
"110155 Teixeirópolis";87;360;500;992;780;606;344;269;152;53;4143
"110160 Theobroma";209;880;1034;2025;1529;1144;749;355;144;35;8104
"110170 Urupá";280;1171;1341;2657;1918;1547;1127;592;283;80;10996
"110175 Vale do Anari";204;859;932;1646;1204;941;574;332;142;32;6866
"110180 Vale do Paraíso";173;714;902;1761;1409;1073;625;353;183;48;7241
"110030 Vilhena";1228;5026;6983;13530;10684;8481;5128;2672;1337;400;55469
"120001 Acrelândia";315;1252;1292;2114;1523;1183;792;385;187;51;9094
"120005 Assis Brasil";130;503;637;1109;760;495;298;233;123;77;4365
"120010 Brasiléia";462;1905;2124;3673;2503;1820;1269;829;453;174;15212
"120013 Bujari";172;720;705;1181;838;590;416;216;113;39;4990
"120017 Capixaba";238;918;937;1436;1270;1000;537;259;119;46;6760
"120020 Cruzeiro do Sul";2009;8248;7897;15206;9581;5877;3883;2448;1326;593;57068
"120025 Epitaciolândia";313;1273;1477;2575;2007;1385;808;517;300;137;10792
"120030 Feijó";885;3494;3791;6134;4061;2561;1502;1009;571;253;24261
"120032 Jordão";251;955;722;1037;569;332;224;136;76;48;4350
"120033 Mâncio Lima";401;1617;1597;2840;1657;1118;744;443;199;99;10715
"120034 Manoel Urbano";232;931;826;1323;769;486;354;220;144;46;5331
"120035 Marechal Thaumaturgo";497;1853;1747;2474;1520;816;499;276;139;56;9877
"120038 Plácido de Castro";438;1737;1864;3382;2363;1836;1138;638;374;144;13914
"120080 Porto Acre";371;1471;1469;2424;1973;1498;964;498;236;87;10991
"120039 Porto Walter";303;1166;1024;1567;860;482;354;212;114;42;6124
"120040 Rio Branco";6245;25463;30165;60667;46061;31206;19486;10090;5242;2538;237163
"120042 Rodrigues Alves";429;1631;1409;2429;1473;921;638;418;173;68;9589
"120043 Santa Rosa do Purus";142;592;557;573;320;223;112;71;52;21;2663
"120050 Sena Madureira";951;3906;3660;6438;4035;2686;2076;1503;819;389;26463
"120045 Senador Guiomard";465;1861;2000;3648;2686;1920;1257;725;401;176;15139
"120060 Tarauacá";1004;3916;3603;6108;3583;2574;1670;1190;677;319;24644
"120070 Xapuri";348;1400;1571;2638;1809;1386;1033;667;406;202;11460
"130002 Alvarães";400;1621;1589;2311;1360;905;594;421;232;70;9503
"130006 Amaturá";234;916;1032;1632;1122;676;402;291;149;65;6519
"130008 Anamã";225;910;952;1605;977;659;435;317;184;67;6331
"130010 Anori";353;1439;1586;2808;1709;1153;797;545;322;142;10854
"130014 Apuí";397;1608;1973;3454;2677;2221;1220;378;148;34;14110
"130020 Atalaia do Norte";409;1613;1772;2601;1716;1085;656;344;170;60;10426
"130030 Autazes";784;3222;3467;5825;3709;2602;1649;1081;637;303;23279
"130040 Barcelos";591;2363;3333;5100;3393;2277;1123;565;318;77;19140
