 População Residente - Brasil
População residente por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2001
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";522;2387;3037;4839;4067;2611;1495;1030;381;97;20466
"110037 Alto Alegre dos Parecis";323;1349;1415;2499;1864;1128;788;413;146;32;9957
"110040 Alto Paraíso";317;1305;1546;2519;1943;1283;900;487;182;41;10523
"110034 Alvorada D'Oeste";390;1833;2306;3637;2743;1931;1132;776;327;78;15153
"110002 Ariquemes";1829;7064;8395;14424;11876;7585;4138;2354;966;264;58895
"110045 Buritis";717;2783;3431;5361;4036;2670;1510;620;178;39;21345
"110003 Cabixi";153;601;868;1239;1042;791;515;370;135;50;5764
"110060 Cacaulândia";121;504;599;982;739;559;346;181;73;17;4121
"110004 Cacoal";1439;6181;8193;13794;11615;7721;4219;2631;1316;390;57499
"110070 Campo Novo de Rondônia";328;1313;1466;2299;1664;1208;697;353;82;34;9444
"110080 Candeias do Jamari";370;1517;1564;2386;1742;1318;803;449;178;46;10373
"110090 Castanheiras";79;380;436;738;591;376;303;200;71;22;3196
"110005 Cerejeiras";328;1417;1949;3084;2789;1852;1135;794;373;113;13834
"110092 Chupinguaia";110;584;616;1065;822;529;356;181;46;20;4329
"110006 Colorado do Oeste";341;1689;2524;3716;3055;2228;1416;1020;433;139;16561
"110007 Corumbiara";198;909;1144;1777;1469;955;675;411;109;36;7683
"110008 Costa Marques";293;1264;1192;1817;1338;906;597;356;164;41;7968
"110094 Cujubim";196;733;784;1332;954;672;381;195;43;19;5309
"110009 Espigão D'Oeste";548;2286;2945;4923;3825;2617;1569;914;439;109;20175
"110100 Governador Jorge Teixeira";343;1417;1689;2580;1903;1286;882;487;186;52;10825
"110010 Guajará-Mirim";949;3784;4401;7034;5372;3298;2027;1296;774;289;29224
"110110 Itapuã do Oeste";183;736;734;1147;953;721;464;259;78;28;5303
"110011 Jaru";1122;4618;6446;10095;7595;5118;2926;1903;845;278;40946
"110012 Ji-Paraná";2106;8878;12274;20294;17229;11107;5974;3610;1781;557;83810
"110013 Machadinho D'Oeste";581;2238;2830;4269;3241;2422;1448;754;265;63;18111
"110120 Ministro Andreazza";281;1002;1261;2070;1587;1042;672;403;214;42;8574
"110130 Mirante da Serra";294;1267;1494;2439;1758;1285;756;535;222;63;10113
"110140 Monte Negro";360;1261;1477;2454;1765;1250;805;481;172;37;10062
"110014 Nova Brasilândia D'Oeste";376;1585;1923;3354;2333;1603;1024;661;303;68;13230
"110033 Nova Mamoré";400;1521;1943;2948;2128;1418;805;456;189;50;11858
"110143 Nova União";204;833;987;1622;1130;732;462;303;111;38;6422
"110050 Novo Horizonte do Oeste";270;1073;1432;2296;1719;1175;760;509;171;39;9444
"110015 Ouro Preto do Oeste";838;3411;4760;7498;6292;3928;2372;1454;748;217;31518
"110145 Parecis";89;331;397;600;500;342;216;116;36;13;2640
"110018 Pimenta Bueno";615;2666;3554;5769;4943;3313;1915;1119;551;161;24606
"110146 Pimenteiras do Oeste";58;260;242;467;354;225;149;85;39;9;1888
"110020 Porto Velho";7761;31523;38763;64810;53988;34516;16740;8995;4433;1594;263123
"110025 Presidente Médici";474;2063;3179;4487;3714;2678;1723;1182;544;163;20207
"110147 Primavera de Rondônia";99;377;480;757;637;425;276;185;84;20;3340
"110026 Rio Crespo";47;267;345;571;439;278;200;153;47;9;2356
"110028 Rolim de Moura";921;3924;5178;8938;7226;4814;2740;1893;915;258;36807
"110029 Santa Luzia D'Oeste";207;952;1330;2060;1718;1115;675;468;217;66;8808
"110148 São Felipe D'Oeste";139;579;841;1241;1008;757;493;283;109;31;5481
"110149 São Francisco do Guaporé";304;1307;1324;2263;1708;1089;677;288;88;17;9065
"110032 São Miguel do Guaporé";641;2414;2880;4526;3459;2353;1405;808;247;58;18791
"110150 Seringueiras";307;1339;1353;2290;1757;1106;645;379;96;20;9292
"110155 Teixeirópolis";76;509;674;1020;803;474;369;249;123;32;4329
"110160 Theobroma";238;1070;1440;2159;1498;1157;758;400;124;36;8880
"110170 Urupá";355;1386;1909;2746;1919;1540;955;572;192;75;11649
"110175 Vale do Anari";195;845;960;1422;1083;769;524;292;88;17;6195
"110180 Vale do Paraíso";209;877;1167;1856;1449;894;604;380;147;27;7610
"110030 Vilhena";1147;4765;6011;10340;8948;5742;3155;1863;753;207;42931
"120001 Acrelândia";242;974;905;1352;1009;689;453;268;107;21;6020
"120005 Assis Brasil";77;396;438;638;420;243;174;99;84;26;2595
"120010 Brasiléia";498;1800;1984;3001;2191;1468;977;630;294;124;12967
"120013 Bujari";183;724;696;1051;711;554;331;184;90;24;4548
"120017 Capixaba";171;673;542;891;750;493;310;170;86;24;4110
"120020 Cruzeiro do Sul";2048;8351;9376;12501;7228;5029;3349;2148;1080;561;51671
"120025 Epitaciolândia";287;1239;1253;2074;1525;927;611;393;230;86;8625
"120030 Feijó";734;3329;3334;4729;3110;1818;1238;795;447;176;19710
"120032 Jordão";165;802;525;661;360;247;137;82;60;31;3070
"120033 Mâncio Lima";307;1401;1573;1908;1102;822;548;305;164;85;8215
"120034 Manoel Urbano";237;883;840;1060;599;439;280;215;79;40;4672
"120035 Marechal Thaumaturgo";270;1285;949;1402;707;453;271;152;79;30;5598
"120038 Plácido de Castro";444;1656;1859;2576;1920;1275;829;567;302;75;11503
"120080 Porto Acre";324;1311;1208;1952;1454;1035;711;398;191;59;8643
"120039 Porto Walter";172;824;670;859;449;312;182;123;52;25;3668
"120040 Rio Branco";6329;25898;30636;51052;36533;24424;13403;7689;4537;1974;202475
"120042 Rodrigues Alves";307;1171;1052;1385;750;494;408;205;91;44;5907
"120043 Santa Rosa do Purus";99;386;259;330;235;120;71;69;34;10;1613
"120050 Sena Madureira";886;3746;3768;5019;3042;2318;1539;954;544;256;22072
"120045 Senador Guiomard";561;2164;2338;3555;2490;1758;1134;723;398;152;15273
"120060 Tarauacá";921;3445;3296;4108;2736;1706;1202;803;459;197;18873
"120070 Xapuri";331;1318;1375;1930;1386;1037;718;482;327;110;9014
"130002 Alvarães";470;1858;1478;1994;1180;724;500;352;142;41;8739
"130006 Amaturá";197;1033;858;1282;771;488;337;219;102;57;5344
"130008 Anamã";206;859;808;1067;693;419;293;232;99;43;4719
"130010 Anori";355;1418;1405;1910;1194;811;538;396;201;105;8333
"130014 Apuí";401;1631;1583;2386;2069;1526;741;366;113;33;10849
"130020 Atalaia do Norte";330;1373;1131;1639;1036;658;369;223;103;33;6895
"130030 Autazes";741;3195;2936;3887;2686;1771;1191;841;485;218;17951
"130040 Barcelos";602;2944;2938;4331;3324;1755;1082;771;259;74;18080
"130050 Barreirinha";843;3061;2630;3304;2271;1545;1021;766;490;235;16166
"130060 Benjamin Constant";747;3024;2964;3807;2570;1589;1052;819;372;151;17095
"130063 Beruri";360;1733;1437;1699;1091;700;458;369;164;70;8081
"130068 Boa Vista do Ramos";327;1476;1246;1730;1115;774;441;344;167;98;7718
"130070 Boca do Acre";764;3166;3408;4748;2811;2004;1364;955;465;189;19874
"130080 Borba";931;4051;3586;4603;2749;1907;1330;890;485;283;20815
"130083 Caapiranga";294;1155;1126;1574;897;652;418;244;120;33;6513
"130090 Canutama";207;1256;1352;1851;1293;788;526;300;114;32;7719
"130100 Carauari";752;3384;2919;3766;2415;1537;932;614;293;132;16744
"130110 Careiro";528;2857;3351;4720;3102;2160;1414;885;411;109;19537
"130115 Careiro da Várzea";417;1793;1959;2953;2036;1383;1041;750;353;126;12811
"130120 Coari";2129;9486;8543;12449;7021;4839;2921;1827;897;346;50458
"130130 Codajás";599;2238;2285;2779;1809;1260;769;548;299;110;12696
"130140 Eirunepé";749;3412;3444;4181;2676;1729;1095;684;343;159;18472
"130150 Envira";586;2797;2492;3433;1799;1058;681;456;147;90;13539
"130160 Fonte Boa";1132;4355;3977;5904;3242;2054;1279;820;318;163;23244
"130165 Guajará";491;2085;1626;2030;1294;728;487;313;136;47;9237
"130170 Humaitá";1026;4034;3995;5239;3365;2322;1550;1007;532;190;23260
"130180 Ipixuna";588;2520;1914;2267;1361;899;507;293;188;75;10612
"130185 Iranduba";897;3928;4207;6241;3810;2522;1691;1252;514;205;25267
"130190 Itacoatiara";2122;8320;9092;12436;8142;5814;3752;2543;1273;594;54088
"130195 Itamarati";320;1279;1041;1282;792;464;274;136;74;25;5687
"130200 Itapiranga";209;883;911;1232;756;568;414;270;133;76;5452
"130210 Japurá";190;1285;1286;2067;1093;581;397;256;69;9;7233
"130220 Juruá";309;1168;957;1308;757;477;306;205;94;41;5622
"130230 Jutaí";683;3858;2675;3480;2073;1284;783;490;208;67;15601
"130240 Lábrea";816;3686;3611;4398;2962;2069;1293;889;453;163;20340
"130250 Manacapuru";2111;8846;9412;12614;8056;5521;3632;2586;1352;519;54649
"130255 Manaquiri";332;1475;1561;2042;1467;1004;717;529;277;92;9496
"130260 Manaus";35411;137794;169469;302536;216629;139674;71421;39479;20420;7988;1140821
"130270 Manicoré";1031;4509;4559;6020;3993;2739;1811;1252;613;290;26817
"130280 Maraã";417;2278;2167;3052;1908;1043;617;371;143;56;12052
"130290 Maués";1384;5156;4755;6049;4157;3219;1740;1528;918;352;29258
"130300 Nhamundá";416;1834;1948;2344;1498;1041;747;576;306;137;10847
"130310 Nova Olinda do Norte";695;3220;2949;3887;2504;1806;906;823;562;255;17607
"130320 Novo Airão";210;1033;1108;1454;1019;668;407;321;161;61;6442
"130330 Novo Aripuanã";510;2334;2104;2759;1746;1240;785;582;259;143;12462
"130340 Parintins";2763;11037;11873;14941;10041;7093;4385;3225;1645;699;67702
"130350 Pauini";496;2286;2312;2790;1759;1119;701;435;176;53;12127
"130353 Presidente Figueiredo";568;2334;2167;3740;3018;2060;1004;481;193;58;15623
"130356 Rio Preto da Eva";445;2293;2168;4066;2510;1529;919;482;156;47;14615
"130360 Santa Isabel do Rio Negro";299;1301;1152;1617;1056;716;506;365;137;62;7211
"130370 Santo Antônio do Içá";741;3912;3438;4447;2887;2000;1001;579;284;144;19433
"130380 São Gabriel da Cachoeira";899;3743;3404;5456;3813;2408;1607;964;515;226;23035
"130390 São Paulo de Olivença";733;3432;2773;3893;2506;1437;916;605;318;94;16707
"130395 São Sebastião do Uatumã";264;1015;884;1277;695;477;334;217;114;51;5328
"130400 Silves";244;1026;912;1216;808;642;368;241;158;41;5656
"130406 Tabatinga";1340;4818;4759;6803;4398;2787;1594;1035;514;215;28263
"130410 Tapauá";626;3003;2710;3316;1972;1297;609;354;173;71;14131
"130420 Tefé";2077;8065;8582;11470;6726;4433;2779;1700;838;375;47045
"130423 Tonantins";540;2362;1769;2473;1634;1054;640;410;216;57;11155
"130426 Uarini";326;1543;1288;1782;1070;680;399;207;121;42;7458
"130430 Urucará";491;2330;2313;3070;2141;1258;915;534;305;116;13473
"130440 Urucurituba";344;1440;1392;1613;1104;854;529;391;242;162;8071
"140005 Alto Alegre";344;1824;2295;3024;2613;1498;800;455;188;115;13156
"140002 Amajari";155;769;509;804;625;486;310;200;105;38;4001
"140010 Boa Vista";5546;21786;24311;41141;31067;19403;9259;4684;2478;851;160526
"140015 Bonfim";266;1469;943;1664;1162;821;405;249;131;46;7156
"140017 Cantá";248;1098;939;1348;1078;883;555;300;98;41;6588
"140020 Caracaraí";468;1822;1728;2418;1803;1233;789;458;173;48;10940
"140023 Caroebe";142;589;717;925;705;487;322;172;82;16;4157
"140028 Iracema";144;583;560;818;589;454;304;153;57;23;3685
"140030 Mucajaí";276;1182;1357;1809;1469;1051;668;386;145;53;8396
"140040 Normandia";167;888;613;930;669;400;236;138;77;31;4149
"140045 Pacaraima";249;1000;738;1187;850;585;304;163;81;38;5195
"140047 Rorainópolis";470;2056;2302;2993;2306;1815;1012;456;165;47;13622
"140050 São João da Baliza";150;582;661;902;610;432;310;149;51;21;3868
"140060 São Luiz";114;548;738;849;719;573;270;151;70;20;4052
"140070 Uiramutã";224;929;688;809;621;381;164;136;66;33;4051
"150010 Abaetetuba";3140;12853;15109;21239;13852;9648;6130;3816;1987;1143;88917
"150013 Abel Figueiredo";148;614;775;1085;837;506;344;210;99;38;4656
"150020 Acará";1398;6383;6025;9188;5909;3716;2595;1798;901;388;38301
"150030 Afuá";1032;4383;3621;4817;2943;2008;1256;837;417;228;21542
"150034 Água Azul do Norte";470;2109;2565;4765;3458;2096;1279;681;192;44;17659
"150040 Alenquer";1210;4849;5170;6236;4003;3213;2188;1650;937;397;29853
"150050 Almeirim";930;3793;3992;5949;4469;2893;1436;832;377;159;24830
"150060 Altamira";1893;7560;9607;14848;10918;7238;3958;2440;1267;379;60108
"150070 Anajás";655;2769;2205;3003;1698;1170;700;478;256;105;13039
"150080 Ananindeua";9029;36278;48163;83837;63171;42935;21803;10804;4930;2134;323084
"150085 Anapu";238;965;1060;1485;975;761;469;271;71;23;6318
"150090 Augusto Corrêa";1006;4089;3957;5062;3231;2489;1670;1191;681;326;23702
"150095 Aurora do Pará";577;2565;2396;3252;2109;1515;1101;695;329;176;14715
"150100 Aveiro";485;2083;1786;2341;1660;1307;834;575;244;90;11405
"150110 Bagre";491;2093;1546;2138;1161;771;512;323;194;141;9370
