 População Residente - Brasil
População residente por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2009
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";436;1779;2502;4612;3694;3101;1847;1036;594;164;19765
"110037 Alto Alegre dos Parecis";251;1005;1256;2119;1888;1359;767;463;200;52;9360
"110040 Alto Paraíso";339;1425;1744;3221;2727;2102;1227;681;299;84;13849
"110034 Alvorada D'Oeste";317;1287;1638;3129;2545;1990;1346;714;416;129;13511
"110002 Ariquemes";1642;6703;8503;16477;13434;10293;6115;3168;1532;477;68344
"110045 Buritis";810;3174;3514;7065;6185;4328;1813;445;140;29;27503
"110003 Cabixi";114;475;603;1233;920;837;640;387;227;68;5504
"110060 Cacaulândia";111;444;543;1088;898;692;498;250;106;33;4663
"110004 Cacoal";1301;5385;7519;15109;12415;10234;6472;3482;1872;721;64510
"110070 Campo Novo de Rondônia";302;1244;1341;2460;1944;1360;797;318;131;25;9922
"110080 Candeias do Jamari";423;1688;1781;3314;2501;1770;1204;573;267;81;13602
"110090 Castanheiras";66;270;355;627;568;467;299;207;110;32;3001
"110005 Cerejeiras";262;1094;1606;3062;2427;2202;1444;909;538;195;13739
"110092 Chupinguaia";165;666;854;1489;1146;829;525;325;137;31;6167
"110006 Colorado do Oeste";279;1181;1641;3368;2619;2266;1618;996;599;197;14764
"110007 Corumbiara";175;726;973;1805;1463;1261;763;446;214;45;7871
"110008 Costa Marques";348;1404;1474;2578;1930;1437;930;545;274;96;11016
"110094 Cujubim";338;1387;1569;2788;2338;1622;892;329;135;28;11426
"110009 Espigão D'Oeste";520;2164;2714;5593;4539;3515;2272;1254;622;222;23415
"110100 Governador Jorge Teixeira";248;1049;1215;2189;1658;1218;705;418;191;55;8946
"110010 Guajará-Mirim";846;3473;4200;7724;5889;4416;2600;1568;869;424;32009
"110110 Itapuã do Oeste";189;759;835;1457;1100;895;657;364;166;41;6463
"110011 Jaru";956;3995;5157;10710;8409;6317;4060;2335;1293;452;43684
"110012 Ji-Paraná";1844;7685;10756;21934;17850;14451;8524;4464;2335;894;90737
"110013 Machadinho D'Oeste";672;2823;3309;6378;4759;3546;2485;1312;562;150;25996
"110120 Ministro Andreazza";207;857;1115;1959;1515;1184;742;463;235;89;8366
"110130 Mirante da Serra";242;1018;1202;2205;1892;1372;929;525;316;99;9800
"110140 Monte Negro";268;1115;1273;2318;1939;1361;891;485;236;62;9948
"110014 Nova Brasilândia D'Oeste";325;1346;1786;3210;2878;1969;1288;786;434;144;14166
"110033 Nova Mamoré";474;1937;2280;4602;3392;2440;1452;643;301;96;17617
"110143 Nova União";166;672;802;1467;1260;888;531;295;158;46;6285
"110050 Novo Horizonte do Oeste";175;732;954;1857;1532;1219;733;385;210;51;7848
"110015 Ouro Preto do Oeste";625;2605;3460;7239;5633;4693;2846;1694;883;350;30028
"110145 Parecis";106;429;490;892;662;561;326;203;93;25;3787
"110018 Pimenta Bueno";566;2323;3182;6610;5244;4456;2838;1601;803;305;27928
"110146 Pimenteiras do Oeste";51;204;266;420;375;288;164;89;44;16;1917
"110020 Porto Velho";7182;29494;38515;77018;59120;46099;27580;13250;6219;2470;306947
"110025 Presidente Médici";364;1524;2079;4347;3234;2852;2015;1244;724;256;18639
"110147 Primavera de Rondônia";65;272;349;685;573;479;306;188;105;37;3059
"110026 Rio Crespo";55;226;320;618;532;403;253;175;106;24;2712
"110028 Rolim de Moura";844;3486;4956;9617;8029;6241;4009;2344;1391;510;41427
"110029 Santa Luzia D'Oeste";155;631;912;1806;1409;1214;759;468;268;97;7719
"110148 São Felipe D'Oeste";108;451;583;1171;935;858;618;349;161;49;5283
"110149 São Francisco do Guaporé";387;1581;1748;3127;2644;1747;841;326;109;25;12535
"110032 São Miguel do Guaporé";506;2023;2457;4396;3435;2664;1588;791;369;83;18312
"110150 Seringueiras";277;1100;1295;2266;1864;1356;756;364;173;32;9483
"110155 Teixeirópolis";83;347;482;979;778;619;351;271;153;57;4120
"110160 Theobroma";202;845;1007;1984;1557;1148;756;351;149;36;8035
"110170 Urupá";268;1125;1287;2606;1964;1535;1151;601;298;82;10917
"110175 Vale do Anari";204;849;940;1657;1244;968;594;329;148;34;6967
"110180 Vale do Paraíso";166;686;885;1727;1411;1096;635;354;184;51;7195
"110030 Vilhena";1223;4988;6968;13900;10934;8770;5419;2825;1417;434;56878
"120001 Acrelândia";315;1253;1306;2178;1572;1233;817;402;196;55;9327
"120005 Assis Brasil";133;502;648;1130;791;512;312;248;127;82;4485
"120010 Brasiléia";460;1900;2114;3782;2569;1877;1316;863;479;183;15543
"120013 Bujari";167;704;697;1180;851;606;422;223;115;42;5007
"120017 Capixaba";246;945;1002;1511;1318;1071;579;269;125;48;7114
"120020 Cruzeiro do Sul";1961;8088;7817;15174;9988;6006;3982;2467;1364;603;57450
"120025 Epitaciolândia";311;1266;1498;2628;2056;1449;845;533;306;145;11037
"120030 Feijó";871;3448;3757;6176;4146;2641;1523;1027;576;267;24432
"120032 Jordão";252;967;739;1071;607;341;238;147;81;52;4495
"120033 Mâncio Lima";403;1629;1606;2906;1766;1151;790;452;209;102;11014
"120034 Manoel Urbano";231;925;837;1337;810;485;364;225;151;46;5411
"120035 Marechal Thaumaturgo";508;1904;1818;2585;1656;861;533;281;143;61;10350
"120038 Plácido de Castro";436;1735;1859;3455;2442;1901;1193;655;382;151;14209
"120080 Porto Acre";373;1487;1492;2477;2042;1586;1012;512;244;91;11316
"120039 Porto Walter";307;1185;1047;1625;921;502;379;211;123;45;6345
"120040 Rio Branco";6152;25135;30409;60906;47596;32143;20340;10547;5373;2621;241222
"120042 Rodrigues Alves";432;1654;1445;2506;1581;971;664;438;183;70;9944
"120043 Santa Rosa do Purus";149;612;600;619;324;228;125;70;53;22;2802
"120050 Sena Madureira";939;3868;3711;6463;4243;2737;2163;1568;854;415;26961
"120045 Senador Guiomard";458;1841;1978;3691;2763;1975;1289;738;411;183;15327
"120060 Tarauacá";997;3903;3623;6195;3729;2668;1715;1217;705;337;25089
"120070 Xapuri";346;1391;1599;2680;1861;1423;1073;698;412;217;11700
"130002 Alvarães";397;1582;1614;2348;1406;923;618;426;249;74;9637
"130006 Amaturá";234;903;1047;1681;1180;693;421;295;156;67;6677
"130008 Anamã";224;903;957;1659;1019;693;462;316;197;71;6501
"130010 Anori";351;1417;1577;2888;1799;1199;846;555;343;149;11124
"130014 Apuí";399;1597;1969;3607;2775;2326;1293;383;151;35;14535
"130020 Atalaia do Norte";418;1621;1826;2742;1787;1138;701;353;176;64;10826
"130030 Autazes";780;3182;3469;6046;3874;2709;1738;1113;657;313;23881
"130040 Barcelos";588;2319;3340;5287;3406;2356;1144;554;321;81;19396
"130050 Barreirinha";765;3078;3215;4909;2899;2179;1515;994;621;334;20509
"130060 Benjamin Constant";788;3190;3421;6045;3729;2531;1567;1037;664;244;23216
"130063 Beruri";417;1668;1605;2688;1550;1100;724;459;305;109;10625
"130068 Boa Vista do Ramos";409;1554;1580;2719;1767;1116;728;357;229;100;10559
"130070 Boca do Acre";680;2822;3347;6145;4106;2615;1889;1226;706;279;23815
"130080 Borba";912;3615;3937;6069;3695;2379;1592;897;488;242;23826
"130083 Caapiranga";277;1085;1230;2241;1522;929;644;328;157;57;8470
"130090 Canutama";258;990;1378;2623;1723;1206;739;439;207;57;9620
"130100 Carauari";712;2855;2961;4995;3066;2052;1292;735;404;162;19234
"130110 Careiro";643;2559;3206;6765;4775;2929;2556;1921;1019;345;26718
"130115 Careiro da Várzea";488;2027;2501;4577;3364;2515;1743;1128;660;242;19245
"130120 Coari";1785;7192;7598;13001;8913;5030;3021;1518;793;310;49161
"130130 Codajás";408;1676;1799;3117;1919;1386;876;491;293;127;12092
"130140 Eirunepé";792;3194;3772;6077;3495;2438;1501;938;493;207;22907
"130150 Envira";486;1991;2117;3384;2179;1092;656;468;265;78;12716
"130160 Fonte Boa";503;2009;2320;3599;2478;1339;815;439;230;76;13808
"130165 Guajará";460;1901;1771;2679;1559;929;486;300;157;53;10295
"130170 Humaitá";957;4003;4185;7417;4845;3355;2438;1767;980;403;30350
"130180 Ipixuna";571;2301;2119;3245;1820;1199;693;340;162;84;12534
"130185 Iranduba";754;3074;3423;6781;4982;3127;1959;1105;668;220;26093
"130190 Itacoatiara";1895;7923;9309;17227;11742;8337;5752;3340;1878;790;68193
"130195 Itamarati";272;1013;984;1565;908;592;330;216;96;38;6014
"130200 Itapiranga";214;900;1110;1913;1213;800;572;348;183;82;7335
"130210 Japurá";106;434;546;869;536;251;167;138;74;14;3135
"130220 Juruá";272;1079;975;1722;1160;728;407;218;123;44;6728
"130230 Jutaí";563;2184;2154;2908;1617;960;596;406;216;70;11674
"130240 Lábrea";931;3913;4039;7357;4600;3305;2335;1585;927;368;29360
"130250 Manacapuru";1978;8034;9169;17064;11314;7738;5101;3159;1865;782;66204
"130255 Manaquiri";439;1831;2199;3859;2531;1987;1372;915;551;224;15908
"130260 Manaus";27858;119202;172993;352788;294064;199096;118912;55614;26422;11170;1378119
"130270 Manicoré";1081;4418;5371;8862;5800;4075;2660;1828;1055;437;35587
"130280 Maraã";489;1821;2284;3914;2601;1607;748;360;176;55;14055
"130290 Maués";1283;5184;5368;9148;5520;4065;3091;1567;1174;548;36948
"130300 Nhamundá";447;1791;2171;3694;2118;1453;1048;711;447;196;14076
"130310 Nova Olinda do Norte";823;3255;3610;5858;3889;2507;1647;766;587;329;23271
"130320 Novo Airão";344;1446;1835;3060;1797;1170;889;804;542;215;12102
"130330 Novo Aripuanã";508;2064;2270;3604;2214;1342;887;538;329;129;13885
"130340 Parintins";2440;10152;11635;20991;13356;9683;6340;3396;2089;859;80941
"130350 Pauini";482;2133;2352;3472;1811;1168;719;524;275;84;13020
"130353 Presidente Figueiredo";516;2090;2731;5032;4016;2914;1905;904;367;113;20588
"130356 Rio Preto da Eva";599;2320;3079;5363;4554;2664;1511;620;262;64;21036
"130360 Santa Isabel do Rio Negro";458;1923;2104;3318;2187;1300;890;681;406;125;13392
"130370 Santo Antônio do Içá";853;3418;4331;5798;3231;2040;1197;581;292;124;21865
"130380 São Gabriel da Cachoeira";932;3720;4569;7938;6004;4080;2434;1324;652;291;31944
"130390 São Paulo de Olivença";924;3633;4059;6250;4087;2501;1295;706;380;152;23987
"130395 São Sebastião do Uatumã";250;1007;1017;1732;1158;678;490;292;155;68;6847
"130400 Silves";216;852;953;1561;1059;764;565;264;145;69;6448
"130406 Tabatinga";1139;4614;5380;9399;6167;3947;2510;1546;851;346;35899
"130410 Tapauá";575;2353;2680;3872;2040;1195;737;360;184;71;14067
"130420 Tefé";1542;6446;6984;12912;8594;5045;3109;2099;1089;450;48270
"130423 Tonantins";570;2309;2400;3444;2372;1570;880;566;311;120;14542
"130426 Uarini";299;1151;1235;1958;1280;768;419;189;82;39;7420
"130430 Urucará";390;1567;1888;3032;1939;1434;801;493;235;108;11887
"130440 Urucurituba";442;1810;2026;3231;1867;1561;1251;882;554;324;13948
"140005 Alto Alegre";412;1636;1794;3012;1643;1163;549;292;144;64;10709
"140002 Amajari";328;1210;1059;990;491;380;370;361;210;102;5501
"140010 Boa Vista";6521;24640;26356;51852;44462;30361;15939;6991;3168;1528;211818
"140015 Bonfim";393;1374;1242;1647;1445;967;528;219;124;60;7999
"140017 Cantá";378;1356;1160;1997;1595;1341;888;401;182;56;9354
"140020 Caracaraí";609;2233;1989;3531;2498;1829;1115;594;291;93;14782
"140023 Caroebe";202;765;759;1484;1159;835;444;243;109;43;6043
"140028 Iracema";185;704;602;1064;844;651;431;224;92;35;4832
"140030 Mucajaí";388;1432;1454;2401;1336;1281;1006;564;272;95;10229
"140040 Normandia";281;972;801;1214;1060;716;347;197;106;55;5749
"140045 Pacaraima";377;1327;1103;1446;878;677;474;220;107;53;6662
"140047 Rorainópolis";781;2851;2594;5391;4079;2988;1630;605;228;71;21218
"140050 São João da Baliza";190;756;680;1114;598;390;259;214;85;29;4315
"140060 São Luiz";147;565;613;1209;825;708;423;164;80;32;4766
"140070 Uiramutã";354;1314;1097;1118;381;287;221;150;110;57;5089
"150010 Abaetetuba";2918;12143;15232;27900;19098;12945;8815;5363;2804;1354;108572
"150013 Abel Figueiredo";133;561;732;1427;1001;751;404;254;134;52;5449
"150020 Acará";1171;4716;5541;9368;6603;4024;2447;1697;972;409;36948
"150030 Afuá";939;3737;3734;5928;3730;2358;1607;952;530;239;23754
"150034 Água Azul do Norte";526;2116;3251;6754;5869;3795;2039;930;394;83;25757
"150040 Alenquer";1364;5686;5949;10553;6533;4553;3691;2492;1578;752;43151
"150050 Almeirim";691;2838;3557;6183;4192;2932;1855;975;488;184;23895
"150060 Altamira";1727;7444;10296;20100;14343;10443;6788;3671;1944;778;77534
"150070 Anajás";838;3330;3187;5022;3062;1792;1201;722;426;186;19766
"150080 Ananindeua";7723;33400;48978;104522;87040;59653;37445;17727;7565;2963;407016
"150085 Anapu";484;1996;2602;4085;2316;1621;1305;666;310;65;15450
"150090 Augusto Corrêa";1017;4073;4332;7436;4640;3124;2400;1465;870;432;29789
"150095 Aurora do Pará";545;2254;2466;4090;2602;1778;1306;935;493;210;16679
"150100 Aveiro";527;2142;2277;3452;2265;1807;1334;691;382;132;15009
"150110 Bagre";635;2536;2501;3453;1990;1167;805;584;321;193;14185
"150120 Baião";671;2750;3024;5408;3393;2434;1840;1072;611;271;21474
"150125 Bannach";90;386;471;741;408;299;219;119;58;12;2803
"150130 Barcarena";1896;7760;9995;19151;13360;9427;5802;3010;1476;693;72570
"150140 Belém";18307;81730;130808;286341;243633;179876;121921;66553;34334;15522;1179025
"150145 Belterra";268;1141;1272;2204;1629;1269;913;539;333;110;9678
"150150 Benevides";860;3571;4680;9382;7528;4997;3036;1677;916;360;37007
"150157 Bom Jesus do Tocantins";254;1065;1382;2584;1930;1322;984;719;400;177;10817
"150160 Bonito";234;960;1285;2468;1616;1150;856;503;328;161;9561
"150170 Bragança";2194;9254;10993;21240;14256;9977;7129;4394;2599;1255;83291
"150172 Brasil Novo";356;1528;2151;3915;2893;2090;1293;710;395;123;15454
"150175 Brejo Grande do Araguaia";171;716;796;1544;1039;739;493;249;136;50;5933
"150178 Breu Branco";1257;5231;5607;9849;6303;4343;3128;1915;888;278;38799
"150180 Breves";2801;11387;11236;18479;11545;7029;4918;3127;1729;983;73234
"150190 Bujaru";573;2308;2747;4468;3043;1959;1315;869;462;213;17957
"150200 Cachoeira do Arari";465;1920;2220;3722;2524;1948;1244;763;546;242;15594
"150195 Cachoeira do Piriá";485;1963;2316;3704;2520;1611;831;339;155;41;13965
"150210 Cametá";2790;11509;12578;21974;13599;9399;7334;5058;2947;1639;88827
