 População Residente - Brasil
População residente por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2004
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";541;2473;3147;5014;4214;2705;1549;1066;394;101;21204
"110037 Alto Alegre dos Parecis";349;1457;1529;2700;2015;1218;852;446;157;35;10758
"110040 Alto Paraíso";347;1427;1689;2755;2126;1403;984;532;200;45;11508
"110034 Alvorada D'Oeste";388;1823;2292;3619;2729;1921;1127;771;325;77;15072
"110002 Ariquemes";1947;7521;8938;15358;12645;8076;4407;2507;1029;282;62710
"110045 Buritis";892;3464;4271;6675;5025;3323;1881;773;221;49;26574
"110003 Cabixi";152;597;863;1233;1036;787;513;368;134;50;5733
"110060 Cacaulândia";122;508;604;994;748;566;352;183;73;17;4167
"110004 Cacoal";1461;6277;8319;14006;11794;7840;4284;2672;1336;396;58385
"110070 Campo Novo de Rondônia";400;1598;1787;2800;2027;1471;850;429;100;42;11504
"110080 Candeias do Jamari";413;1695;1748;2665;1945;1473;897;501;199;52;11588
"110090 Castanheiras";78;377;432;730;586;372;300;198;70;22;3165
"110005 Cerejeiras";322;1391;1910;3025;2735;1816;1113;779;366;111;13568
"110092 Chupinguaia";119;628;663;1147;885;570;383;196;50;21;4662
"110006 Colorado do Oeste";318;1573;2350;3460;2844;2075;1319;950;404;129;15422
"110007 Corumbiara";190;872;1099;1706;1412;917;649;395;105;35;7380
"110008 Costa Marques";290;1253;1181;1802;1327;898;593;353;163;40;7900
"110094 Cujubim";226;841;902;1531;1096;773;438;224;49;22;6102
"110009 Espigão D'Oeste";564;2350;3028;5062;3932;2690;1614;939;452;112;20743
"110100 Governador Jorge Teixeira";390;1609;1920;2930;2162;1460;1001;552;211;59;12294
"110010 Guajará-Mirim";987;3938;4581;7322;5592;3433;2110;1349;805;301;30418
"110110 Itapuã do Oeste";201;810;808;1264;1051;795;511;286;86;31;5843
"110011 Jaru";1162;4783;6675;10455;7866;5301;3031;1971;875;288;42407
"110012 Ji-Paraná";2156;9090;12568;20779;17641;11373;6116;3696;1823;570;85812
"110013 Machadinho D'Oeste";646;2491;3149;4750;3606;2695;1611;839;295;70;20152
"110120 Ministro Andreazza";280;998;1256;2062;1581;1038;670;401;212;42;8540
"110130 Mirante da Serra";303;1305;1538;2511;1810;1324;779;551;228;65;10414
"110140 Monte Negro";408;1428;1671;2777;1998;1415;912;545;194;41;11389
"110014 Nova Brasilândia D'Oeste";384;1619;1965;3425;2382;1637;1046;675;309;69;13511
"110033 Nova Mamoré";455;1729;2208;3349;2418;1612;915;519;215;57;13477
