 População Residente - Brasil
População residente por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2006
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";563;2573;3273;5215;4383;2813;1611;1110;410;105;22056
"110037 Alto Alegre dos Parecis";379;1585;1663;2936;2190;1324;926;486;172;38;11699
"110040 Alto Paraíso";383;1572;1863;3037;2344;1547;1085;586;221;49;12687
"110034 Alvorada D'Oeste";385;1811;2277;3595;2712;1908;1119;767;323;77;14974
"110002 Ariquemes";2081;8040;9554;16417;13517;8633;4710;2680;1100;301;67033
"110045 Buritis";1088;4224;5209;8141;6129;4054;2293;942;270;60;32410
"110003 Cabixi";151;593;856;1225;1031;782;511;365;133;49;5696
"110060 Cacaulândia";123;512;609;1002;754;570;354;184;74;17;4199
"110004 Cacoal";1487;6384;8461;14246;11996;7974;4358;2717;1359;403;59385
"110070 Campo Novo de Rondônia";484;1935;2162;3388;2452;1780;1028;520;120;50;13919
"110080 Candeias do Jamari";465;1905;1964;2997;2187;1656;1009;564;224;58;13029
"110090 Castanheiras";77;372;425;721;578;368;296;195;69;21;3122
"110005 Cerejeiras";314;1355;1862;2948;2666;1770;1086;760;357;108;13226
"110092 Chupinguaia";129;681;718;1243;959;618;415;212;54;23;5052
"110006 Colorado do Oeste";292;1446;2162;3182;2615;1908;1213;874;371;119;14182
"110007 Corumbiara";181;831;1047;1625;1344;873;617;376;100;33;7027
"110008 Costa Marques";322;1388;1309;1997;1470;995;657;391;180;45;8754
"110094 Cujubim";260;971;1039;1763;1262;891;504;259;57;25;7031
"110009 Espigão D'Oeste";581;2425;3125;5222;4056;2775;1664;969;465;116;21398
"110100 Governador Jorge Teixeira";445;1836;2190;3344;2466;1666;1143;630;241;67;14028
"110010 Guajará-Mirim";1032;4117;4789;7653;5845;3588;2206;1411;841;314;31796
"110110 Itapuã do Oeste";223;897;895;1400;1165;880;566;316;95;34;6471
"110011 Jaru";1187;4887;6820;10682;8036;5416;3097;2014;894;294;43327
"110012 Ji-Paraná";2215;9337;12911;21345;18120;11682;6282;3797;1873;585;88147
"110013 Machadinho D'Oeste";723;2786;3522;5313;4034;3014;1802;939;331;78;22542
"110120 Ministro Andreazza";279;993;1247;2052;1574;1033;667;399;212;42;8498
"110130 Mirante da Serra";313;1346;1588;2594;1870;1368;804;569;235;67;10754
"110140 Monte Negro";460;1611;1886;3134;2254;1596;1028;615;219;47;12850
"110014 Nova Brasilândia D'Oeste";394;1659;2013;3508;2440;1676;1071;691;316;71;13839
"110033 Nova Mamoré";519;1973;2519;3821;2759;1839;1043;592;245;65;15375
"110143 Nova União";230;942;1115;1830;1275;826;522;342;126;43;7251
"110050 Novo Horizonte do Oeste";282;1121;1496;2398;1795;1227;794;532;178;41;9864
"110015 Ouro Preto do Oeste";836;3403;4748;7479;6277;3919;2366;1451;746;216;31441
"110145 Parecis";80;300;359;542;452;308;194;106;33;11;2385
"110018 Pimenta Bueno";609;2642;3524;5721;4901;3285;1898;1109;546;159;24394
"110146 Pimenteiras do Oeste";60;271;252;484;366;232;154;88;41;9;1957
"110020 Porto Velho";8639;35087;43147;72140;60094;38419;18633;10013;4935;1775;292882
"110025 Presidente Médici";459;1995;3076;4341;3594;2591;1667;1144;526;157;19550
"110147 Primavera de Rondônia";101;385;489;770;647;431;281;188;86;20;3398
"110026 Rio Crespo";55;317;406;673;517;328;237;181;56;11;2781
"110028 Rolim de Moura";964;4106;5419;9353;7562;5036;2867;1980;957;270;38514
"110029 Santa Luzia D'Oeste";199;917;1278;1981;1652;1072;649;450;209;64;8471
"110148 São Felipe D'Oeste";142;592;860;1273;1034;775;506;289;112;32;5615
"110149 São Francisco do Guaporé";448;1924;1949;3331;2514;1603;998;424;128;25;13344
"110032 São Miguel do Guaporé";798;3005;3587;5634;4306;2929;1748;1006;307;72;23392
"110150 Seringueiras";401;1750;1769;2994;2298;1446;844;496;125;26;12149
"110155 Teixeirópolis";79;529;702;1060;834;492;382;260;128;34;4500
"110160 Theobroma";293;1315;1771;2655;1841;1422;933;492;153;44;10919
"110170 Urupá";411;1604;2208;3177;2220;1781;1104;661;222;87;13475
"110175 Vale do Anari";259;1122;1279;1892;1439;1022;697;388;118;23;8239
"110180 Vale do Paraíso";219;920;1224;1946;1520;937;634;398;155;29;7982
"110030 Vilhena";1359;5649;7124;12257;10608;6807;3740;2209;892;246;50891
"120001 Acrelândia";346;1393;1296;1934;1444;986;647;383;153;30;8612
"120005 Assis Brasil";111;573;633;922;607;351;251;143;121;37;3749
"120010 Brasiléia";517;1869;2061;3117;2276;1525;1016;654;306;128;13469
"120013 Bujari";260;1029;988;1494;1011;789;470;261;128;35;6465
"120017 Capixaba";228;897;722;1186;999;655;413;226;116;31;5473
"120020 Cruzeiro do Sul";2546;10379;11653;15538;8983;6251;4162;2670;1343;697;64222
"120025 Epitaciolândia";355;1536;1551;2569;1888;1148;757;487;285;107;10683
"120030 Feijó";1039;4707;4714;6688;4399;2572;1751;1124;632;249;27875
"120032 Jordão";172;834;545;686;374;256;143;85;63;32;3190
"120033 Mâncio Lima";351;1602;1797;2181;1261;940;626;349;188;97;9392
"120034 Manoel Urbano";283;1053;1000;1263;713;523;334;258;95;48;5570
"120035 Marechal Thaumaturgo";275;1309;967;1429;721;462;277;155;81;31;5707
"120038 Plácido de Castro";488;1818;2039;2827;2109;1399;909;622;331;82;12624
"120080 Porto Acre";342;1385;1275;2061;1536;1094;751;420;202;63;9129
"120039 Porto Walter";156;744;604;776;405;283;164;112;47;23;3314
"120040 Rio Branco";7604;31119;36811;61343;43896;29348;16105;9239;5451;2372;243288
"120042 Rodrigues Alves";370;1413;1270;1672;905;596;492;247;109;53;7127
"120043 Santa Rosa do Purus";145;567;379;485;345;175;103;102;52;14;2367
"120050 Sena Madureira";991;4191;4212;5614;3403;2593;1720;1067;609;287;24687
"120045 Senador Guiomard";579;2236;2416;3673;2572;1816;1171;746;411;157;15777
"120060 Tarauacá";1073;4017;3843;4790;3190;1990;1401;936;536;230;22006
"120070 Xapuri";380;1512;1578;2214;1589;1190;824;554;374;127;10342
"130002 Alvarães";551;2178;1735;2338;1386;849;586;414;167;49;10253
"130006 Amaturá";238;1248;1037;1549;932;590;407;265;124;69;6459
"130008 Anamã";216;901;846;1118;726;439;307;242;104;46;4945
"130010 Anori";397;1587;1573;2139;1337;907;603;444;225;117;9329
"130014 Apuí";531;2161;2099;3161;2742;2021;982;484;151;44;14376
"130020 Atalaia do Norte";381;1587;1308;1893;1197;760;425;258;119;38;7966
"130030 Autazes";870;3746;3444;4561;3152;2078;1396;987;569;256;21059
