 População Residente - Brasil
População residente por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2010
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";369;1539;2588;4292;3662;3281;2066;1227;689;171;19884
"110037 Alto Alegre dos Parecis";216;889;1401;2118;2017;1555;998;621;265;76;10156
"110040 Alto Paraíso";296;1139;1684;2788;2728;2123;1397;830;377;103;13465
"110034 Alvorada D'Oeste";238;1067;1778;2809;2509;2174;1575;864;481;166;13661
"110002 Ariquemes";1475;5795;9041;17439;14612;11458;6897;3674;1795;625;72811
"110045 Buritis";608;2349;3290;6035;5231;3672;2409;1292;525;150;25561
"110003 Cabixi";94;412;595;970;919;882;684;376;214;56;5202
"110060 Cacaulândia";80;405;547;945;889;689;502;300;161;38;4556
"110004 Cacoal";1163;4646;7859;14776;12684;10479;6743;3630;2035;811;64826
"110070 Campo Novo de Rondônia";243;932;1268;2167;1928;1537;1066;493;209;55;9898
"110080 Candeias do Jamari";401;1532;1958;3571;2932;2225;1569;851;333;139;15511
"110090 Castanheiras";48;191;356;545;551;476;321;261;114;35;2898
"110005 Cerejeiras";241;994;1719;2970;2570;2397;1465;986;519;176;14037
"110092 Chupinguaia";149;631;847;1523;1360;1002;587;317;126;30;6572
"110006 Colorado do Oeste";255;1101;1787;3267;2848;2427;1777;1149;652;239;15502
"110007 Corumbiara";133;488;949;1472;1405;1169;778;428;226;75;7123
"110008 Costa Marques";246;1159;1403;2411;2047;1415;954;529;232;82;10478
"110094 Cujubim";327;1240;1639;2855;2519;1797;1136;545;200;39;12297
"110009 Espigão D'Oeste";453;1920;2752;5295;4678;3584;2426;1378;678;239;23403
"110100 Governador Jorge Teixeira";148;660;1081;1769;1537;1330;901;558;268;98;8350
"110010 Guajará-Mirim";820;3301;4280;7343;6248;4704;2813;1732;906;444;32591
"110110 Itapuã do Oeste";151;689;892;1347;1271;985;737;423;172;55;6722
"110011 Jaru";804;3256;5109;10101;8381;6253;4087;2362;1377;513;42243
"110012 Ji-Paraná";1808;7409;11461;22647;18782;15251;9873;5114;2691;1061;96097
"110013 Machadinho D'Oeste";551;2329;3146;5460;4759;3660;2603;1352;596;154;24610
"110120 Ministro Andreazza";185;670;1129;1704;1616;1270;814;510;286;88;8272
"110130 Mirante da Serra";167;730;1223;2019;1812;1353;1015;593;389;137;9438
"110140 Monte Negro";225;969;1390;2341;2147;1636;1160;704;363;93;11028
"110014 Nova Brasilândia D'Oeste";278;1171;2174;3424;3218;2412;1697;1045;511;149;16079
"110033 Nova Mamoré";409;1786;2190;3953;3543;2576;1629;840;385;143;17454
"110143 Nova União";121;470;882;1216;1161;902;622;366;175;63;5978
"110050 Novo Horizonte do Oeste";133;630;1088;1587;1616;1365;948;597;312;91;8367
"110015 Ouro Preto do Oeste";546;2311;3727;7183;5808;5031;3136;1912;1056;399;31109
"110145 Parecis";104;338;509;869;690;615;385;222;97;26;3855
"110018 Pimenta Bueno";531;2104;3374;6544;5271;4426;2826;1549;728;301;27654
"110146 Pimenteiras do Oeste";43;185;213;353;375;285;183;126;42;21;1826
"110020 Porto Velho";6865;28495;41989;90846;71088;53799;32963;14894;6562;2697;350198
"110025 Presidente Médici";303;1267;2248;3752;3246;2981;2227;1299;738;309;18370
"110147 Primavera de Rondônia";50;186;318;554;529;475;334;200;105;49;2800
"110026 Rio Crespo";57;217;288;552;493;455;279;176;104;31;2652
"110028 Rolim de Moura";708;3095;5066;9806;8228;6484;4127;2375;1299;483;41671
"110029 Santa Luzia D'Oeste";141;507;904;1494;1368;1268;816;479;272;109;7358
"110148 São Felipe D'Oeste";70;344;564;954;954;807;605;382;193;61;4934
"110149 São Francisco do Guaporé";286;1200;1665;2847;2558;1834;1200;671;284;82;12627
"110032 São Miguel do Guaporé";363;1467;2329;3918;3417;2621;1695;976;474;104;17364
"110150 Seringueiras";181;737;1276;1964;1784;1434;966;458;264;68;9132
"110155 Teixeirópolis";65;279;503;839;693;664;389;303;169;73;3977
"110160 Theobroma";166;684;1071;1706;1654;1307;965;553;286;77;8469
"110170 Urupá";185;803;1322;2290;1948;1507;1255;742;340;116;10508
"110175 Vale do Anari";134;661;941;1539;1386;1136;858;481;230;58;7424
"110180 Vale do Paraíso";118;471;868;1365;1240;1072;753;439;223;76;6625
"110030 Vilhena";1293;5034;7274;15057;12535;9959;6003;3202;1572;465;62394
"120001 Acrelândia";226;1035;1311;2054;1801;1328;898;533;249;72;9507
"120005 Assis Brasil";148;622;650;1098;836;547;375;213;107;57;4653
"120010 Brasiléia";400;1656;2261;3790;3211;2264;1436;896;502;209;16625
"120013 Bujari";168;693;834;1405;1223;811;656;407;134;83;6414
"120017 Capixaba";159;735;891;1294;1217;947;631;394;162;60;6490
"120020 Cruzeiro do Sul";1607;7053;8707;14943;10842;6460;4381;2787;1490;761;59031
"120025 Epitaciolândia";301;1189;1603;2733;2222;1621;986;636;350;152;11793
"120030 Feijó";832;3546;3558;5610;3900;2605;1521;1092;496;248;23408
"120032 Jordão";209;934;736;1092;717;392;215;90;50;39;4474
"120033 Mâncio Lima";396;1492;1657;2757;1977;1164;854;523;263;119;11202
"120034 Manoel Urbano";191;832;869;1367;1027;626;436;232;155;61;5796
"120035 Marechal Thaumaturgo";411;1883;1737;2440;1493;857;499;287;152;46;9805
"120038 Plácido de Castro";331;1467;1760;2745;2341;1801;1244;771;416;169;13045
"120080 Porto Acre";280;1206;1534;2311;2074;1529;1059;701;370;132;11196
"120039 Porto Walter";300;1217;947;1452;1029;558;366;177;91;50;6187
"120040 Rio Branco";5753;24631;33876;67770;54212;36973;23464;12366;6174;3080;268299
"120042 Rodrigues Alves";355;1564;1542;2435;1822;1043;664;438;185;72;10120
"120043 Santa Rosa do Purus";140;663;493;896;547;267;157;118;33;13;3327
"120050 Sena Madureira";742;3336;4226;7313;5211;3276;2255;1403;730;376;28868
"120045 Senador Guiomard";396;1594;2040;3508;2884;2055;1491;911;483;203;15565
"120060 Tarauacá";987;4075;4047;5997;4069;2710;1696;1118;609;297;25605
