 População Residente - Brasil
População residente por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2005
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";556;2540;3231;5147;4326;2776;1591;1095;404;104;21770
"110037 Alto Alegre dos Parecis";369;1541;1618;2856;2131;1289;902;472;167;37;11382
"110040 Alto Paraíso";371;1523;1805;2942;2270;1499;1051;568;213;48;12290
"110034 Alvorada D'Oeste";386;1815;2282;3603;2718;1913;1122;769;324;77;15009
"110002 Ariquemes";2036;7865;9345;16059;13222;8444;4607;2622;1077;294;65571
"110045 Buritis";1022;3967;4893;7646;5756;3808;2154;885;253;56;30440
"110003 Cabixi";151;593;858;1227;1033;784;511;366;133;49;5705
"110060 Cacaulândia";123;512;608;1000;752;570;353;184;74;17;4193
"110004 Cacoal";1478;6348;8414;14165;11928;7929;4333;2702;1351;401;59049
"110070 Campo Novo de Rondônia";456;1821;2036;3189;2309;1676;968;489;113;47;13104
"110080 Candeias do Jamari";447;1833;1891;2884;2105;1594;971;543;216;56;12540
"110090 Castanheiras";77;374;428;724;581;368;298;196;69;21;3136
"110005 Cerejeiras";317;1367;1877;2974;2689;1786;1095;766;360;109;13340
"110092 Chupinguaia";126;663;700;1211;934;602;405;207;53;22;4923
"110006 Colorado do Oeste";301;1489;2225;3276;2693;1964;1248;900;382;122;14600
"110007 Corumbiara";184;844;1065;1653;1367;888;627;383;102;34;7147
"110008 Costa Marques";311;1343;1267;1931;1422;963;635;378;174;43;8467
"110094 Cujubim";248;926;993;1685;1206;851;482;247;54;24;6716
"110009 Espigão D'Oeste";575;2400;3092;5167;4014;2747;1647;958;460;115;21175
"110100 Governador Jorge Teixeira";426;1759;2098;3204;2364;1597;1095;604;231;65;13443
"110010 Guajará-Mirim";1017;4057;4718;7541;5759;3536;2173;1390;830;310;31331
"110110 Itapuã do Oeste";216;869;866;1354;1125;850;547;306;92;33;6258
"110011 Jaru";1178;4852;6770;10605;7979;5377;3074;1999;888;292;43014
"110012 Ji-Paraná";2195;9254;12794;21154;17959;11578;6226;3763;1856;580;87359
"110013 Machadinho D'Oeste";697;2686;3397;5123;3890;2907;1738;904;319;76;21737
"110120 Ministro Andreazza";279;994;1251;2056;1576;1035;668;399;212;42;8512
"110130 Mirante da Serra";310;1332;1572;2566;1849;1353;795;563;233;66;10639
"110140 Monte Negro";442;1550;1814;3014;2167;1534;988;592;211;45;12357
"110014 Nova Brasilândia D'Oeste";390;1646;1998;3480;2421;1663;1062;685;314;70;13729
"110033 Nova Mamoré";497;1890;2414;3663;2644;1762;1000;568;235;62;14735
"110143 Nova União";225;923;1091;1793;1249;809;511;334;124;42;7101
"110050 Novo Horizonte do Oeste";280;1112;1485;2379;1781;1218;787;527;178;41;9788
"110015 Ouro Preto do Oeste";836;3403;4750;7483;6281;3921;2368;1451;747;216;31456
"110145 Parecis";82;305;367;553;461;315;198;108;33;12;2434
"110018 Pimenta Bueno";610;2646;3529;5730;4909;3290;1902;1110;547;160;24433
"110146 Pimenteiras do Oeste";60;269;251;481;364;230;153;88;40;9;1945
"110020 Porto Velho";8479;34438;42347;70803;58982;37708;18288;9828;4844;1742;287459
"110025 Presidente Médici";462;2009;3096;4369;3617;2607;1678;1151;530;158;19677
"110147 Primavera de Rondônia";101;382;488;767;645;430;280;188;86;20;3387
"110026 Rio Crespo";54;308;394;655;503;319;230;175;54;11;2703
"110028 Rolim de Moura";956;4074;5376;9281;7503;4998;2845;1965;950;268;38216
"110029 Santa Luzia D'Oeste";201;923;1288;1995;1664;1080;655;453;211;64;8534
"110148 São Felipe D'Oeste";141;589;858;1268;1029;772;504;288;112;32;5593
"110149 São Francisco do Guaporé";426;1831;1856;3171;2394;1526;949;404;123;24;12704
"110032 São Miguel do Guaporé";770;2897;3457;5432;4151;2824;1686;970;296;69;22552
"110150 Seringueiras";384;1676;1695;2867;2201;1384;808;475;120;25;11635
"110155 Teixeirópolis";78;525;698;1052;829;488;380;258;127;33;4468
"110160 Theobroma";283;1271;1710;2566;1779;1374;901;474;148;42;10548
"110170 Urupá";400;1563;2154;3099;2165;1737;1077;644;216;85;13140
"110175 Vale do Anari";248;1072;1221;1806;1375;976;666;371;112;22;7869
"110180 Vale do Paraíso";217;912;1214;1929;1507;929;629;395;153;28;7913
"110030 Vilhena";1321;5489;6922;11911;10308;6614;3634;2147;868;239;49453
"120001 Acrelândia";336;1354;1258;1879;1402;958;630;373;148;29;8367
"120005 Assis Brasil";109;563;621;906;597;346;246;140;119;36;3683
"120010 Brasiléia";507;1835;2023;3059;2233;1497;997;641;300;126;13218
"120013 Bujari";250;990;951;1438;973;759;453;251;123;33;6221
"120017 Capixaba";217;856;690;1133;953;625;393;216;110;30;5223
"120020 Cruzeiro do Sul";2476;10093;11333;15110;8736;6079;4048;2596;1305;678;62454
"120025 Epitaciolândia";345;1490;1506;2495;1833;1114;734;472;277;104;10370
"120030 Feijó";1009;4572;4581;6497;4273;2498;1701;1092;614;242;27079
"120032 Jordão";171;827;541;683;372;255;141;85;63;32;3170
"120033 Mâncio Lima";341;1557;1748;2120;1225;913;609;339;183;94;9129
"120034 Manoel Urbano";276;1025;974;1229;695;510;325;250;93;47;5424
"120035 Marechal Thaumaturgo";274;1305;963;1424;719;460;277;155;81;31;5689
"120038 Plácido de Castro";479;1784;2001;2774;2069;1373;893;610;325;80;12388
"120080 Porto Acre";336;1356;1251;2020;1505;1071;735;412;198;61;8945
"120039 Porto Walter";159;762;619;793;415;288;168;114;48;24;3390
"120040 Rio Branco";7401;30287;35828;59704;42724;28562;15674;8992;5305;2309;236786
"120042 Rodrigues Alves";363;1386;1246;1640;888;585;483;242;108;52;6993
"120043 Santa Rosa do Purus";138;536;360;459;326;166;98;96;48;14;2241
"120050 Sena Madureira";972;4113;4135;5509;3339;2544;1689;1047;598;281;24227
"120045 Senador Guiomard";566;2184;2358;3586;2511;1773;1143;728;401;154;15404
"120060 Tarauacá";1060;3968;3796;4731;3151;1966;1384;925;529;227;21737
"120070 Xapuri";375;1490;1556;2181;1567;1173;812;545;369;125;10193
"130002 Alvarães";536;2120;1687;2274;1347;826;570;402;162;47;9971
"130006 Amaturá";230;1209;1004;1500;902;571;394;256;120;67;6253
"130008 Anamã";214;893;840;1109;720;435;305;240;103;45;4904
"130010 Anori";389;1555;1542;2096;1310;889;591;435;220;115;9142
"130014 Apuí";507;2060;2001;3015;2616;1929;937;462;144;42;13713
"130020 Atalaia do Norte";373;1555;1281;1856;1173;745;417;253;117;37;7807
"130030 Autazes";846;3645;3350;4436;3065;2022;1358;959;554;249;20484
"130040 Barcelos";752;3681;3675;5415;4156;2193;1354;965;324;93;22608
"130050 Barreirinha";962;3495;3003;3774;2594;1765;1167;875;560;269;18464
"130060 Benjamin Constant";821;3325;3259;4187;2827;1747;1157;900;409;166;18798
"130063 Beruri";414;1996;1656;1957;1258;806;529;425;189;80;9310
"130068 Boa Vista do Ramos";365;1648;1390;1930;1244;864;492;384;186;109;8612
"130070 Boca do Acre";794;3289;3540;4931;2920;2081;1417;992;483;196;20643
"130080 Borba";1101;4791;4241;5443;3251;2255;1572;1053;573;335;24615
"130083 Caapiranga";325;1275;1245;1739;990;721;462;269;133;36;7195
"130090 Canutama";187;1131;1217;1666;1164;710;474;270;102;29;6950
"130100 Carauari";814;3666;3163;4081;2617;1666;1010;665;317;143;18142
"130110 Careiro";488;2643;3099;4366;2869;1998;1308;819;380;101;18071
"130115 Careiro da Várzea";407;1749;1908;2878;1985;1348;1014;731;344;123;12487
"130120 Coari";2542;11326;10201;14865;8384;5778;3487;2181;1071;413;60248
"130130 Codajás";666;2490;2540;3090;2012;1401;855;609;331;122;14116
"130140 Eirunepé";826;3764;3799;4611;2952;1907;1208;754;379;175;20375
"130150 Envira";407;1944;1734;2386;1250;736;473;317;102;63;9412
"130160 Fonte Boa";1278;4915;4488;6662;3658;2317;1443;925;359;184;26229
"130165 Guajará";444;1883;1469;1833;1169;658;440;283;122;43;8344
"130170 Humaitá";934;3670;3634;4768;3063;2113;1410;917;484;173;21166
"130180 Ipixuna";659;2826;2148;2543;1526;1009;568;328;211;84;11902
"130185 Iranduba";1072;4690;5025;7452;4549;3011;2019;1495;614;245;30172
"130190 Itacoatiara";2320;9097;9940;13596;8900;6355;4103;2780;1392;649;59132
"130195 Itamarati";307;1228;1000;1230;760;445;262;132;70;24;5458
"130200 Itapiranga";238;1005;1037;1402;861;646;471;307;151;86;6204
"130210 Japurá";242;1638;1637;2632;1391;739;506;326;88;11;9210
"130220 Juruá";295;1112;912;1245;721;454;291;195;89;39;5353
"130230 Jutaí";793;4481;3105;4040;2408;1490;908;569;241;78;18113
"130240 Lábrea";760;3433;3363;4096;2759;1927;1204;827;422;152;18943
"130250 Manacapuru";2347;9831;10462;14019;8954;6136;4037;2873;1503;577;60739
"130255 Manaquiri";357;1585;1679;2195;1577;1078;771;568;298;99;10207
"130260 Manaus";40111;156086;191963;342695;245383;158214;80901;44719;23131;9048;1292251
"130270 Manicoré";1033;4517;4570;6035;4003;2745;1815;1256;615;291;26880
"130280 Maraã";478;2610;2483;3497;2186;1195;707;425;164;64;13809
"130290 Maués";1541;5742;5297;6737;4629;3583;1939;1702;1023;392;32585
"130300 Nhamundá";445;1960;2082;2505;1602;1112;798;616;327;146;11593
"130310 Nova Olinda do Norte";840;3894;3567;4700;3027;2184;1096;996;680;309;21293
"130320 Novo Airão";161;794;850;1117;783;513;312;247;124;47;4948
"130330 Novo Aripuanã";586;2685;2420;3173;2008;1426;903;669;298;165;14333
"130340 Parintins";3212;12833;13806;17370;11674;8247;5098;3749;1912;812;78713
"130350 Pauini";495;2282;2307;2785;1757;1117;701;433;176;53;12106
"130353 Presidente Figueiredo";652;2683;2491;4298;3467;2368;1153;553;221;67;17953
"130356 Rio Preto da Eva";547;2822;2667;5003;3088;1881;1131;592;192;58;17981
"130360 Santa Isabel do Rio Negro";229;997;882;1238;809;549;388;280;105;48;5525
"130370 Santo Antônio do Içá";876;4624;4065;5256;3413;2364;1183;685;337;171;22974
"130380 São Gabriel da Cachoeira";994;4141;3767;6039;4220;2666;1778;1066;570;250;25491
"130390 São Paulo de Olivença";877;4103;3315;4653;2995;1718;1095;723;381;112;19972
"130395 São Sebastião do Uatumã";309;1188;1033;1493;813;558;391;255;134;60;6234
"130400 Silves";277;1164;1034;1380;917;728;418;273;180;46;6417
"130406 Tabatinga";1513;5442;5377;7685;4968;3149;1801;1170;581;242;31928
"130410 Tapauá";522;2506;2261;2768;1647;1082;508;294;144;59;11791
"130420 Tefé";2239;8693;9249;12363;7249;4779;2996;1833;904;404;50709
"130423 Tonantins";629;2749;2057;2879;1902;1227;746;477;252;67;12985
"130426 Uarini";395;1870;1560;2160;1297;825;483;251;147;51;9039
"130430 Urucará";578;2742;2723;3611;2520;1480;1077;627;359;137;15854
"130440 Urucurituba";268;1119;1080;1252;857;663;411;304;188;126;6268
"140005 Alto Alegre";406;2155;2710;3572;3088;1770;945;538;222;136;15542
"140002 Amajari";172;858;568;897;697;542;346;224;117;43;4464
"140010 Boa Vista";6442;25304;28237;47783;36083;22536;10753;5441;2878;989;186446
"140015 Bonfim";336;1855;1192;2104;1469;1037;513;314;165;58;9043
"140017 Cantá";291;1291;1103;1584;1267;1037;652;353;115;48;7741
"140020 Caracaraí";557;2169;2056;2878;2146;1468;939;545;206;57;13021
"140023 Caroebe";144;599;728;940;717;495;326;174;84;16;4223
"140028 Iracema";174;703;675;987;709;548;366;184;69;28;4443
"140030 Mucajaí";285;1221;1402;1869;1517;1086;690;399;150;55;8674
"140040 Normandia";150;799;551;836;602;360;212;125;68;28;3731
"140045 Pacaraima";283;1137;838;1348;966;664;346;184;93;43;5902
"140047 Rorainópolis";611;2678;2998;3898;3002;2363;1317;594;216;61;17738
"140050 São João da Baliza";158;612;699;953;645;456;326;157;54;22;4082
"140060 São Luiz";133;641;865;992;841;670;315;176;82;23;4738
"140070 Uiramutã";244;1010;749;879;675;414;179;147;72;35;4404
"150010 Abaetetuba";3391;13884;16321;22943;14964;10423;6623;4123;2147;1235;96054
"150013 Abel Figueiredo";167;695;879;1227;947;572;388;238;112;43;5268
"150020 Acará";1614;7367;6952;10605;6820;4289;2995;2077;1039;448;44206
"150030 Afuá";1193;5066;4184;5567;3402;2322;1451;967;482;263;24897
"150034 Água Azul do Norte";640;2871;3491;6487;4708;2855;1740;927;262;60;24041
"150040 Alenquer";1167;4679;4988;6018;3864;3101;2112;1593;905;383;28810
"150050 Almeirim";938;3825;4026;5997;4506;2917;1448;838;380;161;25036
"150060 Altamira";2028;8101;10293;15911;11699;7757;4240;2615;1358;407;64409
"150070 Anajás";726;3070;2445;3328;1882;1296;777;530;284;116;14454
"150080 Ananindeua";10612;42639;56608;98538;74247;50464;25626;12699;5795;2508;379736
"150085 Anapu";184;745;818;1146;753;588;363;209;54;18;4878
"150090 Augusto Corrêa";1047;4257;4118;5268;3364;2590;1739;1240;708;339;24670
"150095 Aurora do Pará";684;3038;2839;3851;2499;1794;1305;823;390;209;17432
"150100 Aveiro";555;2381;2041;2675;1898;1494;953;657;279;103;13036
