 População Residente - Brasil
População residente por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2012
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";371;1511;2554;4235;3613;3238;2039;1211;680;169;19621
"110037 Alto Alegre dos Parecis";199;906;1403;2122;2021;1557;1000;622;266;76;10172
"110040 Alto Paraíso";286;1200;1744;2887;2824;2198;1447;859;390;107;13942
"110034 Alvorada D'Oeste";249;1022;1730;2734;2442;2116;1533;841;468;162;13297
"110002 Ariquemes";1447;6015;9281;17901;14999;11762;7080;3772;1842;642;74741
"110045 Buritis";571;2478;3394;6224;5395;3787;2485;1333;542;154;26363
"110003 Cabixi";109;382;577;942;893;856;664;365;208;55;5051
"110060 Cacaulândia";93;397;552;955;897;696;507;303;163;38;4601
"110004 Cacoal";1222;4642;7935;14918;12806;10580;6808;3665;2055;818;65449
"110070 Campo Novo de Rondônia";215;976;1287;2198;1955;1559;1082;500;212;56;10040
"110080 Candeias do Jamari";406;1625;2058;3753;3082;2338;1649;894;350;146;16301
"110090 Castanheiras";46;187;348;530;536;463;313;253;111;34;2821
"110005 Cerejeiras";254;968;1701;2939;2543;2372;1450;976;514;174;13891
"110092 Chupinguaia";169;652;890;1600;1428;1053;616;333;132;32;6905
"110006 Colorado do Oeste";277;1043;1738;3180;2772;2362;1729;1119;634;233;15087
"110007 Corumbiara";117;487;921;1430;1364;1136;756;415;220;73;6919
"110008 Costa Marques";302;1173;1473;2530;2148;1485;1001;555;244;86;10997
"110094 Cujubim";313;1393;1784;3109;2743;1957;1237;594;218;42;13390
"110009 Espigão D'Oeste";512;1899;2796;5380;4753;3642;2464;1400;689;243;23778
"110100 Governador Jorge Teixeira";138;633;1032;1689;1468;1271;861;533;257;93;7975
"110010 Guajará-Mirim";806;3370;4336;7438;6329;4765;2851;1754;918;450;33017
"110110 Itapuã do Oeste";194;672;919;1389;1311;1015;760;436;178;56;6930
"110011 Jaru";773;3267;5085;10055;8342;6224;4069;2351;1370;511;42047
