 População Residente - Brasil
População residente por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:1993
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";1103;4139;4506;6874;4539;2905;1910;873;256;67;27172
"110040 Alto Paraíso";264;1021;1059;1811;1267;767;462;233;69;16;6969
"110034 Alvorada D'Oeste";678;2552;2644;4097;2757;1740;1169;638;205;29;16509
"110002 Ariquemes";1837;7096;7360;12591;8809;5332;3217;1616;477;109;48444
"110003 Cabixi";234;982;1023;1538;1139;747;495;267;93;27;6545
"110060 Cacaulândia";164;634;656;1122;784;475;287;144;43;10;4319
"110004 Cacoal";2020;7909;8433;14444;10073;5811;3595;2091;801;205;55382
"110070 Campo Novo de Rondônia";133;536;514;958;689;350;186;109;43;11;3529
"110080 Candeias do Jamari";224;903;865;1615;1161;591;314;183;71;18;5945
"110090 Castanheiras";134;525;576;889;623;390;257;142;48;13;3597
"110005 Cerejeiras";658;2619;2819;4528;3237;1955;1281;766;242;68;18173
"110006 Colorado do Oeste";746;3152;3406;4898;3532;2310;1608;793;293;79;20817
"110007 Corumbiara";357;1509;1629;2343;1691;1105;768;380;139;38;9959
"110008 Costa Marques";373;1343;1324;1919;1397;964;573;338;98;23;8352
"110009 Espigão D'Oeste";698;2765;2797;4778;3535;1995;1270;726;225;61;18850
"110100 Governador Jorge Teixeira";196;791;850;1269;895;570;355;196;67;17;5206
"110010 Guajará-Mirim";1020;3872;3979;6330;4048;2639;1580;1193;545;166;25372
"110110 Itapuã do Oeste";138;557;535;998;717;364;193;112;44;11;3669
"110011 Jaru";1463;5920;6361;9506;6705;4265;2669;1466;498;127;38980
"110012 Ji-Paraná";2695;11044;11942;20542;14598;8441;4923;2985;1139;269;78578
"110013 Machadinho D'Oeste";424;1844;2011;2926;2325;1601;915;397;100;17;12560
"110120 Ministro Andreazza";267;1047;1117;1913;1334;769;476;277;107;28;7335
"110130 Mirante da Serra";349;1399;1488;2235;1571;984;640;363;122;30;9181
"110140 Monte Negro";178;687;713;1219;854;517;312;155;46;11;4692
"110014 Nova Brasilândia D'Oeste";434;1742;2210;2821;2019;1386;879;484;145;34;12154
"110033 Nova Mamoré";207;834;715;1240;782;519;336;196;66;6;4901
"110050 Novo Horizonte do Oeste";351;1370;1501;2318;1622;1020;669;370;126;34;9381
"110015 Ouro Preto do Oeste";1558;6267;6661;10001;7027;4408;2860;1625;548;138;41093
"110018 Pimenta Bueno";1488;5971;6013;10059;7164;4390;2680;1480;470;110;39825
"110020 Porto Velho";8258;33323;31946;59618;42873;21776;11567;6715;2650;696;219422
"110025 Presidente Médici";898;3628;3750;5837;4235;2597;1839;1052;381;94;24311
"110026 Rio Crespo";145;562;583;998;698;423;255;128;37;9;3838
"110028 Rolim de Moura";1355;5284;5784;8934;6253;3931;2580;1425;487;130;36163
"110029 Santa Luzia D'Oeste";435;1561;1540;2567;1608;1010;682;382;139;31;9955
"110032 São Miguel do Guaporé";495;1866;1841;2839;1897;1267;865;327;74;27;11498
"110150 Seringueiras";205;775;764;1177;787;526;359;136;30;11;4770
"110160 Theobroma";200;810;868;1297;915;583;364;201;69;18;5325
"110170 Urupá";325;1309;1390;2087;1467;920;597;339;115;28;8577
"110180 Vale do Paraíso";268;1078;1146;1719;1208;758;492;279;94;24;7066
"110030 Vilhena";1123;4534;4355;8392;6228;3367;1907;961;299;67;31233
"120001 Acrelândia";187;717;635;934;634;416;292;192;71;11;4089
"120005 Assis Brasil";129;448;350;534;304;227;118;97;32;3;2242
"120010 Brasiléia";442;1590;1654;2583;1826;1106;712;441;196;59;10609
"120013 Bujari";91;363;388;628;440;265;148;103;51;15;2492
"120017 Capixaba";71;279;251;393;272;189;133;91;42;10;1731
