 População Residente - Brasil
População residente por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:1996
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";735;3563;3677;6220;4643;2830;1818;1036;287;87;24896
"110040 Alto Paraíso";244;1032;1178;2078;1464;950;684;331;85;21;8067
"110034 Alvorada D'Oeste";472;2019;2357;3497;2617;1687;1091;656;211;48;14655
"110002 Ariquemes";1667;6734;7694;13221;10170;6087;3409;1850;690;164;51686
"110003 Cabixi";186;756;855;1370;1114;768;533;307;115;31;6035
"110060 Cacaulândia";97;539;556;871;691;456;298;165;48;13;3734
"110004 Cacoal";1717;7013;8099;13782;10802;6625;3737;2376;946;277;55374
"110070 Campo Novo de Rondônia";385;1637;1788;2598;2086;1415;865;386;72;19;11251
"110080 Candeias do Jamari";311;1181;1207;1681;1390;951;584;327;131;39;7802
"110090 Castanheiras";112;459;463;771;542;371;276;165;52;11;3222
"110005 Cerejeiras";502;2103;2205;3761;3132;1882;1220;770;299;66;15940
"110006 Colorado do Oeste";527;2206;2874;4353;3528;2317;1461;894;404;108;18672
"110007 Corumbiara";283;1144;1351;1931;1375;979;701;345;95;32;8236
"110008 Costa Marques";408;1563;1535;2441;1723;1200;762;438;140;38;10248
"110009 Espigão D'Oeste";534;2194;2763;4509;3572;2171;1234;791;281;79;18128
"110100 Governador Jorge Teixeira";245;1043;1192;1657;1162;862;572;283;91;17;7124
"110010 Guajará-Mirim";837;3558;4293;6660;4922;2977;1820;1201;689;210;27167
"110110 Itapuã do Oeste";142;541;555;809;741;492;337;151;58;13;3839
"110011 Jaru";1055;4429;5806;8932;6586;4174;2454;1481;621;201;35739
"110012 Ji-Paraná";1855;8042;10923;18096;14801;8923;4810;2864;1327;336;71977
"110013 Machadinho D'Oeste";569;2825;3393;5223;4452;2432;1316;559;167;25;20961
"110120 Ministro Andreazza";237;1060;1236;2023;1354;924;614;335;157;46;7986
"110130 Mirante da Serra";332;1377;1505;2073;1644;1102;670;449;165;47;9364
"110140 Monte Negro";234;932;995;1611;1126;772;478;261;82;13;6504
"110014 Nova Brasilândia D'Oeste";378;1623;1747;2865;2020;1362;843;543;183;43;11607
"110033 Nova Mamoré";458;1630;1617;2447;1661;980;644;362;129;35;9963
"110050 Novo Horizonte do Oeste";246;1080;1265;2044;1434;969;679;344;119;30;8210
"110015 Ouro Preto do Oeste";1221;4979;6035;9688;7184;4453;2906;1714;795;209;39184
"110018 Pimenta Bueno";1084;4338;5470;8575;7227;4426;2694;1573;590;155;36132
"110020 Porto Velho";7227;28188;33886;55874;45613;26044;12590;6944;3357;1007;220730
"110025 Presidente Médici";627;2601;3305;4891;3868;2629;1632;1105;480;128;21266
"110026 Rio Crespo";150;604;699;1100;859;588;381;209;48;10;4648
"110028 Rolim de Moura";969;4123;4888;8125;6313;3932;2404;1609;648;172;33183
"110029 Santa Luzia D'Oeste";269;1069;1204;2067;1542;947;643;424;159;45;8369
"110032 São Miguel do Guaporé";500;2085;2169;3407;2493;1567;1067;485;141;35;13949
"110150 Seringueiras";267;1062;1025;1575;1129;723;494;247;41;9;6572
"110160 Theobroma";167;837;1080;1379;1096;801;509;272;77;21;6239
"110170 Urupá";311;1338;1794;2256;1785;1346;787;435;140;40;10232
"110180 Vale do Paraíso";232;934;1087;1699;1203;769;524;288;98;25;6859
"110030 Vilhena";1036;4223;4903;8150;6936;4123;2319;1339;454;106;33589
"120001 Acrelândia";148;742;738;1027;755;531;343;202;75;15;4576
"120005 Assis Brasil";60;330;322;504;323;211;118;97;59;19;2043
"120010 Brasiléia";307;1302;1641;2461;1704;1240;751;485;203;84;10178
"120013 Bujari";92;418;515;712;447;347;247;122;51;20;2971
"120017 Capixaba";88;354;289;501;355;241;153;93;22;10;2106
"120020 Cruzeiro do Sul";1500;6390;7598;9104;5613;4072;2639;1694;892;423;39925
"120025 Epitaciolândia";259;1015;1057;1564;1091;760;517;347;161;61;6832
"120030 Feijó";707;2880;2835;3498;2215;1530;1003;621;271;117;15677
"120032 Jordão";91;645;423;620;370;224;132;81;43;14;2643
"120033 Mâncio Lima";182;875;1201;1340;881;558;427;231;123;38;5856
"120034 Manoel Urbano";201;792;651;764;525;377;211;161;59;27;3768
"120035 Marechal Thaumaturgo";408;1365;913;1198;680;425;225;165;52;24;5455
"120038 Plácido de Castro";235;1133;1423;2002;1548;967;641;413;174;51;8587
"120080 Porto Acre";209;849;965;1417;934;698;532;267;107;30;6008
"120039 Porto Walter";158;803;624;851;451;287;172;114;38;6;3504
"120040 Rio Branco";5602;22439;27772;43504;31298;19935;10647;6691;3725;1429;173042
"120042 Rodrigues Alves";282;1141;1009;1576;811;513;327;171;66;21;5917
"120043 Santa Rosa do Purus";33;316;199;235;161;70;72;44;16;4;1150
