 População Residente - Brasil
População residente por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:1995
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";1190;4464;4861;7416;4897;3135;2059;942;276;72;29312
"110040 Alto Paraíso";285;1100;1142;1953;1367;827;499;251;73;17;7514
"110034 Alvorada D'Oeste";731;2752;2853;4420;2974;1875;1261;688;220;30;17804
"110002 Ariquemes";1981;7656;7940;13583;9503;5752;3470;1742;514;118;52259
"110003 Cabixi";254;1060;1103;1659;1229;806;535;287;99;29;7061
"110060 Cacaulândia";176;682;707;1211;846;513;309;155;46;11;4656
"110004 Cacoal";2180;8534;9097;15583;10866;6269;3877;2256;864;221;59747
"110070 Campo Novo de Rondônia";143;579;554;1035;743;377;201;116;46;12;3806
"110080 Candeias do Jamari";242;975;934;1743;1253;636;338;196;77;20;6414
"110090 Castanheiras";145;567;621;960;671;421;277;153;52;14;3881
"110005 Cerejeiras";710;2824;3041;4884;3493;2108;1383;826;261;74;19604
"110006 Colorado do Oeste";805;3403;3674;5283;3811;2493;1734;856;316;85;22460
"110007 Corumbiara";386;1627;1758;2527;1823;1193;830;410;151;41;10746
"110008 Costa Marques";402;1449;1428;2070;1508;1040;618;364;105;25;9009
"110009 Espigão D'Oeste";752;2984;3018;5154;3814;2152;1371;784;243;66;20338
"110100 Governador Jorge Teixeira";210;851;917;1369;966;614;384;211;72;18;5612
"110010 Guajará-Mirim";1100;4178;4292;6829;4366;2847;1703;1287;587;178;27367
"110110 Itapuã do Oeste";149;602;577;1076;774;393;208;121;48;13;3961
"110011 Jaru";1578;6387;6863;10255;7234;4600;2879;1580;539;136;42051
"110012 Ji-Paraná";2907;11915;12883;22160;15746;9105;5312;3218;1228;290;84764
"110013 Machadinho D'Oeste";457;1989;2169;3156;2508;1728;986;427;109;19;13548
