 População Residente - Brasil
População residente por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:1997
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";543;2600;2724;4546;3548;2132;1322;828;229;71;18543
"110037 Alto Alegre dos Parecis";219;1089;1081;1894;1293;803;558;246;70;19;7272
"110040 Alto Paraíso";254;1075;1227;2164;1524;990;713;345;88;22;8402
"110034 Alvorada D'Oeste";466;1994;2327;3452;2583;1665;1077;648;208;47;14467
"110002 Ariquemes";1727;6975;7970;13694;10534;6305;3531;1916;715;170;53537
"110045 Buritis";253;1072;1214;1747;1423;973;582;238;41;12;7555
"110003 Cabixi";179;713;796;1281;1061;704;491;295;107;27;5654
"110060 Cacaulândia";96;535;551;865;686;453;296;164;48;13;3707
"110004 Cacoal";1736;7090;8188;13934;10921;6697;3778;2402;956;280;55982
"110070 Campo Novo de Rondônia";182;782;807;1191;937;628;396;199;41;9;5172
"110080 Candeias do Jamari";338;1285;1314;1830;1512;1035;635;355;142;42;8488
"110090 Castanheiras";111;455;458;766;538;369;274;163;52;11;3197
"110005 Cerejeiras";440;1832;2011;3371;2831;1687;1092;712;264;64;14304
"110092 Chupinguaia";96;454;453;722;571;376;249;135;44;6;3106
"110006 Colorado do Oeste";520;2177;2836;4296;3482;2287;1441;882;399;107;18427
"110007 Corumbiara";253;1036;1236;1753;1228;891;648;320;90;30;7485
"110008 Costa Marques";291;1016;894;1459;1007;706;410;286;104;28;6201
"110094 Cujubim";83;440;476;724;507;434;283;119;25;3;3094
"110009 Espigão D'Oeste";538;2211;2785;4544;3600;2189;1243;798;284;80;18272
"110100 Governador Jorge Teixeira";266;1133;1294;1799;1261;936;621;307;99;18;7734
"110010 Guajará-Mirim";864;3674;4432;6877;5082;3074;1880;1240;712;217;28052
"110110 Itapuã do Oeste";140;524;554;796;732;487;336;147;57;14;3787
"110011 Jaru";1047;4395;5762;8865;6536;4143;2436;1469;616;199;35468
"110012 Ji-Paraná";1841;7981;10841;17960;14689;8856;4773;2843;1317;333;71434
"110013 Machadinho D'Oeste";553;2491;3002;4754;4198;2152;1058;426;153;20;18807
"110120 Ministro Andreazza";232;1037;1209;1980;1325;905;601;328;154;45;7816
"110130 Mirante da Serra";346;1434;1568;2158;1712;1148;698;468;172;49;9753
"110140 Monte Negro";254;1012;1080;1749;1222;839;519;283;89;14;7061
"110014 Nova Brasilândia D'Oeste";376;1615;1737;2849;2009;1355;838;540;182;43;11544
"110033 Nova Mamoré";498;1773;1759;2663;1808;1067;701;394;141;38;10842
"110143 Nova União";153;665;743;1169;783;537;383;210;88;31;4762
"110050 Novo Horizonte do Oeste";241;1057;1238;2000;1403;949;664;336;116;29;8033
"110015 Ouro Preto do Oeste";915;3797;4697;7564;5752;3476;2225;1291;616;153;30486
"110145 Parecis";76;337;452;712;703;335;262;120;18;5;3020
"110018 Pimenta Bueno";730;2898;3532;5799;4861;2913;1622;1048;408;111;23922
"110146 Pimenteiras do Oeste";63;288;231;431;285;233;160;60;37;6;1794
"110020 Porto Velho";7366;28729;34540;56951;46491;26546;12833;7077;3422;1026;224981
"110025 Presidente Médici";632;2621;3333;4930;3899;2650;1645;1114;484;129;21437
